,Number of Television,"Number of Car, Jeep, Van",Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,All_Food_Expenses,Going_Out_Expenses,Shopping_Expenses,Necessary_Expenses,Miscellaneous_Expenses,total
973,1,0,0,38,9,3,1,7,1,Male,40,0,22.2868,16.4381,1.53,1.0185,4.389,2.3796,25.7552
974,0,0,0,26,4,2,1,2,0,Male,54,1,9.8302,6.8686,0.3013,0.3886,1.2785,0.3112,9.1482
975,1,0,0,40,6,3,1,6,2,Male,51,0,14.3419,11.141,0.0925,1.2278,1.3549,1.483,15.2992
976,1,0,0,38,7,3,1,3,0,Female,57,0,8.8286,9.5617,0.1967,1.2959,2.9225,1.1276,15.1044
977,0,0,0,32,15,2,0,8,1,Male,48,0,10.9223,16.7977,0.431,0.3385,4.8098,1.6848,24.0618
978,1,0,0,18,10,1,1,3,0,Female,50,0,20.67,12.1545,0.482,0.39,3.5276,0.8204,17.3745
979,0,0,0,28,9,1,0,4,1,Male,25,1,5.6481,8.9324,0.091,1.2176,1.2031,0.7624,12.2065
980,1,0,0,28,11,2,1,4,1,Male,41,0,13.857,12.0497,1.2845,1.221,3.8778,1.7394,20.1724
981,1,0,0,42,11,3,1,5,1,Male,33,0,18.4244,18.0531,1.2958,1.3362,3.4605,2.671,26.8166
982,0,0,0,28,10,2,0,5,1,Male,58,0,11.009,16.2462,0.4143,1.42,1.5844,1.061,20.7259
983,2,0,1,40,20,3,1,3,3,Male,55,0,84.025,18.1442,3.4,3.5854,9.2461,15.8084,50.1841
984,1,0,0,26,9,2,1,6,1,Male,49,0,11.9264,11.0756,1.1304,0.268,2.699,2.2554,17.4284
985,0,0,0,29,5,1,0,6,1,Male,55,0,11.0475,14.7226,2.13,0.383,1.9169,1.1894,20.3419
986,0,0,0,38,5,3,1,7,4,Male,53,0,19.8952,30.8509,1.101,1.8376,2.2239,2.4248,38.4382
987,0,0,0,13,17,1,0,2,0,Female,68,1,6.0909,5.8143,0.348,0.2924,1.1902,0.4288,8.0737
988,0,0,0,26,13,1,0,3,2,Female,77,1,4.2895,7.3905,0.024,0.031,0.867,0.2826,8.5951
989,1,0,0,30,32,2,1,2,0,Male,72,0,5.7045,7.8557,0.19,0.211,1.314,0.4156,9.9863
990,0,0,0,32,13,1,1,12,1,Male,46,1,9.5775,9.6765,0.315,0.194,2.9302,0.4092,13.5249
991,0,0,0,36,20,3,1,3,0,Male,60,0,11.434,9.0834,0,0.0763,2.5312,1.3164,13.0073
992,1,0,0,40,33,3,1,8,6,Male,62,0,9.4514,10.4372,0.1644,0.826,2.3326,1.418,15.1782
993,0,0,0,32,5,2,0,5,0,Female,29,0,8.1167,5.6483,0.1168,0.19,3.3731,0.3814,9.7096
994,1,0,0,38,5,2,1,10,1,Male,45,0,13.187,16.3188,0.3067,0.7471,1.8072,2.001,21.1808
995,0,0,0,26,7,2,1,4,1,Female,40,0,12.0629,12.2108,0.418,0.4351,2.6687,1.4128,17.1454
996,0,0,0,28,11,1,1,9,6,Male,58,1,12.4565,9.6292,0.06,0.522,1.8064,0.3778,12.3954
997,1,0,1,54,17,4,1,3,1,Female,45,0,61.1276,16.8252,2.8527,2.4477,19.5231,7.236,48.8847
998,2,2,1,320,12,3,1,3,0,Male,46,0,57.475,22.0868,1.307,1.9392,23.3261,4.9292,53.5883
