,Number of Television,"Number of Car, Jeep, Van",Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,All_Food_Expenses,Going_Out_Expenses,Shopping_Expenses,Necessary_Expenses,Miscellaneous_Expenses,total
845,0,0,0,21,7,1,1,3,0,Male,53,1,6.0212,8.4592,0.633,0.4543,1.5119,0.5638,11.6222
846,0,0,0,32,18,2,0,1,0,Male,52,1,3.579,4.3444,0,0.318,0.7336,0.149,5.545
847,0,0,0,18,10,0,0,1,0,Male,64,1,2.3973,3.0933,0.187,0.036,0.6366,0.0312,3.9841
848,1,0,0,86,5,5,1,9,2,Male,43,0,61.9553,18.2619,1.48,0.5985,4.2271,8.8674,33.4349
849,1,0,0,32,20,1,1,6,1,Male,68,1,8.1129,8.7196,0.3315,0.406,3.6338,0.2584,13.3493
850,1,0,0,63,17,3,1,8,3,Male,51,1,25.954,16.539,0.2047,0.7763,2.8634,1.1478,21.5312
851,1,0,0,26,15,2,1,4,2,Male,62,1,7.7132,10.2883,0.1868,0.4125,1.5081,0.9282,13.3239
852,1,0,0,26,40,1,1,6,2,Male,56,1,7.6256,8.4534,0,0.3497,1.3177,0.6158,10.7366
853,1,0,0,43,15,2,1,4,0,Male,33,0,13.8866,11.266,1.0644,0.7299,2.7971,0.7666,16.624
854,1,0,0,30,12,2,1,9,0,Male,56,1,11.0203,10.5258,0.8285,0.948,3.9862,0.4756,16.7641
855,0,0,0,40,22,1,1,2,0,Female,51,0,3.2587,4.5973,0.27,0.0835,0.6104,0.0962,5.6574
856,1,0,0,43,35,2,1,1,1,Male,70,1,4.0922,3.0801,0.189,0.2115,0.7695,0.2118,4.4619
857,1,0,0,26,25,2,1,4,2,Female,49,0,10.1605,8.6562,0.0856,0.284,1.7097,0.7848,11.5203
858,1,0,0,32,24,2,1,3,0,Male,55,0,9.6801,7.8281,0.4515,0.2374,3.7809,1.4522,13.7501
859,1,0,0,45,17,2,1,6,1,Male,53,0,15.6331,12.3746,0.508,0.22,6.4569,0.6124,20.1719
