,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,accuracy_train_modified,violations_train_prediction,violations_test_data,accuracy_test_corrected,accuracy_test_modified,violations_test_prediction,counter_examples_found,num_iteration
0,1,"[1, 2]","[0.05998763141620285, 0]",2,5,10,93.34712386131287,"[-0.9986324588018306, -0.005509844527422985, -0.2920218461486135, 0.0, 0.0023530682313646343, 2.067734657291388, -0.004652870403527409, -0.01814711431278929, -0.024223868059277537, -0.01323188306605875, -0.024361194788514836, -0.011395400751255346, -0.018947108982883272, 0.9934531367970793, -0.002683590754036267]",18,0.8072916666666666,0.7978142076502732,0,9,0.7604166666666666,0.735632183908046,0,0,600
0,2,"[1, 2]","[0.05998763141620285, 0]",2,5,10,72.1888518333435,"[-0.02102760710003171, 0.0005277467449196673, -0.064653591781894, -0.0003864463733483128, 0.0, 2.0307804754445296, -4.412458239744696e-05, -0.0008692396162938746, -0.9445613694952204, 0.010515346629649118, -0.00034232179095086587, 0.0003864463733483128, -0.0006724233660862792, 0.007263399220512713, 0.002689456227734869]",23,0.7916666666666666,0.778393351800554,0,4,0.8229166666666666,0.8152173913043478,0,0,600
0,3,"[1, 2]","[0.05998763141620285, 0]",2,5,10,40.85926818847656,"[-64.47577015131799, 0.0, 0.017417949704147107, -0.07353178347541424, -0.04873518264661914, 65.90723400860955, -0.0008002720348903192, -0.017417949704148537, -0.23769449850868196, 0.012429229024754216, -0.04374646196722625, -0.1555646643692884, -0.15727575850799003, 64.4409342519097, -0.124206955192236]",22,0.8020833333333334,0.7900552486187845,0,5,0.78125,0.7692307692307693,0,0,400
0,4,"[1, 2]","[0.05998763141620285, 0]",2,5,10,70.9805178642273,"[-0.01941352742413963, -5.1205316539817885e-05, -0.13153614178896364, 0.0, -6.22533279854868e-06, 1.1021263284180738, -0.004957598332981887, 5.328155498561763e-07, -6.110270067157985e-06, -0.0034594803151932994, -4.2778014811755124e-05, -0.0132369714061493, -0.019126379437569365, 1.9814260631425873e-07, 0.0007060216306372723]",22,0.7942708333333334,0.7817679558011049,0,5,0.8125,0.8021978021978022,0,0,600
0,5,"[0, 1, 2]","[0.05998763141620285, 0]",2,5,10,62.561558961868286,"[-37.537123857951386, -0.02187536402509327, -2.020992068935873, -0.0010717326959092993, -0.000447226210064901, 38.57768166356791, 0.0009795593740149233, 0.9701185696618259, 0.12400339873348068, 0.0016422056728750772, 36.43757531917795, 0.0014024026656158702, 0.0010717326959092993, -0.009485027714044534, -0.02101828081426177]",23,0.7942708333333334,0.7811634349030471,0,4,0.8125,0.8043478260869565,0,0,760
