,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,constraint_penalty_train,custom_metric_train_2,violations_train_prediction,violations_test_data,total_mse_test,constraint_penalty_test,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,2556.036801099777,"[[1.6264535062574608, 1.0, -14.027224428728431, -5.36878656149933, 3.3423504705569003, 1.0, 0.9999999999999999, 1.4314014994098452, 0.8991130820399114, 0.5, 1.5, 0.5, 0.5, 91.47821705976807], [-0.4230247755337445, 9.481671454788105e-18, -0.10837222697430694, -1.1775477998683969e-17, 0.0005633701240910326, 0.15204723934622202, 0.15204723934622202, 0.03608216754571194, 0.07869101571485158, 0.0038499206063203305, 0.0006175272652537891, 0.008797374951260256, 0.008797374951260258, 8.910195000000002], [0.0231698801609462, -1.0, 2.8934114210905366, -1.290182264823933, -1.0844619887357243, -0.652047239346222, -0.5, -0.432019026675099, -0.5, 9.446499836150844e-18, -0.37724999999999986, 9.435637145140311e-18, 0.5, 13.120594209820439], [0.08660657801077362, -0.5, 9.736635234612201, 4.658968826323263, -0.6894095737530912, -0.5509063970698562, -0.1520472393462219, 0.13570509307904297, -0.9102, -0.9499221106173152, -0.4662714088910537, -0.5, -0.7681890610241723, 45.420096447288955], [0.15589481110456327, 0.5, 1.50555, 2.0, -1.5690422781921756, 0.050906397069856175, -0.5, -1.171169733359501, 0.43239590224523733, 0.44607219001099485, -0.6570961183742002, -0.008797374951260267, -0.24060831392708798, 19.274797283122552]]",687,63.798777464291135,6.467049118441537e-16,23.236694076167378,0,175,75.79393337760284,5.040412531798211e-16,45.715640678085485,0,0
0,2,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,2525.923593044281,"[[1.0, 14.85800618726767, 9.73673194226559, -1.6832687926919276, 1.526251740780961, 0.49999999999999994, 0.34155331411942175, 0.5, 0.998760839130818, 9.457864761827611, 0.779601207717122, 0.01802928622079055, 6.168478029669175e-17, 68.365227416589], [-0.1309515194012272, -0.5000000000000011, -1.3786884176037096e-20, 0.0, -0.4999999999999996, -6.576713339247794e-17, -1.115358929841401e-20, -9.85927524086666e-18, 0.00902867969921241, -0.04597724549830813, -0.279601207717122, -0.09339769451046462, -0.025773569595041342, 8.410195000000002], [-0.06016931958265259, -4.177732274451742, -0.5786443258983378, -1.4171960017929937, -0.5, 1.9245873195006344e-17, -0.08229116152215481, -0.008548114430289052, -0.4987608391308186, -0.4121525166479429, -2.0176553036641582e-17, -0.5, 0.19446204609592735, 11.949374070649105], [5.551115123125783e-17, -0.49999999999999994, 0.5810314748035358, 5.1820047395533395, 2.4503421133873196, -0.49999999999999994, 1.0895684458484642e-19, -0.491451885569711, -0.49999999999999994, -3.002088719962996, -0.5, 0.5, -0.49999999999999994, 47.00323268775208], [0.2605594741704955, -9.680273912815927, -10.132238044636221, -4.080012712798148, -2.976593854168281, 4.631713339247794e-17, -0.2649686028446169, 6.168478029669175e-17, 3.712264276817261e-17, -5.997646279718364, 1.9273446963358417e-17, 0.07536840828967409, 0.33131152349911386, 40.97587082500983]]",685,70.82462425293437,0.0,25.73587994846931,0,177,51.2544421576026,0.0,10.566629420443022,0,0
0,3,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1.0,5,10,2847.206468820572,"[[1.1325362225737727, 13.770734363882667, -6.040512012046316, -5.900725073471213, 3.785219010278082, 1.8138285980236173, 1.317022045003738, 1.1519912056056216, 1.0, 2.813070703842481, 0.8519194423998679, 0.012580941873357529, 2.245098902836959, 74.1762738111235], [-0.1067704799732554, 3.868268713643457e-19, 1.4957872321619579e-19, 5.467946395693577e-20, 9.903241894391451e-17, 1.0378619353803102e-16, 1.2275715760253233e-17, 1.2756397131580877e-16, 0.018472036797258336, 0.01847203679725835, 1.0388109279729028e-16, 1.1567508242691989e-16, 0.006409796768648727, 7.5848327742622725], [1.1000827462381892, -2.894415193324127, 3.3131841299744895, -1.0283847064958374, 1.0000000000000004, -1.0419285980236173, 0.4888995566350076, -1.2336912940847298, -0.986240113719286, 4.6442382426919906e-17, -0.6335299664349441, -0.012580941873357645, -0.30536944101455893, 13.392452574887459], [-0.15558286304802457, -3.501857988566242, 3.9796460442698676, 6.321704508946995, 0.05578532104093159, -1.7719, -1.8059216016387456, 3.868268713643457e-19, -0.03223192307797234, -0.8324664616805174, -0.24138717330849999, 4.043467346121919e-19, -1.0086813935219994, 53.62451317664039], [-0.501165625790682, -7.374461181992298, -1.2523181621980424, 0.6074052710200553, -4.841004331319014, 0.9999999999999999, 1.4957872321619579e-19, 0.08170008847910809, 9.59886137882862e-19, -1.999076278959222, 0.022997697343576082, -8.766942493195422e-20, -0.9374578650690494, 29.425827663086395]]",693,62.609777192431814,6.100675520315235e-16,24.57109361999819,0,169,63.37535705076548,6.861178292183467e-16,16.12909751605729,0,0
0,4,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1.0,5,10,3070.8531699180603,"[[2.6823161670166265, 1.3374941486352578, -1.0065583900115544, -9.034973956046922, 2.3238175944047793e-18, 0.4652088180214127, 2.6465788448143313, 0.9590180053481818, 1.9044582810595974, 1.964194629978635, 1.3356722637297032, 2.40694762358742, 1.0, 74.05663380159648], [-0.10751989823514431, 6.898e-17, -1.8e-19, -0.11315905384180604, 7.419534160544885e-18, 0.06294953796893643, -0.4660013603621154, 0.0065583900115545836, 0.0065583900115545836, 0.03580537002136506, 6.836172001129504e-17, 2.661629113980534e-16, 1.8e-19, 8.910195000000002], [-1.1564802200551578, -0.45345804306136284, 1.4447185943926204, -0.8500414686549466, 0.9999999999999999, 0.9867470876535978, 0.7310886257963809, 0.14839231362936775, -0.0065583900115545645, -0.4379238050460048, -0.08483080665983621, -1.6031691315969285, -0.6370528964804998, 13.262502394389648], [0.6190397888165805, -0.24368841532902263, 0.10533499526287349, 7.998174478543675, 0.1750854936716718, -0.5149054436439469, -0.3354977873426823, -0.32432369002564254, -0.22565828105959762, -1.0, -1.696478703062152, -1.0, -0.7563, 53.83880503711729], [-0.7689116765440602, -0.6403476902448724, -2.550053589655494, 1.9999999999999996, -1.1750854936716717, -1.0, -2.5761683229059145, -0.7896450189634616, -1.6787999999999998, -0.5620761949539953, 0.44563724599228494, 0.1962215080095082, 0.3933528964804998, 28.1357637668966]]",701,57.190860801330786,0.0,20.269376424806772,0,161,76.56799587840528,0.0,27.79707793618603,0,0
0,5,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2.0,5,10,3487.7729790210724,"[[2.0, 4.940304171566489, 3.980060681343836, 5.240194890770823, 7.6776060049999995, 3.4996528669693405, 2.0, 0.438792333806266, 5.945453823212761, 1.9288399083661825, 2.0, 1.3383172864473294, 1.2940875357599309, 52.14305849309774], [-0.0707250000000003, -0.6344786893237074, 0.0, 0.0, -1.3827493104976635e-16, 5.3623264765970505e-18, -1.350575351638081e-16, -1.3497257067235824e-17, -1.042898611812776e-16, -1.6699816741402207e-17, -0.8073213106762828, -1.0265024969485756e-17, -7.04762908352753e-18, 8.910195000000002], [1.6591579472205071, 0.6344786893237075, -8.700229493871754, -8.570972902061964, -2.0, -4.06514216622595, -2.0, -0.4387172964716167, -3.66307661302735, -7.660466395138638e-18, -1.3068183355426342, -2.0, -3.0260455857434715e-16, 35.731707360910065], [-2.119332947220507, -9.708830207173415e-17, 8.919668311686635, 3.489869125327451, 1.4149232693572455e-16, 1.9789483052861303, 1.2586497548964178e-16, -7.503733464929294e-05, -0.1005675329709376, -0.99638741207366, 0.056105229702362126, 7.04762908352753e-18, -0.6854875357599307, 51.11435603050898], [7.04762908352753e-18, -4.940304171566489, -4.199499499158716, -0.15909111403630982, -5.6776060049999995, -1.4134590060295207, 7.04762908352753e-18, 4.289861181277625e-18, -2.1818096772144733, -0.9324524962925225, 0.058034416516554777, 0.6616827135526706, -0.6085999999999999, 30.304583115483233]]",682,58.35100811904305,7.349676423018536e-16,18.389631720041635,0,180,60.81442677460316,7.549516567451064e-16,21.40420869298404,0,0
