,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,accuracy_train_modified,violations_train_prediction,violations_test_data,accuracy_test_corrected,accuracy_test_modified,violations_test_prediction,counter_examples_found,num_iterations
0,1,"[1, 2]",0,0.5,5,10,3360.972273349762,"[[-1.1080770607594113, -0.07690420236066442, -0.09013335214475168, 0.0, 0.0, -0.5036018290368469, -0.09013335214475168, 7.394401779730243e-36, -1.0145535170408608, -0.4882256820076279, 7.394401779730243e-36, -0.9824767527240935, -0.798077482384894, -7.394401779730243e-36], [-1.6341912803448917, 1.3844309166536851e-36, -1.3844309166536851e-36, -1.3844309166536851e-36, -1.3844309166536851e-36, 1.3844309166536851e-36, -1.3844309166536851e-36, -1.3911612868789405e-35, -0.8658087196551084, 1.3844309166536851e-36, -0.8658087196551084, -0.3658087196551083, -0.3658087196551084, -1.3844309166536851e-36], [-0.8018564650760409, 8.778832696383928e-36, 7.394401779730243e-36, 0.0, -0.45485, 0.13675543187211922, -7.374460053577127e-36, -1.1728714203603847, -1.7447756978168372, -1.1126652191563464, -1.2396127197230857, -1.379837226792819e-36, 2.231977924842635, -1.5616471957607416], [-2.0, 0.0, 0.0, 0.0, -4.625539946422873e-36, 0.0, 0.0, -7.394401779730243e-36, 0.00011061092492270497, 7.394401779730243e-36, -0.5, -7.394401779730243e-36, -7.394401779730243e-36, 2.5], [-1.2065383026811562, 0.12720037146781207, -6.75003241696778e-36, -0.551269400045886, 0.01582679087633498, -1.6645481672575989e-35, -0.5, -0.2145, 0.5105507335476938, -0.5593624887083756, -0.19797785441267884, -0.31103632896913164, -0.5, -7.394401779730243e-36]]",48,0.7586750788643533,0.8208191126279863,0,13,0.7547169811320755,0.821917808219178,0,0,735
0,2,"[0, 1, 2]",0,1.0,5,10,3265.0895104408264,"[[-0.02654038924916896, -0.511584105637149, -2.251324309097967, 9.684265377286268e-05, 0.0019990163376742563, -0.23576599815734486, 0.3258770237983684, 0.0019990291214906984, -1.6827725471873256, -1.6247420924310132, 1.1049187012085975, -1.7007407930158982, -1.8581579042263343, -1.4083352332393502], [-1.58538600101572, 9.392499933704757e-15, 0.4584919200338494, -1.006481054970379, 0.04698089121982727, 9.392499933704757e-15, -2.0545240897000606e-11, -1.7966953997255557, -0.9118182840201003, 2.5855975216802998, -1.0000000000001277, -2.182374562144099, -1.205106720055774, -1.413087228221598], [-0.19982943869128642, 1.2535379799644096e-05, 0.002090050894439674, 1.2548511224432247e-05, 7.225590604731315e-07, 1.0827345658883766e-07, 3.6241883555348256e-07, -1.6939441969230935, -3.633142527465357, -1.9776644384736175, -3.8016008205236442, 1.9192110404740892, 0.3840458258998799, -2.1051197062662634], [-0.8980635501827392, -0.0019990291404098685, -3.4338751534833976, -0.0019990292200676874, -1.0019990291214889, -1.2535379799644096e-05, -0.12997622830460046, -0.001999029121488921, 1.1706357107756584, 1.063649279469466, -0.0019990291392010203, -0.0019990292011467397, -0.0019990292389886343, 4.782105242776473], [-1.389564464753688, -1.0399780782581005, 3.62605229610835, -1.8646434655283834, 1.7412974002865906, -2.3775134824329758, -3.756703015939804, -0.45356887986672684, 4.462162572473172, 2.000000000640962, -0.6258392693978367, -0.5112026694573073, 0.9023989098738333, 1.0657586245172213]]",48,0.7602523659305994,0.8225255972696246,0,13,0.7421383647798742,0.8082191780821918,0,0,349
0,3,"[1, 2]",0,2.0,5,10,2874.074455022812,"[[-2.0000000000000178, 3.5883915240508864e-18, 1.7941957620254432e-18, 8.564643390379647e-17, -2.0292354068507763e-19, 2.0292354068507766e-19, -1.9570522633357988e-17, 2.0000038069196266, -2.062931075363863, -1.9999999999999654, 2.0000000000000315, -2.0000000000000333, -1.9999999999999944, -2.0000038069196404], [0.0, 0.0, 0.0, -2.0, -1.4425241905821783e-17, 0.0, 0.0, -2.5039824750915933, -3.137827304121579, 2.346748251851977, -2.364403810766325, -1.999999582805735, -2.0779749784292174, -2.346748251851977], [-0.732072312506561, 3.806919626685154e-06, 4.8924282570265615e-06, 2.1687966163651725e-12, 4.140436827985268e-12, 4.229866299571836e-07, 1.2098006704388685e-05, -1.9999912855294801, -3.1802434845800707, -2.0000033834767077, -2.0000038064038614, 2.7966268118165503, 1.121075370887784, -3.1856510905453006], [-0.7533761706743674, 0.0, 1.7941957620254432e-18, 0.0, -15.547795653785386, 0.0, 1.7941957620254432e-18, -13.632107360975676, 6.095648506741826, 2.761236703391332, 1.7941957620254432e-18, -0.42280000046620814, -1.2080017630240967, 37.910139799453084], [-2.80477765965093, -4.023809874263125, 1.361617909998327e-16, 1.6639166386057367, 2.0369793011214177, 5.687726512868862, 1.6520994373552464, -2.0859645683491, 3.4974529658712634, 1.7941957620254432e-18, -5.687726512868862, -2.0859645683491, 5.741405026741795e-18, -0.46225314908237064]]",47,0.7618296529968455,0.8228279386712095,0,14,0.7735849056603774,0.8482758620689655,0,0,395
0,4,"[1, 2]",0,2.0,5,10,4087.3015882968903,"[[-0.06883841765666912, -0.1253901518217588, -2.070932866841096e-06, -3.1597687446803957e-06, -2.0865122850726172e-06, -2.070932866841096e-06, -1.1288128371935047e-05, 1.999995962743762, -1.848968181355055, -1.9999990246280235, 0.061871500203009064, -1.813158366555448, -1.8112286817866163, -1.9929993355647149], [-2.0865122850726172e-06, -2.0865122850726172e-06, -1.128119701449153, -1.6636592405733284, -0.06190695475067575, 0.0, -2.1180550060507035e-06, -1.6205577956943529, -1.4322607626511552, 2.0865122850726172e-06, -1.905073473658863, -1.409975898354451, -1.6282262109445622, -1.076240563344112], [-1.2331157884629806, 9.788448343418967e-08, 1.4019791880220918, 4.630957392408769e-07, 2.070932866841096e-06, 0.04073202126339152, 2.2742938472524114e-06, -1.7721149644025995, -3.649104668808135, -1.9534083879814625, -3.3289956686900704, 0.22869147280615107, 1.5698031836775441, -2.008094980497175], [-2.4230331820912236, -0.0011304513391365376, -8.15637191587574e-08, 0.0, 0.0, -0.703442194006863, 0.0, -2.0865122850726172e-06, 0.8377079561620113, 2.070932866841096e-06, -2.070932866841096e-06, -2.070932866841096e-06, -0.0011301006620675262, 3.128742246201411], [-1.7724878977500147, -2.2158659127883498, 0.6716474466480755, 1.57672150401934, -0.8060793128515987, 1.7446146018249014, -4.232283858607136e-06, -0.4053179320610079, 3.8446793738651284, 0.21731422461784775, -0.17967847236696188, 0.7721425709787618, 1.3571278587191404, 0.8293998761491023]]",54,0.7496062992125985,0.8192771084337349,0,7,0.7784810126582279,0.8145695364238411,0,0,600
0,5,"[1, 2]",0,0.5,5,10,2893.79549741745,"[[-0.09241263492702724, -0.003551929729030526, -0.3863446705109908, 6.649540333736239e-19, -5.382652043968294e-18, -0.08290555653227799, -0.04432850031724432, 1.2861589448162816, -1.7963924391769097, -2.1479262799701613, 0.003551929729030526, -1.7744813241848585, -1.8181944303258657, -1.795460389175699], [-0.5, 0.0, 0.0, 1.7678888327272728e-22, -0.2922466762446013, 1.7678888327272728e-22, 0.0, -36.08585786939424, -1.4185682729580953, 0.28403074130581235, -1.5, -1.89305, -1.553, -0.48377336708103863], [0.2558083223135487, 1.6790777686847346e-13, 0.011438955503879314, 3.649980779319151e-10, 1.2967514129465714e-14, 1.053984679646916e-05, 3.634486636166825e-10, -3.2699093036012483, -4.2343348180577935, -3.0899629397034842, -2.759170424896448, 1.748092107861229, 0.7386133784035849, -2.753963304657666], [-0.8017661945427238, -0.39481125803352196, -0.0035519297290308445, -0.9516041412752363, -0.721828577751085, -0.5035519297290304, -0.10899452152993405, -0.04831211881212676, 1.3367065383941261, 0.9222465212242288, -0.003646535430063001, -0.22133280171316003, -6.97031461429264, 10.729714622838552], [0.0, 0.4589909708036699, -1.0, -0.3993195414929953, 0.2043119981288068, 0.07447978746018895, -0.5819569332965594, -2.041034605755512, 0.003551929729030526, -1.4323695025814762, -1.5023016566366498, -1.5627329145054096, -1.0602322296095408, -1.7487423069016]]",47,0.7763779527559055,0.8384353741496599,0,14,0.7531645569620253,0.8263888888888888,0,0,1144
