Number of Television,Number of Car,Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,Total Food Expenditure,Medical Care Expenditure,Education Expenditure,Housing and water Expenditure,Miscellaneous Goods and Services Expenditure
0,0,0,63,35,4,1,3,1,Male,28,0,10.0806,6.016,0.005,0.028,1.9338,0.369
1,0,1,50,5,5,1,6,2,Male,56,0,41.019,8.8966,0.605,0.03,3.849,1.764
3,1,0,203,16,3,1,4,1,Male,66,0,73.021,17.2404,0.41,0,8.9982,4.8186
0,0,0,48,10,0,0,7,1,Male,37,0,11.3852,8.8017,0.012,0.04,1.5648,0.5394
1,0,0,40,11,2,1,2,0,Female,21,0,13.2645,5.1139,0.01,0.01,2.931,0.8028
1,0,0,100,12,3,1,8,2,Female,60,0,30.1423,12.7743,0.115,1.1957,3.3804,1.5066
1,0,0,54,8,2,1,4,1,Male,41,0,14.3839,6.5989,0.036,0,4.0074,0.5586
1,0,0,36,11,2,1,5,3,Male,45,0,30.124,10.2906,0,0.06,4.7028,2.7966
0,0,0,36,12,1,1,5,2,Male,37,0,11.741,8.7743,0,0.165,0.9816,0.7008
1,0,0,30,12,1,1,2,1,Male,51,0,15.2913,5.931,0.01,0,1.65,0.4206
0,0,0,30,7,1,1,2,2,Male,51,1,8.6964,6.2023,0.0128,0,1.5,0.3018
1,0,0,50,18,3,1,4,2,Male,26,0,22.6761,10.4427,0.147,0,2.406,1.347
1,0,0,48,15,1,1,6,1,Male,38,0,15.3585,11.0631,0.022,0.235,1.62,1.077
0,0,0,35,23,1,1,5,2,Male,38,1,9.6855,8.1985,0.012,0.01,1.65,0.5304
1,0,0,48,2,3,1,4,3,Male,53,0,26.452,10.8109,0.012,0,2.2674,1.8702
0,0,0,63,10,2,1,4,1,Male,68,0,24.1065,9.6505,0.015,0.055,3.1794,2.3454
1,0,0,30,17,2,1,7,3,Male,34,1,12.1751,9.1575,0.012,0.07,1.47,0.9306
1,0,0,84,47,4,1,4,3,Male,62,1,13.5071,9.0942,0.0194,0.06,2.304,0.8988
1,0,0,54,20,2,1,3,2,Male,50,0,23.9836,9.0669,0,0.03,2.9148,0.8856
0,0,0,25,26,1,0,1,0,Male,43,1,6.7755,2.9066,0.006,0,1.4622,0.2148
1,0,0,30,38,2,1,4,2,Male,46,0,14.8088,7.8662,0.005,0.05,1.4832,0.444
1,0,0,72,25,3,1,7,1,Male,63,0,25.5226,15.5045,0.012,1.23,4.074,1.3056
1,0,0,40,19,3,1,4,1,Male,64,0,17.5305,8.4355,0,0,2.7552,1.014
1,0,0,42,14,2,1,3,3,Male,60,1,9.8132,6.9946,0.012,0,2.2074,0.6846
1,0,0,45,14,2,1,2,0,Male,45,0,14.4206,7.2478,0,0,2.7798,0.531
1,0,0,72,21,3,1,5,2,Male,45,0,12.5505,10.0518,0.01,0.06,2.6256,0.9006
0,0,0,30,1,1,0,4,1,Male,32,1,6.79,6.0543,0.012,0.005,1.3152,0.5874
0,0,0,35,14,2,0,2,2,Male,55,1,8.4369,4.9085,0.0145,0,1.7352,0.4788
1,0,0,35,14,1,1,4,1,Male,63,0,12.1743,7.2244,0.0198,0.015,1.686,0.708
