Number of Television,Number of Car,Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,Total Food Expenditure,Medical Care Expenditure,Education Expenditure,Housing and water Expenditure,Miscellaneous Goods and Services Expenditure
1,0,0,30,13,1,1,7,2,Male,40,0,23.598,10.842,0.32,0.0235,1.8378,1.7394
1,0,0,40,17,2,1,5,2,Male,40,0,20.1263,11.2247,0.7604,0.81,5.0664,1.716
1,0,0,30,45,1,1,3,2,Male,52,0,24.3511,13.5307,0.361,0,2.6832,1.239
1,0,0,40,26,1,1,2,1,Male,67,0,14.3918,5.1113,0.0624,0,3.36,0.624
1,1,0,135,38,3,1,3,2,Male,64,0,31.1004,10.0003,1.043,0.1375,8.4432,3.1788
1,0,0,50,20,1,1,5,1,Male,38,0,15.4759,9.0998,0.0756,0.14,3.4482,0.717
1,0,0,36,41,1,1,3,0,Male,68,0,14.459,6.3695,0.1909,0.0725,4.4502,0.9102
1,0,0,50,35,1,1,7,2,Male,48,0,20.2051,11.8855,0.7023,0.055,4.3668,1.1742
1,0,0,33,31,3,1,3,0,Female,55,0,15.108,5.7573,1.7264,0.0405,4.9026,0.5736
1,0,0,100,15,2,1,5,1,Male,38,0,41.3284,15.4075,0.3547,6.135,5.784,2.208
1,0,0,40,33,2,1,4,1,Male,37,0,18.6223,9.7188,0.1592,0.0385,3.4392,1.5132
1,0,0,30,7,1,1,4,2,Male,48,0,24.8053,11.0894,0.801,0.9375,2.904,1.5102
1,0,0,20,15,0,1,2,2,Male,42,0,13.629,7.0611,0.0185,0,2.9508,0.5442
1,0,0,100,25,2,1,3,2,Female,43,0,21.2077,8.2412,0.3794,0.272,3.906,1.5336
1,0,0,36,17,2,1,2,2,Female,46,0,14.3618,6.6881,0.0356,0.615,4.2396,0.8136
1,0,0,40,15,1,1,3,1,Female,40,0,12.7787,5.2968,0.0195,0.0657,3.5376,0.9894
0,0,0,30,14,1,1,5,1,Male,72,0,13.8978,7.9729,0.305,0.122,1.6872,0.879
1,0,0,40,15,3,1,10,5,Female,27,0,58.0435,26.7028,3.3226,1.284,6.39,2.4264
1,0,0,90,10,3,1,4,1,Female,72,0,26.5133,7.0642,0.2309,0.021,5.9238,4.6068
3,0,0,32,7,2,1,4,2,Male,47,0,55.0836,13.9697,0.483,1.9649,7.2258,4.4208
1,0,0,30,5,2,1,4,1,Male,64,0,36.8704,11.4791,1.3096,0.179,8.1012,1.5432
1,0,0,30,8,1,1,2,2,Male,27,0,57.2867,18.2465,0.395,0,5.2872,3.48
0,0,0,20,41,1,1,4,3,Female,50,0,21.8454,12.2506,0.2139,0.055,3.2526,1.689
1,0,0,100,36,3,1,8,2,Female,69,0,48.415,18.8387,0.9498,1.5379,7.728,3.1074
1,0,0,100,17,3,1,4,1,Female,58,0,19.7537,8.2229,0.2855,0.066,4.6182,1.7778
1,0,0,30,25,1,1,5,2,Male,56,0,14.3498,8.278,0.0174,0.143,2.976,0.6234
1,0,0,50,4,1,1,2,1,Female,54,0,17.7972,6.5694,0.0516,1.05,4.8918,2.127
1,0,0,50,28,1,1,4,1,Male,30,0,11.3857,3.1672,0.1412,0.073,0.7938,0.1998
0,0,0,16,8,1,1,8,4,Female,49,0,12.268,6.7286,0.047,0.039,1.284,1.6494
1,0,0,80,55,3,1,7,2,Male,69,0,61.6032,14.3605,1.4533,0.095,12.7578,3.2364
1,0,0,60,23,2,1,4,1,Female,47,0,13.7945,4.5701,0.062,0.0674,1.8534,0.537
0,0,0,50,24,1,1,4,1,Female,54,0,10.8292,6.7522,0.0106,0.331,1.1346,0.3282
0,0,0,40,6,1,0,6,2,Male,50,0,26.4329,6.2757,0.1145,0.108,1.3566,0.777
1,0,0,60,23,3,1,7,0,Male,47,0,12.0528,7.8229,0.078,0.82,3.9372,0.3294
1,0,0,50,21,1,1,1,0,Female,78,0,7.5834,2.341,0.7166,0,1.0458,0.0906
2,0,0,80,52,3,1,5,1,Male,53,0,55.7007,13.1585,0.7828,4.5645,6.4026,1.2594
0,0,0,60,45,2,1,3,0,Male,73,1,10.1243,3.908,0.0579,0.03,1.62,0.12
0,0,0,60,19,1,1,2,1,Female,48,0,7.212,8.1542,0.1,0.157,0.8952,0.456
1,0,0,35,27,3,1,6,1,Male,57,0,30.4507,13.2369,0.1722,0.644,1.9692,0.5946
1,0,0,32,15,4,1,4,0,Male,29,0,33.064,17.5107,0.5563,1.11,14.7888,0.5424
1,0,0,160,60,3,1,3,0,Female,78,0,5.8843,6.8076,0.2771,0.002,1.7322,0.27
0,0,0,40,75,1,1,2,0,Male,67,1,6.9225,4.5428,0.0015,0,2.1864,0.2346
1,0,0,50,55,1,0,4,0,Male,43,0,7.1776,6.3201,0.0968,0.2555,1.8204,0.321
1,0,0,60,45,2,1,8,1,Male,43,0,20.1526,7.7337,0.2041,1.76,3.4236,1.3236
1,0,0,60,51,3,1,6,1,Male,73,1,15.0771,6.9359,0.0379,0.035,1.9206,0.2826
1,0,1,70,55,4,1,10,1,Male,60,0,54.9977,10.728,0.3933,3.08,6.201,2.6466
0,0,0,29,16,2,1,3,2,Male,49,0,3.843,3.8842,0.0192,0.002,1.0422,0.2046
0,0,0,26,23,3,0,12,4,Male,59,0,26.0715,14.1503,0.1245,0.283,1.2474,1.0452
1,0,0,18,26,2,1,8,3,Female,49,0,53.187,17.1112,0.8036,0.0212,2.8752,4.6848
1,0,0,36,85,2,1,4,1,Female,50,0,35.1306,15.1089,0.988,3.55,2.688,2.301
1,0,0,36,15,2,1,6,2,Male,50,0,20.16,7.1615,0,0.03,1.2516,0.3684
1,0,0,11,1,1,1,3,1,Female,67,0,5.9632,2.6414,0,0.014,0.87,0.147
1,0,0,86,80,8,1,7,1,Male,48,0,25.248,11.3195,2.78,0.166,1.566,0.7662
1,0,0,15,22,2,1,7,2,Male,53,0,29.835,7.4095,0.145,0.024,7.6416,1.3344
1,0,0,32,13,1,1,4,0,Female,33,0,8.6209,82.7565,0.0405,0.155,1.7004,0.9936
1,0,0,19,3,2,1,7,2,Male,36,0,14.2557,9.8282,0.053,0.2468,1.632,0.7476
1,0,0,38,8,2,1,2,0,Female,76,0,6.467,4.3337,0.42,0,2.622,0.1122
0,0,0,36,37,2,1,2,1,Female,59,0,12.4398,5.1549,0.048,0,1.0782,0.4176
1,0,0,43,24,2,1,4,1,Female,56,0,28.293,7.2693,0.108,2.0236,16.1346,0.6162
1,0,0,18,12,1,1,7,1,Male,34,0,11.2418,7.1187,1.425,0.09,10.3932,0.387
1,0,0,16,24,1,1,6,1,Male,51,0,16.2918,7.0986,0,0.656,10.4412,0.3912
1,0,0,48,4,3,1,4,0,Male,82,0,20.0014,6.2725,0.1616,0,6.5142,2.2806
1,0,0,43,24,1,1,5,0,Male,51,1,5.5014,5.169,0.0135,0.32,0.891,0.2892
1,0,0,35,15,1,1,2,0,Male,48,1,10.6719,3.7607,0.014,0.79,1.416,0.2538
0,0,0,35,85,0,1,3,2,Female,73,1,6.6391,2.8532,0.1396,0,0.996,0.102
0,0,0,100,17,0,1,1,0,Male,62,1,4.6591,2.2472,0.0172,0,0.5022,0.087
1,0,0,14,5,1,1,7,0,Male,33,0,13.9309,5.875,0.1533,0.145,0.9318,0.3546
1,0,0,20,15,1,1,8,1,Female,26,0,26.5992,9.2691,0.5765,0.109,1.74,1.077
0,0,0,90,34,3,1,1,0,Female,41,0,3.464,1.1918,0.003,0,1.3962,0.1068
1,0,0,13,11,1,1,3,1,Male,31,0,10.7619,4.9254,0.0308,0.005,0.714,0.2316
1,0,0,30,31,1,1,6,1,Male,68,0,18.4167,4.6019,0.1371,0.0385,0.9798,1.0836
1,0,0,17,19,2,1,2,0,Male,77,0,24.385,3.1679,0.07,0,2.2698,1.0842
1,0,1,50,14,1,1,6,0,Male,44,0,11.1224,7.3848,0.116,1.89,3.7884,0.5436
1,0,0,65,15,1,1,7,1,Male,61,0,10.4364,6.4034,0.1198,0.095,1.9914,0.384
1,0,0,40,20,1,1,7,0,Male,44,0,10.8634,4.316,0.277,0.18,1.308,0.084
1,0,0,43,22,2,1,7,1,Male,50,0,23.236,6.2613,0.099,1.62,1.1754,0.8532
0,0,0,25,10,0,0,7,0,Male,55,0,10.5688,6.1807,0.03,0.214,0.7146,0.6042
0,0,0,36,15,1,1,5,2,Male,51,0,29.3791,8.9516,0.1945,0.9795,1.2348,1.0656
0,0,0,45,25,0,0,4,1,Male,51,0,10.3876,5.1437,0.0209,1.95,0.921,0.7578
1,0,0,30,35,2,1,4,0,Female,50,0,46.8246,11.5301,3.6198,2.215,6.0372,1.5318
0,0,0,60,35,2,1,4,1,Male,47,0,25.1555,11.5119,0.0226,1.37,3.936,1.224
1,0,0,8,25,0,1,4,2,Male,46,0,11.9848,8.4062,0.0171,0.1433,2.172,0.6324
1,0,1,20,25,2,1,8,3,Female,43,0,37.6444,11.5971,0.3094,0.455,7.572,1.8768
1,0,0,30,20,2,1,7,2,Male,48,0,14.5361,8.7117,0.1242,0,2.31,0.639
1,0,0,40,32,3,1,6,1,Female,38,0,17.0057,11.4304,0.3029,0.2619,2.847,1.2204
1,0,1,100,31,3,1,5,4,Male,70,0,36.6243,20.2328,6.0371,0,9.1002,5.484
1,0,1,40,25,2,1,6,5,Female,53,0,85.67,17.6249,0.1732,3.802,6.216,7.3422
2,0,0,48,15,1,1,3,1,Male,48,0,20.5018,6.2332,0.0706,0.12,5.877,1.032
3,0,1,60,42,3,1,2,0,Female,71,0,19.1604,5.4095,0.2785,0,8.1174,1.3734
1,1,0,60,10,3,1,6,2,Male,71,0,29.4544,8.887,0.2179,0.83,6.324,1.41
1,1,0,40,35,2,1,2,1,Male,55,0,13.9957,6.0366,0.2268,0,5.466,0.5334
0,0,0,25,45,0,0,2,0,Female,88,0,3.2533,2.3423,0.015,0,0.8628,0.1266
2,0,0,65,77,5,1,4,2,Female,56,0,32.3319,9.4995,1.5347,0,3.6264,1.3776
1,0,0,36,15,0,1,3,2,Female,71,0,13.3407,7.6169,0.056,0.161,2.16,1.3944
1,0,0,40,35,2,1,1,0,Female,64,0,9.4696,5.0287,0.0055,0,2.7732,0.447
1,0,0,50,3,2,1,5,1,Male,41,0,27.4494,14.344,0.0506,2.72,5.7576,0.8784
1,0,0,24,7,1,1,4,1,Male,33,0,14.9461,9.0261,0.0185,0.0425,1.668,0.5988
1,0,0,100,22,4,1,3,1,Female,49,0,43.3867,11.612,0.111,0,7.854,1.839
1,0,0,14,20,2,1,3,2,Male,31,0,16.417,6.5284,0.111,0.003,4.8426,0.6036
2,0,0,150,43,5,1,2,1,Female,71,0,30.407,3.4036,0.327,0,11.1156,0.5352
1,0,0,38,29,2,1,7,2,Male,53,0,26.3188,9.3391,0.2227,0,4.752,1.2414
3,0,0,162,48,5,1,13,1,Male,72,0,151.0802,25.076,2.1967,0.207,17.487,2.9244
1,0,0,32,29,2,1,5,5,Male,51,0,42.4196,17.5597,0.376,0.081,7.7838,1.698
1,0,1,300,19,6,1,2,0,Male,91,0,41.695,8.4009,0.8431,0.118,18.705,0.372
1,0,0,11,12,2,1,9,3,Male,53,0,35.9102,21.2328,0.2544,4.0633,3.1068,2.4582
1,0,1,216,13,3,1,2,0,Male,45,0,49.8336,10.1545,0.5012,0,20.205,1.4982
0,0,0,10,25,0,0,1,1,Male,44,1,6.4404,2.8146,0.0071,0,0.7092,0.0978
1,0,1,32,25,2,1,6,1,Male,43,0,24.2825,9.6072,0.4355,0.098,8.2392,1.701
1,0,0,50,9,1,1,5,0,Male,31,1,18.5067,20.5013,0.0034,0.044,2.7084,1.1166
1,0,0,50,20,1,1,5,1,Male,40,1,11.4808,9.1965,0.2066,0.066,2.2746,1.0566
1,0,0,14,17,1,1,3,1,Male,36,1,13.2653,8.1383,0.0711,0.088,3.6396,0.66
1,0,0,108,18,3,1,7,1,Female,73,0,34.636,14.9897,0.1128,0.073,16.3584,0.7896
1,0,0,12,16,1,1,5,2,Male,48,0,17.8008,8.4583,0.3369,1.273,1.4784,0.7878
1,0,1,10,85,2,1,4,0,Male,57,0,25.0666,8.587,0.1216,0.805,4.5294,0.5376
0,0,0,13,25,2,0,7,3,Female,70,0,22.5354,9.7585,0.0573,0.044,2.541,1.743
1,0,0,14,55,2,1,4,0,Female,81,0,8.0747,3.6382,0.0951,0,4.014,0.1242
1,0,0,150,3,3,1,3,0,Male,69,0,10.9054,6.2229,0.357,0.016,1.509,0.1668
0,0,0,12,3,1,1,1,0,Male,56,0,3.8302,2.0755,0.0188,0,0.6348,0.0654
1,0,0,20,22,2,1,2,0,Male,52,1,6.1925,2.7751,0.0321,0.02,0.903,0.1668
1,1,0,32,1,2,1,4,0,Male,43,1,13.1108,7.1616,0.051,0.06,2.3016,0.4788
1,0,0,15,36,1,1,5,1,Male,63,0,8.649,4.2542,0.2204,0,0.8148,0.666
1,0,0,35,15,2,1,11,2,Male,67,0,17.6232,8.6795,0.1178,0.071,1.3494,2.1564
1,0,0,18,10,0,1,5,0,Male,36,0,5.6702,5.6732,0.0306,0.026,1.125,0.615
1,2,0,100,12,3,1,10,1,Male,68,0,113.176,26.438,2.727,0.3115,3.8946,4.8738
1,1,0,20,15,2,1,5,0,Male,49,0,29.1281,12.1595,0.0652,8.4989,6.261,2.0478
1,2,0,20,17,2,1,3,1,Female,38,0,180.0852,11.6911,0.3229,7.04,4.9104,0.855
0,0,0,20,15,1,1,1,1,Male,56,0,9.6863,2.2758,0.0405,0,1.1952,0.1602
0,0,0,20,51,1,1,7,0,Male,61,1,12.9004,6.5935,0.0639,0.083,1.3074,0.42
1,0,0,20,18,2,1,4,1,Male,41,1,11.0763,6.8773,0.0769,0.0223,2.76,0.3534
1,0,0,13,4,1,1,6,1,Male,62,1,12.0895,7.6199,0.2734,0.066,2.919,0.531
1,0,0,39,11,2,1,4,0,Male,80,0,65.834,7.5985,0.2249,0.1014,5.0028,0.4926
1,0,0,32,31,2,1,6,1,Male,76,1,18.0645,5.9022,0.268,0.107,2.1864,0.246
1,0,0,17,3,0,1,6,1,Male,38,0,9.6011,4.9909,0.0252,0.1309,1.2744,0.477
2,0,0,25,10,1,1,2,2,Female,49,1,19.199,6.3334,0.9802,0,9.0648,0.9708
1,0,0,20,8,1,1,4,1,Male,48,0,20.0588,6.5585,0.3015,0.1906,1.7394,0.5226
1,0,0,32,28,3,1,5,1,Male,37,0,17.6886,8.8974,1.2546,0.162,1.962,1.1424
1,0,0,26,15,1,1,5,1,Male,40,0,20.6247,5.6162,0.169,0.2954,1.539,0.4014
1,1,0,32,55,2,1,1,0,Male,67,0,13.7118,2.7646,0.8573,0,4.356,0.3624
1,0,0,43,30,2,1,6,0,Female,42,0,27.7732,14.7073,0.133,2.5679,5.43,1.0662
1,0,0,12,40,2,1,4,1,Male,73,0,11.0741,4.6626,0.4338,0.102,1.347,0.5868
1,0,0,20,15,0,1,15,4,Male,54,0,49.1445,15.6415,0.2458,0.029,3.2862,1.3464
3,0,1,43,20,3,1,5,1,Female,49,0,44.3068,10.4705,0.6128,0.1339,6.9552,1.089
0,0,0,12,9,0,1,6,1,Male,44,0,19.8633,10.6837,0.0757,1.65,1.8,0.7842
0,0,0,10,24,2,1,8,2,Female,44,0,16.3514,12.0024,0.0462,0.2775,2.319,0.8124
4,2,1,135,21,2,1,3,1,Male,46,0,708.2152,21.9345,1.4321,14.9862,33.1248,6.4434
1,0,0,187,23,3,1,5,0,Male,67,0,45.8341,12.854,0.1716,0.03,6.5946,1.074
0,0,0,18,13,2,1,4,1,Male,61,0,15.2221,8.7103,0.1802,0.044,2.0142,0.4746
1,0,0,32,29,3,1,1,0,Female,66,0,19.5072,2.1373,0.036,0,4.5948,0.2286
1,1,0,250,25,2,1,5,0,Female,64,0,42.1671,9.3294,0.6168,0,8.475,2.0532
1,0,0,150,45,2,1,4,1,Male,38,0,21.3237,8.5484,0.0865,0.49,2.157,1.008
1,0,0,36,11,3,1,1,1,Female,48,0,14.7276,5.5261,0.0056,0,6.393,0.6654
1,0,0,100,50,3,1,4,3,Male,60,0,54.182,5.0746,1.1446,0,6.4398,2.7192
1,0,1,50,10,1,1,5,2,Male,41,0,41.5508,15.5802,0.493,1.1198,6.7608,2.0892
2,0,1,100,95,3,1,7,1,Male,83,0,124.851,27.3071,16.752,1.89,28.4808,3.2202
1,0,1,100,95,2,1,6,1,Male,43,0,69.1773,15.5382,0.1615,0,30.555,3.4632
1,0,0,80,55,2,1,7,4,Male,51,0,63.4335,31.1455,0.678,3,5.2512,2.9046
1,0,0,40,8,1,1,4,1,Female,30,0,23.6681,5.9917,0.0599,0.1425,4.953,1.1136
1,0,0,11,5,1,1,5,1,Male,30,0,16.1416,6.3075,0.1034,0.118,1.2648,0.282
1,0,0,11,15,2,1,4,1,Male,58,0,10.643,7.1542,0.3968,0.0944,1.0992,0.3414
1,0,0,19,13,2,1,8,1,Female,74,0,15.9861,8.6381,0.0442,0.198,1.2738,0.4572
1,0,0,64,7,4,1,5,1,Male,50,0,14.0791,9.2362,0.1332,0.6409,3.0258,0.681
2,0,0,23,34,2,1,3,1,Male,70,1,10.9538,3.9156,0.025,0,1.068,0.1584
1,0,0,20,50,3,1,5,0,Male,64,0,9.2955,8.4312,0.0114,0,0.9744,0.2898
1,0,0,60,7,4,1,6,1,Male,54,0,33.3584,11.1775,0.1482,0,15.849,0.9396
1,0,0,150,22,3,1,13,1,Male,44,0,28.9188,14.0773,0.3482,0,2.5068,2.151
1,0,0,15,29,1,1,8,0,Female,57,0,11.471,7.3269,0.0704,0.4303,1.0356,0.3528
1,0,0,48,29,2,1,8,3,Male,70,0,12.0856,6.3137,0,0.045,1.212,0.1938
0,0,0,30,45,0,1,12,2,Male,40,0,11.301,5.8866,0.003,0.13,0.9396,0.3438
1,0,0,10,25,2,1,2,1,Male,55,0,7.6692,2.9874,0.0015,0.091,0.5436,0.2334
1,0,0,16,2,2,1,10,4,Male,56,0,32.7655,30.8275,0.005,0.158,1.9656,0.7668
1,0,0,26,21,2,1,3,1,Male,82,0,7.8304,6.8538,0.31,0,1.9812,0.4152
1,0,0,10,25,1,1,3,1,Male,28,0,8.0562,2.8853,0,0,0.7584,0.2424
1,0,0,18,14,0,1,6,2,Female,33,0,7.3065,4.3529,0,0.03,0.7224,0.5064
1,0,0,32,34,2,1,2,0,Female,48,0,2.5475,1.4666,0.3076,0,1.3404,0.3558
1,0,0,18,21,0,1,5,3,Male,52,0,18.7525,5.8889,0.123,0.173,0.6738,0.366
0,0,0,17,18,0,1,9,1,Male,38,1,12.3152,4.3016,0.04,0.092,0.7344,0.27
1,0,0,15,35,2,1,5,1,Male,32,0,15.549,5.7168,0.0468,0.1325,1.8414,0.8688
0,0,0,15,1,1,0,4,2,Male,53,0,10.763,7.5207,0.0161,0.0255,1.0902,0.1986
1,0,0,40,27,1,1,3,1,Male,27,0,9.154,3.9118,0.0205,0,0.93,0.2004
0,0,0,18,55,1,0,6,2,Male,83,0,13.9949,4.0121,0.2036,0,0.6498,0.4212
0,0,0,50,15,0,1,8,0,Male,71,0,10.3245,4.9946,0.136,0.0185,1.476,3.4914
2,0,0,108,95,4,1,5,0,Female,83,0,45.5087,8.9929,1.0515,2,10.332,1.0152
0,0,0,54,46,2,1,6,3,Female,75,0,8.797,5.0838,0.0414,0.312,2.85,0.4908
3,1,1,108,1,4,1,7,0,Female,40,0,67.18,15.8356,2.9076,9.382,8.148,1.6506
0,0,0,16,15,1,1,8,2,Male,50,0,28.36,7.7758,0.1166,0.084,0.6768,0.4824
1,0,1,86,29,3,1,4,3,Female,61,0,114.059,15.1501,1.1953,1.008,12.189,0.9966
1,0,0,81,20,2,1,7,2,Female,48,0,39.6057,15.2984,0.0766,1.5355,4.0578,2.2764
1,0,0,40,27,3,1,4,2,Male,52,0,28.7086,11.1346,0.2403,0.757,4.4928,0.3186
1,0,0,20,43,2,1,8,2,Female,48,0,19.9246,11.3979,0.1523,0.0316,3,0.5826
0,0,0,19,29,2,1,6,1,Male,23,0,11.0618,4.4899,0.1133,0,2.931,0.1524
1,0,0,14,42,6,1,5,1,Female,69,0,47.8096,14.4147,0.8071,0.65,12.9894,3.3474
0,0,0,20,33,0,1,8,2,Male,45,0,15.4489,8.3463,0.0297,0.0345,1.5438,0.3756
1,0,0,30,85,3,1,2,0,Female,84,0,17.973,4.9287,2.0854,0,6.2358,0.0846
1,0,0,16,37,3,1,4,2,Female,30,0,18.756,7.1947,0.036,0.0485,5.991,0.24
1,0,0,80,45,2,1,6,0,Male,52,0,52.8319,21.8763,7.6604,0.93,20.829,0.3858
1,0,0,35,16,2,1,5,1,Male,48,0,13.2442,8.8932,0.0148,0.4865,1.926,0.7224
1,0,0,35,12,1,1,5,0,Male,35,0,6.478,5.8407,0.032,0.052,1.8624,0.3498
1,0,0,35,35,2,1,7,2,Male,77,0,15.3785,7.9688,0.0979,0.062,3.4218,1.0482
1,0,1,72,13,3,1,10,2,Male,63,0,41.0416,13.7817,0.4175,4.048,5.364,1.0284
1,0,1,50,8,1,1,5,0,Female,32,0,19.9017,8.3401,0.9597,0.213,2.6886,0.5274
1,0,0,30,15,1,1,3,1,Male,31,0,12.944,4.2706,0.0711,0.01,2.6376,0.7656
1,1,1,100,25,6,1,3,0,Female,30,0,79.5352,15.8082,7.0882,2.2935,10.827,6.888
1,0,1,200,9,3,1,4,0,Male,41,0,18.5798,11.4128,0.3131,0.0846,12.3558,0.483
1,0,0,96,33,1,1,4,2,Male,61,0,17.4826,7.114,0.0272,0.124,2.7726,0.7308
1,0,0,32,17,2,1,4,2,Male,44,0,26.9632,8.0719,0.3595,4.81,2.6268,0.9156
0,0,0,13,45,2,1,2,0,Male,81,0,4.1357,1.8453,0.65,0.08,1.1304,0.1056
1,0,1,80,45,2,1,2,1,Female,59,0,35.9154,6.1931,1.603,0,4.8132,3.1614
1,0,0,57,15,3,1,5,4,Male,71,0,28.7268,8.4551,0.1881,0,2.4258,0.7584
1,0,1,100,44,2,1,3,0,Male,30,0,6.2573,3.7982,0.1788,0,0.8484,0.3066
1,0,1,100,15,3,1,4,2,Female,45,0,27.3471,10.5462,0.438,1.449,2.6748,1.3806
1,0,0,58,14,3,1,3,0,Male,77,0,21.8012,9.2369,2.8839,0.1175,5.4906,0.426
1,0,0,100,8,4,1,4,0,Female,37,0,55.2152,21.5106,1.9582,3.22,17.4192,2.4558
0,0,0,15,10,2,1,5,2,Female,23,0,7.5014,3.9535,0.023,0,1.0722,0.3108
1,0,0,30,31,2,1,4,2,Male,64,0,14.568,5.0157,0.2141,0,1.5378,0.4818
1,0,0,30,2,1,1,9,2,Male,41,0,20.967,8.6522,0.0333,0.129,1.4112,1.5852
2,0,1,150,17,2,1,1,0,Female,45,0,42.7454,4.0806,1.4578,0,10.116,0.8844
0,0,0,40,15,2,1,2,2,Male,69,0,9.9248,4.3127,0.0865,0,1.3146,0.4674
0,0,0,40,14,2,1,1,0,Male,61,0,14.231,4.4918,0.067,0.074,2.6574,0.279
1,0,0,20,8,1,1,5,1,Male,66,0,13.2465,3.8401,0.0282,0,1.2018,0.9534
1,0,0,15,1,0,1,7,1,Male,43,0,16.727,4.3593,0.0255,0.081,0.906,0.5964
0,0,0,15,32,1,1,3,1,Male,58,0,12.4716,4.6763,1.0325,1.5,1.0656,0.2988
1,0,0,21,3,2,1,7,2,Male,51,0,21.3008,4.1461,0.015,0.647,2.1252,1.134
1,0,0,12,0,0,1,6,0,Male,29,0,11.1189,4.4438,0.049,0.065,1.0194,0.3654
0,0,0,13,15,1,0,6,0,Male,41,1,8.0282,4.1541,0.0546,0.0245,1.0224,0.1356
1,0,0,13,13,2,1,3,0,Male,62,0,10.0786,2.2109,0.2939,3.98,0.972,3.8238
1,0,0,21,17,2,1,4,0,Female,72,0,6.0026,4.5736,0.1792,0.038,0.693,0.2508
2,0,0,23,3,2,1,5,1,Male,40,1,18.2573,8.6341,0.0966,0.065,1.5,0.6342
1,0,0,10,15,0,1,3,1,Male,63,0,3.012,3.991,0.0365,0.028,0.3858,0.2106
3,0,0,29,6,2,1,3,2,Female,78,0,17.224,9.2412,0.0316,0.045,2.349,1.1184
1,0,0,11,3,1,1,5,1,Male,33,0,10.8156,7.7569,0.0667,0.0635,0.6,1.2084
1,0,0,19,5,1,1,5,2,Male,42,0,19.4965,5.4389,0.0595,2.86,1.152,0.843
1,0,0,36,25,1,1,3,1,Male,61,1,6.7132,3.3457,0.0202,0,0.9522,0.1122
0,0,0,11,3,1,1,9,2,Male,54,1,15.4711,6.8973,0.013,0.108,0.7596,0.2574
1,0,0,14,6,1,1,4,2,Male,46,0,21.5757,7.9924,0.101,0.0552,2.694,2.304
1,0,0,11,14,1,1,4,0,Male,35,0,13.3634,9.6405,0.0645,0.1247,0.9786,0.7434
1,0,0,16,7,0,1,4,1,Male,35,0,12.1499,5.4582,0.256,0,1.9014,1.2594
0,0,0,11,21,0,1,1,1,Female,72,1,1.1285,1.4709,0.0055,0,0.525,0.1236
1,0,0,7,22,1,1,4,0,Male,46,0,12.909,10.2204,0.109,0.093,1.7598,1.0986
1,0,0,13,13,2,1,4,1,Male,31,0,11.5131,7.1752,0.3218,0,1.2618,1.266
0,0,0,8,5,1,0,3,1,Male,30,0,11.3733,4.3816,0.0986,0.086,0.9444,0.2298
2,1,0,130,19,3,1,8,2,Male,52,0,46.7537,20.3748,0.385,0,14.4948,4.326
1,0,0,12,29,3,1,4,2,Male,65,0,21.825,6.358,0.0635,0,1.6242,0.4482
0,0,0,6,3,1,1,4,1,Female,61,0,4.347,3.3711,0.1161,0,0.741,0.7848
1,0,0,15,6,1,1,4,1,Male,35,0,23.0564,6.4986,11.024,0.16,2.4954,0.5766
0,0,0,12,31,2,0,2,0,Female,61,0,3.529,2.969,0.5775,0,1.0128,0.0996
1,0,0,32,24,2,1,2,0,Male,67,0,5.2431,3.6952,0,0,1.125,0.2262
0,0,0,15,25,2,0,10,3,Male,49,0,23.2565,7.4406,0.2426,0.101,1.1076,0.6348
1,0,0,23,3,2,1,5,0,Male,65,1,7.1701,4.6037,0.1651,0.075,0.7806,0.3324
1,0,0,24,11,1,1,3,1,Male,39,1,7.8305,4.5412,0.013,0,1.0506,1.0266
0,0,0,9,5,1,1,5,1,Male,50,1,4.8298,3.1451,0.0083,0,0.558,0.2352
1,0,0,45,20,3,1,3,0,Male,60,1,11.7149,5.7132,0.0359,2.31,2.3898,0.3264
1,0,0,22,18,2,1,1,0,Male,63,0,3.8489,2.0337,0.005,0,0.4596,0.0162
0,0,0,30,16,2,1,2,1,Female,64,1,5.0629,1.9924,0.0035,0,0.6144,0.1224
1,0,0,50,4,1,1,8,0,Male,66,1,4.4869,4.2837,0.0055,0.0975,1.0194,0.7272
1,0,0,80,9,1,1,6,0,Male,45,1,17.1931,7.036,0.1474,1.6,1.323,0.861
1,0,0,32,1,2,1,9,1,Male,35,0,17.4695,11.4684,0.1556,0.382,2.5782,0.7578
1,0,1,80,15,3,1,5,0,Male,46,0,35.8317,13.7208,0.2178,1.6,6.942,4.7082
1,0,0,30,12,2,1,5,2,Male,42,0,9.4066,7.0059,0.1124,0.045,1.4112,0.8196
1,0,0,17,1,2,1,6,1,Male,54,0,10.4689,6.9778,0.0822,0.0575,1.752,0.8046
0,0,0,20,63,1,0,2,0,Female,72,1,2.8921,1.9675,0.044,0,0.9438,0.1188
1,0,0,85,24,3,1,2,1,Male,57,0,10.6605,4.1514,0.2457,0,2.6274,0.2844
1,0,0,80,16,1,1,8,1,Male,38,0,11.0397,13.8659,0.1615,0.964,1.209,0.9036
0,0,0,100,45,1,1,3,1,Female,57,0,10.9446,9.7971,0.578,0,1.581,0.42
