,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,violations_train_prediction,violations_test_data,accuracy_test_corrected,violations_test_prediction,counter_examples_found
0,1,"[0, 1]",0,2,5,10,7943.454828739166,"[[-1.6290365440740697, 1.6229360103681446e-09, 1.62093452814459e-09, 1.620655937635775e-09, 6.292887928196353e-07, 1.6207952328901826e-09, 1.6210738233989971e-09, 1.0425039878040054, -2.9218412389063086, -4.95293114241706, 1.0562654365653141, -4.000000716202244, -2.000000716202385, -0.46973351729570767], [0.42093659039353126, 0.0, -5.901093908074606e-20, 2.714805810004418e-17, 0.0, 1.3198775902545975e-17, -0.7177140158959894, -2.4329504070561456, -2.0, 0.8068506151068178, -1.585141110632305, -1.2360525116847694, -1.3487467604843977, -1.2277872055003491], [-1.9649735378216313, 3.3448990000956584e-12, 2.0000000173867103, 3.105260818999498e-11, 1.658356010925605e-13, 4.3917550428616385e-16, 4.698739536790434e-12, -4.000000001619943, -1.71999607724142, -3.5341155863709903, -1.9933637860823539, 1.8787558874945338, 0.48740400344192547, -1.9972660375725222], [-1.0000000847366197, -1.615091881213527e-19, -3.987108884661029e-19, -7.335808649607482e-07, -0.9999998889419458, -9.243685530439474e-12, -1.534068135092395e-13, -7.509662700343798e-07, 2.0, 0.7107629203143692, -7.857302941215801e-07, -7.335842579907799e-07, -7.683482820779801e-07, 2.0000037458975783], [0.22525767777296604, -1.18473846067161, -0.28223820208946593, -2.066250963256321, -1.7037882779166331, 3.376166354350315, -3.370610096803101, -7.335842579907799e-07, 2.0885794441872654, -1.1808073717388954, -0.5214490503861905, -1.5863062156608276, 0.043036158582244514, -1.9615885884386797e-05]]",47,0.777602523659306,0,14,0.8238993710691824,0,0
0,2,"[1, 2]",0,1,5,10,8021.978346347809,"[[-2.4490853994346486, 0.0022571510310179024, 3.5300446865819398e-06, 0.476904331319155, 1.5022447962580832, -0.9977393190338579, 1.0022447962580832, 0.5859135471750023, -1.478169184284184, -1.0000052950122487, 0.0022589159985800375, -1.0000141198500592, -1.5978311991358976, -1.1227410840014198], [-2.2530883413192924, 0.6515966242607434, -0.2829442634348158, 0.002248326193207228, -0.2249216520298919, 0.0022642109012663745, 0.002250091160769363, -1.8772730356295146, -0.7937231478647934, 1.0022730356295149, -0.002262445933704307, -0.1007547645970673, -1.069311426759908, -0.06875115529514458], [-1.1203648935380985, 1.259004486402221, 0.0022589159985800375, 0.0, -1.0022589158890178, 0.2365271295391411, -0.7522447960389588, -1.5000141198500592, -2.0022589159985804, -2.856305909509086, -0.002262445933704307, 1.6180800140331644, 2.0214374258166106, -3.9977269642609228], [-1.5022518561283316, -0.22990701794646942, -0.0022518562378937663, -1.0449254050446866, -0.0022518561283314978, 0.1919343820681599, -0.5467070313165825, -0.002260680966142172, 2.002273035629515, 0.0022712706619527623, -0.0022624460432665756, -0.002262445933704307, -0.3709212581269839, 3.9977269642609228], [-2.9770125475835276, -0.5874276886667721, 0.46708299816674526, 2.158309765229743, 0.0022589159985800375, 2.1752004821528104, -1.6293957526846758, -0.02754892578824022, 3.0022624459337037, 0.9999982349228757, -0.10645180295552804, -0.002260680966142172, 0.45794655600842893, 0.5080938405225459]]",45,0.8170347003154574,0,16,0.7672955974842768,0,0
0,3,"[0, 1, 2]",0,1,5,10,4385.721381187439,"[[-2.9283994448973947, 0.4042437574550482, 0.020587695357945135, 1.4562580842054929, 0.0, 2.3852970182741364, -0.029287109143898017, 0.02084555704729626, -1.0205878031966613, -1.0805088589310619, 0.02084555704729626, -0.6751634158619602, -1.101289874013157, -1.379935978340455], [-3.0551184620413125, 0.020845557044207912, 1.0208455570596497, 1.0208455570472963, 0.0002577538506349645, 1.376722258782858, 0.020845557056561315, -1.0205878031966613, -0.0002577538506349645, 0.02084555704729626, -0.02084555704729626, -0.09716925543794877, -1.2230505044914806, -0.4263470896978264], [-14.650182507830644, 4.288589232089415, 2.3077206700741955, 18.989357157889817, 0.41082138748224994, 7.397100694513632, 3.639497471371536, -1.0205878031997497, -4.4041581395093266, -2.5285639509194113, -0.02084555704729626, 2.022818188295189, 2.067761788453155, -41.00104963957828], [-1.675613936796528, -0.12950755079036733, -0.53325811821183, 0.0, -0.020845556076886675, -0.01149484691385754, -0.26113755733442884, -0.02084555704729626, 1.1290985696518527, 1.0, -0.02084555704729626, -0.43996968240373685, -0.39905999760683325, 3.5128361140796955], [-3.227689103590947, -1.4746123616365028, 1.827856331765135, -0.5993441704792513, 0.05708728539435433, 3.4257144814132445, -1.394817047133106, -0.0028352923569845154, 1.4705293218661604, -0.0002577538506349645, -0.02084555704729626, -0.09026712584585131, -0.3607036465422194, 0.0023197846588030053]]",51,0.6419558359621451,0,10,0.5534591194968553,0,0
0,4,"[0, 1]",0,2,5,10,3957.91818523407,"[[-0.5, 0.0, 0.0, -1.0, 0.0, 0.0, -0.5625, 0.5, -0.75, -2.0, 1.96875, -2.0, -1.0, -2.0], [0.0, -0.5, -0.299072265625, -1.0, 0.5234375, -0.578125, -0.00390625, -2.0, -3.000244140625, 1.701171875, -3.0, -3.0, -2.0, -4.0], [-1.0, 1.52587890625e-05, 4.184246063232422e-05, 0.0, -1.52587890625e-05, 0.0, 1.52587890625e-05, -1.0, -3.0001220703125, -3.0, -1.0, 1.9999580383300781, 1.999969482421875, -3.0], [-2.0, 1.52587890625e-05, -0.28125, 0.0, -0.125, -0.0625, 1.621246337890625e-05, -1.52587890625e-05, 1.00390625, 7.62939453125e-06, 1.6689300537109375e-05, -0.28125, -0.25, 3.0], [-0.25, -4.25, 1.25, -1.0, -0.5, -3.0, 0.0, 1.9999847412109375, 3.0, 1.0, 1.621246337890625e-05, 2.875, 1.875, 2.5]]",51,0.7716535433070866,0,10,0.7341772151898734,0,0
0,5,"[0, 1]",0,2,5,10,9476.946284770966,"[[-2.222401735362713, 2.5930476557843104e-13, 8.254041698811272e-13, -3.0679463872426507e-13, 1.3915035741838233e-12, -2.5930476557843104e-13, 0.0, 1.2376501550048804, -2.0000000000149307, -2.0540266169065546, 2.6915757063860988, -1.9462388808803337, -0.0048579067434728895, -1.7068241260307897], [-0.03039591878451203, -0.5921676240293348, -5.354299404302696e-12, -0.9113687226719903, -1.9209258501529076e-10, -1.000000000163364, -5.660994043026961e-13, -1.9718782912840243e-11, -0.05685446942648749, 2.0, -0.4216098509923383, -0.0814138964303098, -0.2679033558230983, -1.969604081216054], [-0.0043593091529727495, 0.0, 0.0, -6.281223343845286e-11, -4.8447749929915324e-11, -5.660994043026961e-13, -1.8564770897546607, -1.3671740828382621, -0.9956406908275081, -0.682600784550815, -1.0000000000340834, 1.8077101507143536, 0.004359309179937949, -1.8077101507508717], [77.23849340360701, -15.307092061502773, -69.03424444907482, -2.4745567250799114, 0.6787727179092993, -43.60077057141998, -61.186721930653945, -5.354299404302696e-12, -1.9999999999000149, -5.354299404302696e-12, 0.03391881967612695, -0.8526839008048794, -1.7256653689811676, 75.03391878717525], [-2.653604909219626, -0.9856746378794569, 1.2906781833744905, 1.0477234783475202, 0.0013344189302167502, 0.9621265762746226, 1.7569206142539389, -5.354299404302696e-12, 2.0960376528770572, -5.354299404302696e-12, -5.354299404302696e-12, -5.354299404302696e-12, -5.354299404302696e-12, 0.9417432962022736]]",50,0.6425196850393701,0,11,0.7088607594936709,0,0
