,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,constraint_penalty_train,custom_metric_train_2,violations_train_prediction,violations_val_data,total_mse_val,constraint_penalty_val,custom_metric_val_2,violations_val_prediction,violations_test_data,total_mse_test,constraint_penalty_test,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,0,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,114.11536741256714,"[[2.847493415572916, 12.151360806514242, 2.2420141167992855, 0.7817086255415783, 14.285451693935872, 4.105683235528218, 0.0975220113553868, -0.9115681115933448, 23.2355452785446, 5.7055109681290945, 0.9736046465737874, -1.0932684953490925, -0.8964891663862476, 36.51071002151682], [0.44553925725485793, 0.9957505309466903, 1.1095098197667015, -0.353483589957507, -1.0946553834322017, 0.42466151832124066, -0.9905868825726143, -0.19786424698322042, 0.34278828342672374, 0.9614658984570693, -0.004453349914311702, -0.46224773521002144, -0.233101332301294, 6.132123658444378], [0.1838540598684633, 0.9867897778861757, 3.4309649208005513, -0.7772324824265152, -0.9286681126038985, 0.17623427841826886, -0.08856916966445821, -0.3316947526300219, 0.15460371809071202, 1.0087114610332495, 0.12822740981121153, -0.3211943610197993, 0.009923990702873076, 5.182102930202658], [0.21488882354204816, 5.306763968557965, 3.1730140230764228, 6.053644286439516, 14.530960665086626, -0.6009810289439483, 1.7116885743560393, -0.7766622210028936, 1.236432075735731, -0.5501152158509353, -0.646236282708406, -0.4987975944664447, -0.016895292405795882, 33.63735285177073], [0.15839377662401577, 1.6187319938889473, -1.6643434751602382, 3.3757537235910005, -2.498152660801015, 0.15807097557046457, 0.28370952195958, -0.10391216090392243, -1.0257586408623685, 1.0873649019733052, 0.1036125655835439, -0.5253208292277954, -0.007369170127740702, 14.200192929250447]]",507,36.97648213181232,5.329176689294978,64.1671682766931,482,172,31.83130745404678,5.591333313526397,61.49585180765452,171,183,35.44713554537056,5.630312783102161,108.61336059201423,178,10
0,1,1,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,237.06911063194275,"[[2.5173567898758296, 11.543043090464742, 2.0252351131083706, 0.7455902430647223, 13.875825812778512, 3.894749135825609, 0.03447504309535321, -0.8346594534442535, 22.771458078822324, 5.458105991954795, 0.9528829906819775, -0.9484206586529799, -0.8994792277816812, 38.20976460195244], [0.10561693758805688, 0.38366577353415476, 0.883416165517255, -0.38806576429059075, -1.513040281950668, 0.2007797373875584, -1.028115372322188, -0.11024732211505729, -0.12714794575172353, 0.6810442146951995, -0.025941111124867074, -0.3147494215495771, -0.2310443119630224, 7.838522864353994], [-0.1463281695535354, 0.3787406860185742, 3.2140360123250002, -0.8134890004095433, -1.3381220860198315, -0.034776652058800414, -0.15165629828604038, -0.2547910169867902, -0.30939316740549466, 0.7614349484911759, 0.10748521218897646, -0.17636727124184948, 0.006935086967181571, 6.881247730971556], [-0.11531710785959494, 4.698557321779583, 2.956275475256722, 6.017384169421335, 14.121456850306984, -0.8120121747888255, 1.6486781135304143, -0.6997100100535864, 0.772393158618542, -0.7974702237844264, -0.6669743820012062, -0.3539057839869049, -0.019883374187663037, 35.336313458373496], [-0.17180492878482678, 1.0107322241981893, -1.8812132493290423, 3.339551249372604, -2.9075273639685615, -0.052994450445583, 0.22068654062820814, -0.027031252594147487, -1.4898518232090818, 0.8400744924738069, 0.08287588921884549, -0.3803889374521428, -0.010336733446888062, 15.899234445255702]]",507,37.78671696989901,3.6069454311648474,63.016499305978584,440,172,32.077243476370214,3.819393670754203,58.364692611594464,147,183,36.036411182667415,3.7946715475508084,111.24355730141805,159,10
0,1,2,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,267.39259576797485,"[[2.2745341848962446, 10.679881017567913, 1.6815097585928398, 0.7004514085896304, 13.387889949360588, 3.7250369423813217, -0.007226780685172967, -0.6873687257545343, 22.010991253599315, 5.19739288337059, 0.9389638397139665, -0.7852316809906141, -0.8556468730266552, 40.0118223554382], [-0.1274725006534943, -0.4753688675384837, 0.5488001189318691, -0.43480104967634237, -1.9921955587738072, 0.043924866346161946, -1.0953624530831867, 0.026308444494570305, -0.8816506613754947, 0.45336003420757137, -0.039123008386974016, -0.15420561284720155, -0.19223501212005015, 9.63350595483187], [-0.3891681756931009, -0.4844177434395073, 2.8702557084712526, -0.8586439286631815, -1.8262133871522466, -0.20457553801743975, -0.19334743716522917, -0.10749391716027068, -1.0698641038552328, 0.5006991420349401, 0.09357290325965537, -0.013140424793585495, 0.05077477797830621, 8.683487464788252], [-0.35813026483582333, 3.8354177126750617, 2.612567439195632, 5.9722311536106005, 13.633362382250287, -0.981688810095986, 1.6070081962343405, -0.5524169519599218, 0.011944032420854912, -1.0581780125269662, -0.6808952105149976, -0.19076394496778012, 0.023939361440289332, 37.13837240797573], [-0.41463442015853863, 0.14760600295732423, -2.2249114999099513, 3.294375735014969, -3.3955562986776657, -0.22271061426169775, 0.17898929579487063, 0.12026257904138994, -2.250239031451651, 0.5793281104840864, 0.06895302649101721, -0.21725332882329032, 0.033497738607648965, 17.701380648146877]]",507,39.72715621859394,2.3004354502558857,63.40545429427354,391,172,33.26337842309949,2.486228521567162,56.37065606979258,133,183,37.65794820575386,2.4315753585564615,116.04891628693127,143,10
0,1,5,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,260.28559255599976,"[[2.058134234477918, 9.229595861705858, 1.0354644075833628, 0.11793737963583195, 12.16034823863647, 3.512245056307692, 0.11742056113138699, -0.49934181563539626, 19.94603791895773, 4.764105859184819, 0.9635761991604562, -0.5636653533499087, -0.7812059501936022, 44.090464362236794], [-0.3151725241010931, -1.5641324239055436, -0.06957344020896652, -0.6771498750454948, -2.6611504055148627, -0.23164328984258692, -0.9577843592897562, 0.2026145637030434, -2.8534728924116743, 0.09399168451092244, -0.024257500465140212, 0.05071727871072948, -0.12785720544894505, 12.249336336236809], [-0.6053197459660878, -1.9342288695593255, 2.2238472986611892, -1.4408322487046532, -3.0553468273153612, -0.4171753406288456, -0.06837920049011563, 0.0804538312989893, -3.134881574906037, 0.06727548405218976, 0.11811991982365648, 0.20797018408416643, 0.12525457291770767, 12.762175853953797], [-0.5742578271341723, 2.3851881011376626, 1.966415559269826, 5.390007816918164, 12.4057962220972, -1.1945317576135521, 1.7313710778863929, -0.3644062763660271, -2.0531399681877476, -1.4916560546182704, -0.6563294394624637, 0.030525257492293074, 0.09838856957940628, 41.21720285246994], [-0.6307591828548903, -1.302180169540371, -2.870917966992906, 2.71238595085429, -4.623696341088046, -0.4354341590375236, 0.3036281563407279, 0.3082378524783636, -4.315316512549333, 0.1460419956102949, 0.09349713749952412, 0.003946190943062544, 0.10795550537582256, 21.779466410979225]]",507,45.31701461453741,0.4810145802034718,68.9080147968648,249,172,37.739358864036205,0.5628155327347811,56.277007390610265,69,183,42.772550509583866,0.5656343127041356,134.27819363532217,91,10
0,1,10,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,300.4424512386322,"[[2.2484142660209545, 8.477300057010947, 0.5837245601834291, -0.40527887837957866, 10.970923792948573, 3.3653074473466, 0.012802174885419418, -0.4545042587463232, 19.105806726624603, 4.490765186176495, 0.91229552754493, -0.6084670901899288, -0.7352378170989813, 46.7960224922781], [-0.07315951241577423, -1.9786555570243178, -0.5183271844958187, -0.7766470458352076, -2.9035138169325245, -0.4294430094185903, -1.046090551951136, 0.2349549045669233, -3.4817797443968996, -0.0804365232215838, -0.10095192534059896, -0.012385174390505408, -0.14567161912193427, 12.847373075886132], [-0.4151736940132515, -2.687255353927258, 1.7727746896959484, -1.9645885924202773, -4.242165345416853, -0.5641236725553918, -0.17319761867350253, 0.12535253339975538, -3.975335853035256, -0.20557585880845156, 0.06690371010303335, 0.16342875232702872, 0.17113152537820042, 15.467058284458899], [-0.3841225476101659, 1.6327030906450655, 1.5148482233068037, 4.866416278046998, 11.21619585463561, -1.3413939757281799, 1.627341898544441, -0.3195539757955283, -2.893357754354075, -1.7646770580138749, -0.7075968930365906, -0.014268636053881593, 0.14434418903853072, 43.92248573678738], [-0.4405563216593699, -2.0551845286875494, -3.3227585529258, 2.1883949331204926, -5.812684404804569, -0.5822331625773116, 0.19926846187340622, 0.3531630713168447, -5.1557810181853405, -0.12721003268485698, 0.042261322429220614, -0.0408742863927949, 0.15388139945746826, 24.485563887011796]]",507,47.730829528148234,0.12503675562021008,75.18976576321624,129,172,39.394765384751345,0.1643573271959472,57.93315198312736,42,183,45.05460683775917,0.1544216365536765,150.62597037250558,55,10
0,1,20,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,236.02379703521729,"[[2.2899218193123776, 7.966276272280213, 0.2502420570553205, -0.7847418640635666, 9.909267612192105, 3.3332675916297667, -0.05287118843076874, -0.4347893292426305, 18.808727137172532, 4.339189238404828, 0.9166633054169842, -0.5180780237752804, -0.7297574701679049, 48.59793343433544], [-0.0013029956845861488, -1.7031221166740222, -0.5944310840559629, -0.6823139537524859, -3.370670188236479, -0.5724695886893288, -1.1689724062354099, 0.21873779288358558, -3.710381745090817, -0.0500636411821149, -0.10366492343957522, 0.0407042285780025, -0.10290809032800197, 12.664221703789792], [-0.37397089518168897, -3.1995330905948864, 1.438852284603514, -2.3414360390214997, -5.312824232253207, -0.5957669654264001, -0.23480012733921804, 0.14419325215093518, -4.271248831450393, -0.35709111582853753, 0.07130101211064373, 0.25483829506124434, 0.17667012219459213, 17.269086595422554], [-0.3430132223640293, 1.1196602430040004, 1.1805761403452222, 4.488609858426537, 10.154264844744693, -1.3730708398643667, 1.5626547256527326, -0.30039819629832837, -3.1898342024625714, -1.916251807801241, -0.7030406950877757, 0.07752115648910056, 0.149719202992179, 45.72484732555788], [-0.39940274271216797, -2.5681835553943912, -3.6549085482275974, 1.8121893358359074, -6.877876477223371, -0.6140799913703936, 0.13677977852798115, 0.37211156977893856, -5.451574945752914, -0.278102611505352, 0.04667269642454567, 0.050725893176660895, 0.15928592882257459, 26.28454789110185]]",507,48.88502045383863,0.03780885117846241,80.05108828020589,64,172,39.970417529802646,0.06452497287738422,59.40938602978946,28,183,46.22256645693815,0.049311658054063436,163.3296870534805,33,10
0,1,50,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,259.7798430919647,"[[2.3253959736712875, 7.762327535300078, -0.4752793009700041, -1.161857629607683, 9.405449238017077, 3.369551488321044, -0.09297393489368182, -0.43309550594314616, 18.587736587561185, 4.24031728913492, 0.8932511195659973, -0.5612848231274836, -0.6978501187351125, 50.20475075015879], [0.0341887498934377, -1.3866516073004576, -1.5111753161077892, -0.3217449262696698, -3.5379374895143187, -0.7070641303576494, -0.8012960309145881, 0.18384448043856438, -3.58045355372186, -0.4275833636102784, -0.1660342045199126, 0.034192109820986215, -0.06253636240532512, 12.283934046233567], [-0.33928700474928575, -3.402046642927965, 0.7110257348518217, -2.719453781009938, -5.818567756455544, -0.5599868901895062, -0.27611401866664553, 0.14652136437252433, -4.493075870234697, -0.45530728786863456, 0.047936119658372106, 0.21195577755781952, 0.20884268819627128, 18.879652060955966], [-0.3081618297050443, 0.9169472887858402, 0.4552939106406484, 4.111813466304318, 9.649790779036524, -1.336896064102296, 1.5212736205039656, -0.2981988168256455, -3.411993995179043, -2.014250047380376, -0.7264010594563898, 0.034768722567964934, 0.18187206334515602, 47.332744602306704], [-0.3644304988870908, -2.7706214129837408, -4.380432900029794, 1.4350442000460473, -7.3811233139728305, -0.5781940675731528, 0.09436602363878704, 0.3744816160725517, -5.673576642713595, -0.37569506302818845, 0.023273587788778832, 0.0076933107902859964, 0.1913842886902451, 27.892482850259725]]",507,49.77236635132158,0.006849956616200988,84.81736686218993,20,172,40.3823613723518,0.018525625364399997,61.09554071179872,13,183,47.33445237561552,0.010325514569765416,175.1678114962861,9,10
0,1,100,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,226.6773715019226,"[[2.345921447209986, 7.608271006623331, -0.8542549640465593, -1.1735755951691687, 9.165094498835458, 3.2881193038297316, -0.18244587387031916, -0.4177329502101658, 18.5691040330501, 4.1474462631593125, 0.8905805333954254, -0.5130701917359833, -0.7208772606132374, 50.886990249130264], [0.07360743459359047, -1.3194643000910193, -1.6080635489032615, -0.3086333469183331, -3.614654366446868, -0.7526108460963011, -0.8506866866943179, 0.17671473805939628, -3.5161147445596725, -0.4843841480949859, -0.1717727463934385, 0.007699406288421326, -0.08577311002463689, 12.29546965441151], [-0.31821915429406583, -3.5558339013916966, 0.3325321960683303, -2.732712931424604, -6.062510923897381, -0.6412012587647674, -0.36543323817349666, 0.16174938734544958, -4.509600122007816, -0.5529551146819823, 0.045310412108779945, 0.26020119935027414, 0.18558820305153317, 19.56238232477215], [-0.2871685754558031, 0.7630909791406825, 0.07552152019259327, 4.098479516659393, 9.409400554202756, -1.4189063463094682, 1.432218487151775, -0.28287597827769817, -3.4276172386057318, -2.1111635283385866, -0.7291534189683682, 0.08250093104387164, 0.1586142652691813, 48.014376618671115], [-0.3435505322644205, -2.9245334156098193, -4.7579917982887165, 1.4207507778176343, -7.622490558146239, -0.6596312018747583, 0.005735838082920429, 0.38977874600238244, -5.689369718692802, -0.4736876997122416, 0.020611183580879933, 0.0558241715551817, 0.1680910077536748, 28.57369545652037]]",507,50.0682991462556,0.002339022566602284,87.13607458615597,8,172,40.34943795738468,0.009590359494543848,61.743521330855614,13,183,47.7006511140018,0.006894709411674597,181.09556085875627,7,10
0,1,1000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,525.6631424427032,"[[2.2733680976841444, 7.474079469893641, -1.5297932766467208, -1.0802784491293862, 9.456924843622229, 3.3082205140434238, -0.1308388295426324, -0.45299410890365677, 18.660644575937827, 4.060569429357653, 0.8332977734051195, -0.4065798640005954, -0.6753548847953602, 51.68872462670231], [0.09132132618228782, -0.751346491909927, -1.7056343023464158, -0.38798426254000656, -3.511657301729868, -0.7569944200429234, -1.1575110234735875, 0.1567814034236311, -3.6686554445712414, -0.3823966223429606, -0.2402286501162824, 0.05495084601725401, -0.009208074121971497, 12.408728186895189], [-0.396229171264141, -3.694220850562929, -0.3316879895699637, -2.6181285191149457, -5.764047626281539, -0.6336376239470687, -0.3246267781595491, 0.12807681452111577, -4.415673828565974, -0.633033834128205, -0.010042800968134074, 0.3848138421810971, 0.23008437173240784, 20.34209242235927], [-0.3673852530599836, 0.6244992334846448, -0.5956071231530854, 4.21146134370709, 9.696975017758078, -1.4092901197423846, 1.465729011066888, -0.3113270377117068, -3.3381890653591406, -2.1923771849116966, -0.7841406228818016, 0.20103475911472818, 0.20474345946381267, 48.81666878125604], [-0.4234755420250952, -3.061714794066908, -5.434344128744456, 1.5434130619216975, -7.341149251603936, -0.6508569003018246, 0.04061280172713262, 0.3608525134125245, -5.60345110646775, -0.554125878203609, -0.033921529780311106, 0.17612321345737056, 0.21427599102479314, 29.372583219954585]]",507,50.56055006814883,4.9457520179441165e-06,90.24334195192856,0,172,40.7495290027046,0.008355371912797966,63.135760755025196,9,183,48.373761658020754,0.007789774077802978,188.1958612555467,6,10
0,1,10000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,189.58980083465576,"[[2.241898591898327, 9.791879326394865, 4.6604119040496395, -2.0175456160820366, 7.1176652769523265, 2.131558505139154, -0.35178531189438667, -0.6989014532213635, 17.496886562042672, 5.19034267043387, 1.2820860467124482, -0.6371014651573405, -0.6314921999983601, 41.33788463143996], [-0.6507381626805273, -1.8997703443252894, 4.431313081258275, -1.0785913924043709, -11.462562765954969, -0.4771553943028161, 0.962669022571884, 0.5298968586113045, -6.109233683224572, -1.2642061593390319e-05, 0.3712775044718053, -0.46178429813599514, -0.286205322535401, 6.5089676048234635], [-0.917417277015739, -1.7322099055049343, 7.33642528950111, -1.3532046391422345, -11.051261260954128, -0.3098102797172339, 1.9161531879382918, 0.20105942308365163, -6.094398575735402, 0.45310867206397465, 0.5752201305172766, 0.28605076996069617, -0.11326308704851731, 4.668497842756738], [-1.171769159598962, 1.364965633824691, 4.9980651022284315, 3.8113160806965714, 7.4541227655495765, -1.3042423425827787, 1.9208403984035787, -0.047791563529935285, -4.436610920420003, -1.0279986066711768, -0.12816309933120848, 0.1896750085128359, 0.1502917537394131, 37.542004534731255], [-1.1184674889662418, -1.327355213821153, 0.47624376584020905, 2.7775383868962447, -12.850574176352243, -0.46850359023725063, 2.4462167561307373, 0.46266113974819595, -7.185816477662964, 0.4075668866126128, 0.60140613287399, 0.1771480317914398, -0.010572517232815428, 15.102965847921762]]",507,70.4746757680473,3.231505120535161e-05,65.40339059601192,1,172,61.15156016960995,0.0006525993967398125,60.64711705731587,1,183,64.05740688022637,0.038586130516665956,113.1771253902325,7,10
