,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,constraint_penalty_train,custom_metric_train_2,violations_train_prediction,violations_test_data,total_mse_test,constraint_penalty_test,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,3867.2195041179657,"[[2.2729161517039005, 1.5, -3.974727158086078, -3.5397089022672836, 1.0, 1.0944, 1.00004286950883, 1.6662475933953176, 1.5, 1.871054595714699, 0.049586776859504085, 0.49999999999999994, 0.6471591588841501, 89.84437289958684], [-0.4275087269401027, -5.934310082333334e-18, -5.9394600823333335e-18, -0.5, -5.931735082333333e-18, -0.49999999999999994, -5.929426337333333e-18, -0.49986123134295785, -0.5, -0.37105459571469895, -1.4596093004e-17, -0.49986123134295785, -0.5, 8.91079357808601], [-0.3492360007039357, -0.499377345785788, 2.9916219344994475, -0.36021738954476573, -1.0, -4.8091527980257833e-17, -0.543471676950927, -0.2801426321638258, -0.010853106204386613, -0.5, 0.07151322314049592, 0.35946711335957093, 0.12202596664761611, 10.882906023077647], [-0.13263335899602088, 0.5, 1.748544766436199, 4.376825635749934, 2.5, 0.06500713049117021, 0.026548156803686503, -0.886243729888534, -0.5, -0.5, 7.399023251e-18, -0.359605882016613, -0.43619565677461597, 49.35380870074798], [0.10556193493615884, -1.500622654214212, -0.7654395428495685, 0.023100656062115543, -2.5, -0.6594071304911702, -0.4831193493615895, 4.7070573662666665e-17, -0.4891468937956134, -0.5, -0.1211, 7.399023251e-18, 0.16701053124284979, 19.21201879850154]]",679,66.91251822188106,1.0258460747536447e-15,31.116155553976466,0,183,68.24500583340281,8.01581023779363e-16,37.100584866496035,0,0
0,2,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,3139.8457505702972,"[[1.0, 1.8208960714940141, -3.7753156770190417, -0.1373157876531761, 7.11152072884407, 0.5, 10.16066578766608, 1.1434251184774678, 1.5153744066041275, 1.4901841497081216, 0.36398003414290286, 1.0, 0.4487280420216259, 75.47843277855098], [-0.5, -1.1570897819607755e-14, -1.02128004351384e-17, -8.635711798309285e-18, -0.017400000000000203, 2.0397904791223666e-17, -4.819171645708022e-18, 0.11779608797244184, 1.7645011529974435e-17, 2.1773587449128467e-17, 0.40036300293664784, -0.017400000000001154, -2.066278384458785e-18, 8.910195000000002], [0.31076035649767747, -0.5640227571641212, -0.6152458222028172, -4.547775562323083, -4.216359446827422, 0.5000043442738211, -4.9207805916546805, -0.6877594867183346, -0.5153744066041275, 0.06706585029187838, 2.41366134341707e-18, 0.10692869611614864, 0.5, 20.954071561804177], [0.04999999999999994, -0.21611798558210005, 5.388796267584907, 4.499513566725609, 0.7768446495762009, -4.344273821163215e-06, -0.6109412213813612, -0.9311984755366891, 8.635232333133088e-19, -0.55725, -0.49999999999999994, -0.38767950408469787, -0.3731700310392867, 48.505087616067584], [0.603257638418224, -1.0407553287477813, -1.0490548192040352, 0.1855777832506501, -3.6546059315928487, -1.0, -4.6289439746300385, 0.3577367558051141, -1.0, -1.0, -0.26434303707955076, -0.7018491920314496, -0.5755580109823392, 24.356113043577274]]",686,68.58691762960854,0.0,30.17707885057951,0,176,52.01377548173787,0.0,12.38052119281167,0,0
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,3123.4705650806427,"[[6.226306398194988, 0.43820000000000003, -1.391817892786687, -1.071893424302541, 1.9856207156771024, 1.0424284772409422e-19, 0.3155587033103735, 1.0, 0.012938705103817826, 1.9416564355618648e-17, 0.5, 0.0019000000000019882, 1.78016942476089e-18, 65.84802320366725], [0.0105752397839599, 3.5555379297512707e-19, -1.042923648151755e-19, 0.0, 3.5555379297512707e-19, 1.832636366560949e-20, -1.2558609894606533e-14, -0.1455609379495545, 1.042923648151755e-19, 3.6219036826387356e-19, 0.010014268045911767, 0.03391633779143678, 4.908330679430402e-19, 8.910195000000002], [-0.6720802623564298, -0.5, 2.9157059270311914, -2.91286929982106, 1.042923648151755e-19, 1.042923648151755e-19, -0.45425003434737315, -0.5, -0.012938705103817826, -0.09109799946527442, -0.41735, 0.08760000000000027, -0.0440417237483404, 17.022787613621965], [-3.4005244827167465, 0.18931794041463829, -1.0222724672668075, 3.7972249524653896, -0.3781499999999999, 0.04700996218535247, 0.2906842893035539, 1.0419325618321182e-19, 1.042923648151755e-19, 0.5, -0.33089665994307377, 1.042923648151755e-19, 0.4681835187353354, 63.77639426292248], [-1.1189302238214454, -0.1275179404146383, -0.5016155669776969, 0.1875377716582114, -1.6074707156771024, -0.028354233468239076, -0.1519929582665417, 1.0441803976056949e-19, -2.4523745696156997e-19, -0.4089020005347256, 0.24824665994307377, -0.1467500000000003, -0.424141794986995, 22.64649991978832]]",701,61.38286675270521,0.0,21.002675998192107,0,161,69.96315189949439,0.0,25.17339607132345,0,0
0,4,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,3664.862251520157,"[[1.7718027070729228, 15.625961590339468, -1.8561638717184383, -3.986330160255818, 14.029104664288532, 0.8091228363878882, 0.63135, 0.5, 1.0635394846104589, 1.502055084417282, 1.0897703104394163, 0.16563716752812274, 0.5, 70.65500200180165], [-0.348623383911269, 4.21441139e-26, -2.107205695e-26, -3.51201e-27, 3.86321039e-26, 3.51201e-27, 7.552076004763583e-05, 0.0006750549359999952, 0.2847039230680185, 0.02952877969707481, 0.02952877969707481, 0.004006682485770517, 0.029500000000000026, 8.84761730797116], [3.51201e-27, -5.811447193644326, -0.1833499999999999, 0.6322529458312188, -7.220323438924694, 3.51201e-27, -0.16084999999999997, -0.7395700769970257, -1.5452841255e-25, -0.07487792135769639, -0.11304618990666349, -0.045448115156143463, -0.46966568573807294, 18.078543916756928], [3.51201e-27, -1.530145538966089, 3.206760243228798, 3.6824759036197596, -0.5483391512965321, -0.625131726847929, -0.14942552076004761, -0.1307571661383461, -0.8482434076784773, -1.0004118292812285, -1.0062529002298275, -0.5250890523719792, 0.020428284789824853, 51.325783338939296], [0.04077076567439858, -8.284368857729053, -1.1672463715103598, -0.32839868919516024, -6.2604420740673055, -0.18399110953995917, -0.32115000000000005, 0.3703272431353718, -0.5, -0.4562941134754319, -1.2000000003160808e-16, 0.4049, -0.08026259905175194, 29.296953434530984]]",697,64.80193139153728,0.0,26.089290292623815,0,165,61.67310360667499,0.0,20.41498716237641,0,0
0,5,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,3657.9159138202667,"[[1.29488084150902, 1.5714391671987196e-19, -8.409292145506374, -6.000000000000001, 2.0266852583328125, 0.5, 0.28550948369858264, 1.6211897896235643, 0.9443515744843505, 1.0832895979944952, 0.8374031942260931, 0.001900000000000013, 0.5, 91.36280129800933], [-0.0546099999999999, 1.5637990840145208e-19, -8.870997367859215e-20, -7.644897470326157e-23, 4.378715199877727e-19, -0.3944, 9.999638460057134e-18, 1.564400774920732e-19, 1.5695151476235305e-19, 2.8517350263742977e-18, 1.0555411458336542e-17, -0.38625, 5.572711065331198e-19, 8.955649545454547], [-0.24029677253966658, -0.5, -0.7724064998898341, -0.16999010988998597, -1.0, 0.004000000000000002, 0.24234829900820365, -0.029546996112673456, 1.5656041567331553e-19, 1.0746138580497236e-16, 1.5656041567331553e-19, 1.5656041567331553e-19, 0.01099327567100411, 7.942884172167206], [0.45615923621404486, 0.5, 8.532749600961855, 4.954545454545442, 0.9419956590418129, 1.564400774920732e-19, -0.2843288322103874, -1.091642793510891, -0.9443515744843505, -1.0, -0.3374031942260931, -0.007405130139821213, -0.4811686712461933, 49.243252963269676], [-0.07843320962683353, 1.564400774920732e-19, -0.22104999999999997, 1.215444655344545, -1.9686809173746254, -0.1056, -0.2435289504963989, -0.49999999999999983, 4.1893586987383725e-19, -0.08328959799449531, -0.5, 0.3917551301398212, -0.02982460442481081, 20.69931202109926]]",685,64.86746252075095,0.0,24.5887228709916,0,177,89.86575199281614,0.0,40.7275845561192,0,0
