,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,constraint_penalty_train,custom_metric_train_2,violations_train_prediction,violations_val_data,total_mse_val,constraint_penalty_val,custom_metric_val_2,violations_val_prediction,violations_test_data,total_mse_test,constraint_penalty_test,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,0,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,112.2165207862854,"[[4.308683302646031, 6.41371815469783, -3.5897687221350525, 1.410093388219144, 3.702653391778362, 3.8649740210111685, 1.6441308335773184, 0.630448420171949, 19.94421859442133, 3.2136905013085277, 0.9941209013843044, -1.5262101552679224, -1.2160041617344546, 33.67177938020088], [0.5526556457378007, 0.39809978714129707, -1.0285154710801447, 0.23897566552115246, 1.3338309524375962, -0.16733922015827668, -0.7971832734836661, -0.09447675098197127, 1.0457878539525463, -0.23545255293140493, 0.10804239277128838, -0.7825299164338441, -0.30786487628096176, 5.660151152508117], [0.1358257596856658, -0.158910107089494, -0.1292874388549205, 0.10494871793217181, -1.1745599953657946, 0.07398276035927538, 0.44146225019419005, -0.052888216190474846, 0.36316347570634205, 0.5038671929347144, 0.17018894323460002, -0.4305454997044224, -0.017176518800370008, 4.702090559278331], [0.8394915982182882, 4.3524902073201615, 0.3593950965714526, 7.005928338481394, 8.171155562613494, 0.11699062580609013, 1.57488667187183, -0.5728625357442275, 0.3305087026388285, -1.8201054004046622, -0.38284601076060215, -0.6385459333792073, -0.18954018216721005, 31.876505084573736], [-0.17786529781120583, 0.441587838857129, -1.962826396105429, 2.9996885765679933, -1.9491862360835617, -0.10597718460748397, 0.47076509733699945, 0.05564862356232025, -0.11337950267227957, 0.3274423029299274, 0.28619597284583576, -0.18710548725768952, -0.12157994380959805, 14.370076072971726]]",511,31.381404420886255,5.407420192794104,56.096982755433956,503,173,54.50661288276872,5.898156779365602,55.28016365105142,174,178,35.33914044463373,5.729147815304849,50.33982763372589,177,10
0,1,1,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,249.23883938789368,"[[3.965285819873272, 6.14400469173646, -3.5002845656490753, 1.372839479136497, 3.6887026385628117, 3.792939422110872, 1.5551438155545751, 0.6286507204815214, 19.654526463637684, 3.00285071846886, 0.9465334045717148, -1.469823341519266, -1.2081131801326044, 35.17286960664359], [0.18925695865941008, 0.13354270855874426, -0.942130721765373, 0.21153368496684338, 1.0990872968605006, -0.22644723156733335, -0.8099592647836138, -0.09275124699124558, 0.6728304125745382, -0.39779503586880055, 0.05954117660811958, -0.7058795197793036, -0.28690561210553867, 7.193142032072524], [-0.20753177244050575, -0.42848210205759835, -0.039764383061022465, 0.06754139085159579, -1.1885297291736843, 0.001973375141163634, 0.35247339505402675, -0.05473435447963117, 0.07344940736455564, 0.2930283105639502, 0.12260149436145829, -0.3741971268938658, -0.009305306426795674, 6.2033087856104645], [0.4960857105986571, 4.082348426143528, 0.44904335278184526, 6.9686605809588675, 8.157164576627613, 0.044964729215804695, 1.4860758858824932, -0.5745826289028088, 0.04078130251247084, -2.0309883624526943, -0.4304327924052649, -0.5822388868688229, -0.18165172364970264, 33.377685999520345], [-0.5212561079020642, 0.1717182882537203, -1.8732634966967463, 2.9622689670495443, -1.963015303296354, -0.17798289174418708, 0.38179579971184224, 0.05388891422939743, -0.40310159835500853, 0.1165602797912527, 0.23860022501939446, -0.13077630165142035, -0.11369298395644575, 15.871351824675202]]",511,32.218503677780895,3.6005811933812577,55.53713657062343,454,173,55.12277283132425,3.924484390755953,53.2538768585123,164,178,35.39519643541954,3.7882443130636902,48.66682843642539,158,10
0,1,2,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,178.52574586868286,"[[3.7491278825749705, 5.905791334477777, -3.3666216533676634, 1.1562753951626668, 3.6260809587150598, 3.6385205914856806, 1.4603067837726194, 0.6208121605111152, 19.03701244524861, 2.8652550593880397, 0.8854699200851303, -1.3288042583500967, -1.1760327381768647, 36.67436106892922], [-0.0069206355450379, -0.10960350949369146, -0.8052769888285783, -0.01517573154618569, 1.2572184864339515, -0.3936067843492554, -0.9807974538846048, -0.10399906573191108, 0.13820068460505194, -0.5837491848693028, -0.0006057444350397142, -0.5854016529933742, -0.26786578713031994, 8.662572362852053], [-0.4235612813417072, -0.6668155327515316, 0.09387513799042936, -0.14921123129336444, -1.2511906320811463, -0.1522360418045247, 0.25788596503885336, -0.0627125874490661, -0.5444113313361565, 0.1556669525340353, 0.06154696013692862, -0.2332328134390659, 0.022747531845226352, 7.704809406085952], [0.2800993321634919, 3.8439304732827764, 0.5827131001877608, 6.751845698731269, 8.09462655067313, -0.10916271624465494, 1.3914466893580255, -0.5825551044825513, -0.5769775456273551, -2.16834492846784, -0.4915131442965625, -0.4413909931247928, -0.14960847576691086, 34.87925314605094], [-0.7372777605007979, -0.0666537276735835, -1.7396296109116007, 2.745526730298555, -2.025812064809744, -0.3321714649815029, 0.28727468822585156, 0.04590890970854867, -1.0209186911043415, -0.020827304882534474, 0.17754002717228987, 0.010158127559563128, -0.0816460869478166, 17.37282366148287]]",511,34.256385653118066,2.2223287573790254,56.21780243742019,413,173,57.23023346729017,2.4207427185058568,52.21756958949003,149,178,36.65311173328854,2.3616594176990584,48.03640316305849,143,10
0,1,5,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,215.35153317451477,"[[3.3262444587271447, 4.8104374928823574, -4.11368832700666, 0.6260765647281402, 3.177504073014215, 3.322218894925801, 1.429214008243906, 0.7648374149738083, 17.166763033097716, 3.188387224381989, 0.9066432042492472, -0.988843063944983, -1.0551017282993338, 40.5268851487171], [-0.3933430377874972, -1.1208464155187643, -1.2946358691737565, -0.49412943237131807, 1.019564652293537, -0.6744850010958797, -0.9717824887227877, 0.047692617763857345, -1.6217991201560333, -0.3091788405908682, 0.0036135783435568146, -0.279713450447419, -0.1690593492932837, 11.660710083463993], [-0.8477846660068873, -1.7606444233579273, -0.6409627558761297, -0.6771784630915523, -1.6963110325874007, -0.4676034238790176, 0.22711166019807974, 0.08210916614948034, -2.4116943223227376, 0.477816813975912, 0.08289561021499839, 0.10803924573550638, 0.1432392175064834, 11.54161534265016], [-0.14527117442010234, 2.74936448388654, -0.1626584618637437, 6.222170876175151, 7.639641184104496, -0.4245383214645271, 1.3606015120581902, -0.43755606213485004, -2.4444606719256257, -1.8471975380876515, -0.4699205821651665, -0.09900466286887764, -0.02867966869503326, 38.729775588331016], [-1.1618791058260975, -1.161103147428151, -2.479816995792542, 2.2169103337866476, -2.469158350965986, -0.6478273728782801, 0.2555605095737898, 0.19080821328639352, -2.888401415511972, 0.3009269113368738, 0.19897742269295596, 0.3517425734745953, 0.039017940776687535, 21.215122807392056]]",511,39.495698898241585,0.5314509246523298,62.25295910731023,253,173,62.66114334417896,0.5789266265542377,55.330977364915356,94,178,40.23296999331174,0.619494373347423,49.56005152094665,93,10
0,1,10,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,268.60582637786865,"[[3.455429991257664, 4.565940701018689, -4.398939095178223, -0.07057776613726965, 2.5691980841671485, 3.1975021409480684, 1.1182962177219626, 0.6878391690934399, 16.365787874411428, 3.1727715953207984, 0.8254760093854485, -0.9420471890879937, -0.9668006022164555, 43.036424406069756], [-0.25619323793859594, -1.0913429220450652, -1.6263628586204308, -0.7713971600642521, 0.9850895901495483, -0.8393299173645442, -1.1895959504695586, -0.025464326778991297, -2.2892742775244432, -0.30657551019827606, -0.07414738045224654, -0.20214925334984016, -0.1120306149742962, 12.348675695141782], [-0.7172561440262399, -2.0061029081138657, -0.9373297338602228, -1.3781353810321577, -2.308103571456127, -0.5932590894373851, -0.08542754403439014, 0.004634558065331324, -3.2146779991504593, 0.46208673604917233, 0.0013908909196341413, 0.15305690922879212, 0.2320852592291188, 14.06953699566322], [-0.014079824795687878, 2.50518376163797, -0.4493414045333613, 5.5244227641460935, 7.038277565499115, -0.5502240152950665, 1.0496068027707013, -0.5152823271096846, -3.2478571850676716, -1.8614971704226275, -0.5516125830144563, -0.0545252806786062, 0.05981559960619116, 41.24181386191092], [-1.0310864770444386, -1.4055553790486948, -2.7709120747369522, 1.5167847537296157, -3.082687442512376, -0.7731886656732141, -0.055601240953662735, 0.11317791321482404, -3.6912492625879976, 0.28556302678831336, 0.1174153181848056, 0.39658593249089863, 0.12769626140948942, 23.73696655633603]]",511,42.240393452321605,0.12419079915569567,67.81885236643156,140,173,65.34743225219299,0.14936636729719288,58.734548560500784,46,178,41.61838153670729,0.17440642703381276,51.20314205511177,53,10
0,1,20,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,260.7592053413391,"[[3.4526996253875897, 4.516689739213471, -5.000858141921194, -0.3201689430738544, 1.9177211568657508, 3.1612668594807256, 1.0889429479525377, 0.6473833164011519, 15.996003156445854, 3.1687276718490613, 0.8271056615197608, -0.8892720761037718, -0.9259491302191473, 44.55729365027761], [-0.1739310733975016, -0.9957371955946921, -1.7944246062083942, -0.9369768528226217, 0.7003539248848685, -0.8210318703817129, -1.113021914583426, -0.054479889010758946, -2.4207086070309227, -0.47300188215267713, -0.1219800604666971, -0.2209802509255602, -0.11039741873691263, 12.347992176634413], [-0.7200197478456462, -2.055893766567077, -1.5409281317240167, -1.6255383511343036, -2.9586737483094465, -0.6292165519825546, -0.11341900527266804, -0.03606241130878147, -3.5848342317604858, 0.4584116736706636, 0.0031257690029937776, 0.20592673940465717, 0.2728589241879074, 15.587830234950037], [-0.016264544467049506, 2.4549450088424196, -1.0516314142739687, 5.27546067874352, 6.385080191842408, -0.5859419369137171, 1.0203792391284874, -0.5559362751056383, -3.6174674892828773, -1.8655547352434825, -0.5499361839441539, -0.0023061799028269397, 0.10048377803040959, 42.76223284545236], [-1.0337264976318774, -1.4557091129185278, -3.3743457492700313, 1.2691252013281236, -3.7328837169962616, -0.8091384463842787, -0.08406741969035436, 0.07253571711154147, -4.061296669819799, 0.2819076153178933, 0.11911049226739569, 0.449322443189658, 0.16845471790129127, 25.255758139425236]]",511,43.42738589738376,0.03684614240543888,71.90386937905248,65,173,66.3944544819742,0.05725790158374591,61.906001369905155,27,178,42.24554992878632,0.07166635332183066,52.69482592268566,32,10
0,1,50,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,303.43373799324036,"[[3.374262795696018, 4.418832859387006, -5.5424875893642955, -0.5403288398104675, 1.8511775535038177, 3.142158089702423, 0.9495348022707756, 0.6358504261279498, 15.955725946383325, 3.142853604208728, 0.811815133020846, -0.7828289900606874, -0.8834816219522882, 45.832704124808565], [-0.14353434545049498, -1.5086690378812846, -1.9365784644297666, -1.065561585009005, 1.3636130797760522, -0.4809275683611021, -1.3174015613343852, 0.012246596814042075, -2.3170784891932303, -0.6797946394411055, -0.12069306189667624, -0.37493195626203246, -0.13872467445461295, 12.453888424111682], [-0.8003914845080762, -2.1523469049102286, -2.070623154767454, -1.8363427870520044, -3.0336213546513475, -0.6498110597280254, -0.23547549839882925, -0.04809675859395208, -3.62236597394318, 0.43673912353973304, -0.012219600829932797, 0.313215970555951, 0.3147375001197891, 16.83049232326078], [-0.09660410964742433, 2.3542617007430584, -1.592602609257118, 5.057617050727036, 6.335933960481677, -0.6074360844880918, 0.8820162743552067, -0.5674256696547051, -3.6553404392391604, -1.8916288501482565, -0.5648498509543032, 0.1063943451830501, 0.14281444002275248, 44.03241028717725], [-1.114028571998432, -1.5540094635122268, -3.909979976237001, 1.0558290204538943, -3.812585833614599, -0.8296632343543376, -0.20796498406518904, 0.06057056659009295, -4.099279647756026, 0.2580218167665137, 0.1038538835668017, 0.5570012622292622, 0.21061892542296523, 26.510571644594027]]",511,44.20192765251328,0.009812942358324896,75.7385327700316,24,173,66.55720983201014,0.025571327691778355,65.02166177956627,17,178,42.580924595493144,0.031260566574055335,54.1942660396491,18,10
0,1,100,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,289.7415051460266,"[[3.381811990592073, 4.282322026713589, -5.788410840822515, -0.7279883490074519, 1.630643698131517, 3.0073797680735446, 0.8615560316768923, 0.640744289425004, 15.895269503016076, 3.0474375453488545, 0.8165040435394023, -0.7037641500438201, -0.8910821380269599, 46.55881788340224], [-0.13032058885513867, -1.577360454182956, -2.0366583768520337, -1.1552701930104359, 1.5819641129534336, -0.5384295269998535, -1.4583625631867279, 0.020389026886109708, -2.310039882413708, -0.7495484264050158, -0.11420080231014205, -0.3248425955914669, -0.16375230919297767, 12.532566513422532], [-0.7909764868901459, -2.2904741880475092, -2.329149756831118, -2.0331569404161702, -3.247907119082604, -0.7833540850597273, -0.3411618237248795, -0.04267617787493514, -3.686170609477069, 0.337036907855236, -0.007325547274289928, 0.3920367372810888, 0.3077628376393762, 17.590581112994798], [-0.08725390455764724, 2.2203122793182635, -1.8396429066679854, 4.867819577603559, 6.101761959615544, -0.7406157881369471, 0.7915875094284043, -0.5624165828032127, -3.718297439893203, -1.986524118896164, -0.560456222404095, 0.1836567351966643, 0.1353323965712349, 44.76339054319323], [-1.1046302506348666, -1.6901130019931156, -4.162102762425826, 0.8614430841967139, -4.02345309690777, -0.963343116446013, -0.3116403820263737, 0.06592159199057616, -4.1626290927640115, 0.1607040845444809, 0.1086340578589993, 0.6353927456555325, 0.20334828691391962, 27.258203577534406]]",511,44.69943090909479,0.0024030285944683363,78.04910138193338,10,173,66.98753075362221,0.012021598548957832,66.78734474347056,14,178,42.80197214022257,0.014953096092229761,55.16803125689614,14,10
0,1,1000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,412.53385186195374,"[[3.4360286572174057, 4.082725173943619, -5.90512672619316, -0.7157989546456021, 1.5001286461953982, 2.993829640552673, 0.8495155479820408, 0.6380642863451365, 15.999773114820595, 2.9634564849820033, 0.7673333628875849, -0.760840081562752, -0.9102676420378845, 46.95388889960817], [-0.08178668705173951, -1.07609444009233, -2.565274622266792, -0.8248800780411324, 1.0569038008130147, -0.7070127697976913, -1.3196258056661978, -0.069609585290631, -2.3291703797134518, -0.8520487062937014, -0.2002940159497321, -0.18377483516201853, -0.1548867152937477, 12.429119625295153], [-0.7378592673329553, -2.4898987583218686, -2.4211537895128057, -2.016435383917349, -3.339998812970036, -0.7927485886433144, -0.34952007131944246, -0.04879368997801153, -3.5893038537464674, 0.2591764143352737, -0.054688045784751976, 0.3410235093565389, 0.28913804558869, 17.945881306590934], [-0.03129524686382293, 2.017637858808869, -1.950591115155877, 4.867657786989125, 5.9096177892314845, -0.751872169082648, 0.791527099043704, -0.566495932512911, -3.616682280323421, -2.0652086184680143, -0.6094967720434977, 0.12864405237744855, 0.11488312724790133, 45.155107074773795], [-1.0513756900406448, -1.8936494222665619, -4.268533306806592, 0.8755042229906861, -4.096214402257538, -0.974828775431887, -0.32757529114769784, 0.061084988041567825, -4.063634033336328, 0.08351554741762461, 0.06107936785167809, 0.5837074117460558, 0.1841802094175238, 27.623704603538382]]",511,45.0689671872181,0.0,79.19683722816997,0,173,67.2280200701883,0.005914961317669519,67.60933977102567,6,178,43.167503748649665,0.006092500369667415,55.58233076748574,8,10
0,1,10000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,373.80427598953247,"[[2.390916872872144, 4.5857503775785, -1.6300535550205932, 0.288537894286045, 1.606650636988886, 3.474471039201884, 1.8016989415519802, 0.6553686194471251, 16.82809982725216, 3.763912247928891, 1.0707602521356772, -0.17495729342018074, -0.8994394008824087, 34.86016423814022], [0.9080019915423684, -0.9513843406005456, 2.9086373095398765, -0.14701309169969518, -1.1547792085809128, -0.6870415369906705, -0.9845406449008093, -1.2786032152148523, -1.8596668602303112, -0.4855930395491264, -0.4432718529050842, -0.2608919127840792, -0.5046239641868042, 4.843148194930214], [-1.2901052933419153, -1.778095949055926, 3.7558006627140883, -0.665063883151402, -3.45475943020652, -0.5391330978596467, 1.2356087231868718, -0.11014841284621348, -2.295532818838086, 0.9695691076425641, -0.05945759660192718, 0.6997461301703511, 0.11512021868246058, 3.200706034865799], [-0.49844951822773276, 2.6105666576386053, 2.6948924147630504, 6.450327311736101, 6.587765450557169, -0.4787687078959324, 2.045707352537148, -0.6837112948273709, -2.8702407626940674, -1.8589096812331465, -1.0119783317874205, 0.7307606653181571, 0.29902347742504554, 32.9009467943511], [-1.689947261505082, -1.2629892552978859, 1.1702817373745305, 2.215037615897921, -4.341057689581594, -0.7336380452029808, 1.2486555762464941, -0.13387897736537938, -2.9340989311460617, 0.5776870961310167, 0.161096107118905, 0.9502037586017349, 0.03596374598592849, 13.931938100158455]]",511,57.552319072927034,8.207204066870884e-06,60.63988613156515,0,173,89.22790915972124,0.021610055863428877,56.922647683108,7,178,60.46142570294876,0.029315942364163093,59.19963843568496,5,10
