,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,violations_train_prediction,violations_test_data,accuracy_test_corrected,violations_test_prediction,counter_examples_found
0,1,"[0, 1]",0,1.0,5,10,4806.889016866684,"[[-2.6802342765961746e-11, -0.9564589072951194, -5.1823561958557605e-12, 1.6072389095252039e-18, -1.6812609444230619e-15, -6.344759702638299e-12, -2.0892913515549194e-17, 1.3585340743628012, -1.9999999999974436, -1.0000000000298106, 1.9540685802676852e-14, -0.46682542889701295, -1.3585340743564545, -1.3585340743360184], [-2.0000000000030878, 1.5764005336595732e-19, -4.2186890190255227e-19, -1.710311035049525e-12, -7.116233795368072e-19, 8.061352864643497e-20, -1.9540685802676852e-14, -1.7054336040839066e-12, -1.0, 2.000000000003094, -1.0, -1.0, -0.9999999999982946, -1.3223833869377029e-15], [-4.354583076246925, 1.5764005336595732e-19, -2.551105457544203, -12.210080873265383, -0.5655546585523964, 4.1593036476056575, 8.28493592050517, -1.7121170079603196, -3.0755807808511726, -3.5999469020731283, -0.5730577997719537, 4.385953401582689, 1.8951141810460375, -14.335897206406933], [-0.6362000376491154, -0.6701552016759132, -1.9541845647055377e-14, 0.9999999999982983, -1.0000000000017057, -1.9540685802676852e-14, -2.3027020374199086e-13, -0.3202561526635071, 1.2334656115277745, 0.02859477359487815, -5.07739569180021e-12, -4.4102976281351655e-13, -4.4102860296913804e-13, 2.623759087540245], [-0.2684625468530798, -1.6524957304866366, -2.2520047888726444, 1.16009818442363, 1.0790350948389174, 1.8609154656007494, -1.4181970565161892, -0.6094022088986247, 0.636785551011922, -0.31353849818773083, -0.24455929727692988, -0.03324874273297249, 0.3824766532292563, -0.28223342867192547]]",45,0.7429022082018928,0,16,0.8427672955974843,0,0
0,2,"[1, 2]",0,0.5,5,10,2643.913112640381,"[[0.32327422936288275, -0.9929131238096071, -0.0006715940050555097, -0.49595445193695714, 0.10374141873212339, -1.9152164011647248, 0.24702860605738938, 0.5000923400137522, -1.3484371590429256, -1.21777973411498, 0.5, -1.4394832148119576, -0.8207607021776957, -1.6729958575770287], [-4.826588138960237, 0.0024273659138162613, 6.002427365913817, 0.0, 0.5024273659138162, 0.0024273659138162613, 0.021083381702427937, -0.5, -0.5007004099008164, 0.002398550018055392, -9.594200072221567e-05, -0.21078152539729797, -0.5, -1.7064938117589896], [-17.636720955444275, 0.9928554920180855, -16.497697391982665, -77.00548107608691, 25.018623904137723, 63.5116537389017, -10.507144507981915, -75.01098218801081, -8.010214652005025, -2.2570449639942223, -9.594200072221567e-05, -0.00855482209698688, 0.01879468801080325, -69.03179289600202], [-1.9915447218907054, -80.99221631589576, -0.6946697218907053, -64.3743572218907, -4.875313310417568, -4.4921875, 38.508455278109295, -9.594200072221567e-05, 53.50316608602383, 36.50778728609121, 0.0006715940050555097, 0.0, 0.0, 79.85260030494256], [-3.4442999001915817, 4.005481076086905, -2.5920195712017584, -11.003166086023834, 0.9976050519689147, -0.7260898170406943, -0.8109990646876246, -0.29861020837304675, 3.379742355976889, -0.12728313209647213, -9.594200072221567e-05, 0.0006715940050555097, -0.039418415859009105, 17.973302630096263]]",47,0.5615141955835962,0,14,0.5660377358490566,0,0
0,3,"[1, 2]",0,2.0,5,10,4458.9585955142975,"[[-3.4759720663346073e-07, -0.007999254516257286, -1.0026601614223667, 2.0, 0.6076829124390922, -1.1667226614223667, -3.4759720663346073e-07, 3.4759720663346073e-07, -1.9401601614223667, -1.3123471106842184, 1.7379860331673038e-06, -1.485550706937631, -1.6776511455597607, -2.6039938383793735], [-2.561433339819346, 2.0028124089988726, 0.6776964069728464, 0.19100907491650518, -3.4759720663346073e-07, -3.4759720663346073e-07, 1.318130946214251, -3.1283748597011467e-06, -2.334844468847459, 1.612412808484401, -0.19100907491650515, -2.6208850378154493, -2.616946906499169, -3.2406286522656007], [0.22509747370092847, 3.4759720663346073e-07, -1.0427916199003822e-06, 3.4751589972213834e-07, -3.475158997221383e-07, 0.0, -0.27353188465073286, -3.4759720663346073e-07, -2.089666960744599, -3.7127757136995436, -1.0000128610966454, -9.38512457910344e-06, 2.2338058332316146, -2.4589040021269564], [-0.9920188205384871, -1.2526594662279533, 3.4759720663346073e-07, 3.475972066334608e-07, -0.44292295437328455, 3.4759720663346073e-07, 3.4759720663346073e-07, -3.4759720663346073e-07, 0.947610717913557, 3.4759720663346073e-07, -3.4759720663346073e-07, 3.4759720663346073e-07, -3.4759720663346073e-07, 2.6876019352350027], [0.991078415509789, -2.9997215746374866, -6.68666440906664, 1.2091602915968638, 0.9974740110993942, 3.947057242605448, -5.186650016860195, 1.9999979781097317, 3.993196932901327, 0.7622967138052932, 9.38512457910344e-06, 1.3695237539334424, 2.4565392544196247, 3.22880631492541]]",50,0.805993690851735,0,11,0.8490566037735849,0,0
0,4,"[0, 1]",0,2.0,5,10,8774.558647155762,"[[-2.5274250882538456, 1.2561502474515859e-06, 1.2561502474515859e-06, 0.0, 1.2561502474515859e-06, 1.2561502474515859e-06, 0.0, 2.0000125615019857, -2.0000012561502474, -2.0060025117925697, 2.0051990625164366, -2.0060365826233606, -2.0000012561502474, -1.4777928165153253], [-0.16628190746750043, -0.012003715843033575, -0.006002460200711095, -1.2561501985602241e-05, -0.001885073417851692, -1.2561502474515859e-06, -3.6248852651376655, -0.006013817144308082, -0.4773644819327639, 1.1339898319537869, -0.7413840975920423, -0.23649664477568305, -0.04770917958908427, -0.9676967970801107], [-1.1680961899141002, -0.006013817144308082, -0.7919560777547776, -0.021179413263210527, 3.5546933161860004, 4.514529878093742, -1.2550365734147806, -1.4392064645541423, -3.9313879921279096, -2.031175780269624, -1.177744143235316, 1.1963355962489899, 0.9706264222319172, -9.068088895310382], [-2.0475054157049106, -0.45743341614474564, -1.2561502474515859e-06, 0.01714092889698454, -1.2561502474515859e-06, -1.2561502474515859e-06, 3.265990496700038e-05, 0.0, 1.4631005059053306, 2.0002541587354665, 0.0, -1.2561502474515859e-06, -0.7694580742536523, 3.2744031868540566], [-2.583275995414569, -2.9812899727642987, -0.8832164454508971, 0.0, 2.2485237119411807, -0.5361026271325813, -0.40042447732647435, -0.006780061801450233, 5.45914172109061, 2.1947372020341387, -0.006896713433761316, 0.764261269684243, 2.3527068528861625, 3.8658237900075245]]",49,0.7070866141732284,0,12,0.7848101265822784,0,0
0,5,"[0, 1]",0,2.0,5,10,6220.44060254097,"[[3.0593995388616904, 1.0599999999999995e-16, 0.0, 1.0445652272594813e-32, 1.0445652272594813e-32, -12.091647519336142, 1.0445652272594813e-32, 1.0445652272594813e-32, -1.1280113133061915, -2.0, 0.013109961681405994, -2.0, -2.0, -3.0725095005430965], [-0.3560935394283921, -3.955869602589132e-32, -4.602826130440165e-32, -4.2793478665146484e-32, -0.09588819111579508, -7.30629379604616e-21, -0.8943175329324707, -1.6915217551105145e-32, -0.06142183949593673, 0.05765343266520384, -0.2048484888264133, -0.19408864172183446, -0.016410991114727595, -0.08761220634823906], [-0.800918558619774, 0.5128621793702403, 4.602826130440165e-32, -1.0, 2.0, 0.6932367775777641, -1.1388369558501852, -2.0, -2.0, -0.9554050053355179, -2.0, 1.4431126837782722, 1.0445652272594813e-32, -3.8192014606018527], [-1.9999999999999998, -7.675159756463328e-17, 0.0, -7.58502040276754e-17, 1.2854338409529481e-30, 1.2833447104984291e-30, 0.0, -2.299687329409332e-17, 0.9999999999999998, -2.0891304545189624e-33, -5.871822098285534e-17, -2.874143211751586e-17, -1.0445652272594813e-32, 2.0], [-0.844576997462079, -0.3234024206465766, 0.5380037742639155, -0.8886170229184291, 0.7164639563566927, -1.373238612328369, -1.842031329932698, -1.0445652272594813e-32, 2.935481999507448, 2.2980434999708587e-32, -4.602826130440165e-32, 0.11626579788029397, -2.0891304545189624e-33, 1.7555430174207454]]",53,0.7968503937007874,0,8,0.7468354430379747,0,0
