,fold,loss_type,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,violations_train_prediction,violations_val_data,accuracy_val_corrected,violations_val_prediction,violations_test_data,accuracy_test_corrected,violations_test_prediction,counter_examples_found
0,1,sbr,PP,0,-,-,-,378.3256678581238,"[[1.7740493757927838, -4.012997479168315, -4.9083063845316115, -0.6666668559563224, -4.748532439937118, 4.016542249048391, -1.5531851901344524, 18.37591991450551, -9.50391659707995, -7.737140615343655, 16.4875804980435, -6.518663106063787, -6.471816301360143, 3.141854999926223], [-9.438778837519562, -1.100841960053609, 2.7460743316688228, 2.3652450431747885, 2.030356746721894, 0.6487239570404453, -0.18349264853301225, -5.31719516068358, 4.713017601192548, 9.233172001845928, -5.942817900650015, -5.860325479242701, -6.1595310958406015, 5.894507123611965], [-8.16409419571546, -0.09072087562492923, 15.021244127415994, -14.822456729131742, -2.698822372186837, 3.7884803030741567, -1.5584091972297356, -6.37811722429278, -11.083199483803996, -10.012467662927756, -6.158837465864875, 18.920957547526633, 7.847468170950032, 4.699775100771757], [-8.267653676675156, -0.4776678806517766, -0.4466831434005043, -0.41652254186942805, -1.203382456323456, -0.9659391670915345, 2.4466765491732994, -6.049426496193033, 7.878256476659251, 6.912670675222914, -6.364453025657972, -6.556193677618757, -6.574988732736393, 8.486269997920067], [-6.864050359564306, 2.779793710293564, -2.580024366641833, 0.7043089892667819, 2.0316420361914647, -0.655478095158964, -2.28685227314007, -5.343300712426098, 6.2493787579096685, 3.536382338638471, -5.305843835031059, -6.072427773589692, 3.031910039061863, 3.0395051312772265]]",34,0.8694736842105263,0,11,0.8301886792452831,0,16,0.8805031446540881,0,0
0,1,sbr,0,0,-,-,-,364.527197599411,"[[1.7740493757927838, -4.012997479168315, -4.9083063845316115, -0.6666668559563224, -4.748532439937118, 4.016542249048391, -1.5531851901344524, 18.37591991450551, -9.50391659707995, -7.737140615343655, 16.4875804980435, -6.518663106063787, -6.471816301360143, 3.141854999926223], [-9.438778837519562, -1.100841960053609, 2.7460743316688228, 2.3652450431747885, 2.030356746721894, 0.6487239570404453, -0.18349264853301225, -5.31719516068358, 4.713017601192548, 9.233172001845928, -5.942817900650015, -5.860325479242701, -6.1595310958406015, 5.894507123611965], [-8.16409419571546, -0.09072087562492923, 15.021244127415994, -14.822456729131742, -2.698822372186837, 3.7884803030741567, -1.5584091972297356, -6.37811722429278, -11.083199483803996, -10.012467662927756, -6.158837465864875, 18.920957547526633, 7.847468170950032, 4.699775100771757], [-8.267653676675156, -0.4776678806517766, -0.4466831434005043, -0.41652254186942805, -1.203382456323456, -0.9659391670915345, 2.4466765491732994, -6.049426496193033, 7.878256476659251, 6.912670675222914, -6.364453025657972, -6.556193677618757, -6.574988732736393, 8.486269997920067], [-6.864050359564306, 2.779793710293564, -2.580024366641833, 0.7043089892667819, 2.0316420361914647, -0.655478095158964, -2.28685227314007, -5.343300712426098, 6.2493787579096685, 3.536382338638471, -5.305843835031059, -6.072427773589692, 3.031910039061863, 3.0395051312772265]]",34,0.8673684210526316,1,11,0.8176100628930818,2,16,0.8742138364779874,2,10
0,1,sbr,1,0,-,-,-,362.87313318252563,"[[1.7728227897961326, -4.018008939536995, -4.914687463640366, -0.6671434865195646, -4.746891569226356, 4.0147388894067255, -1.5540236147515243, 18.334063498002607, -9.467416701215342, -7.732017549005534, 16.466382841696234, -6.51483296231445, -6.463116455879546, 3.1496719915898206], [-9.442670545432577, -1.1008847641622332, 2.749895636353037, 2.366512888660169, 2.0289992098947347, 0.6456121838997162, -0.18632477945197112, -5.325106145644184, 4.719137349017405, 9.239674623856786, -5.9493991172587535, -5.863288362894236, -6.164038868274095, 5.900646814231677], [-8.140099085210759, -0.09217749457080913, 15.024537098717765, -14.82448397922762, -2.701695773169638, 3.7875140251635426, -1.559076781464107, -6.359829587553632, -11.00005653364444, -9.987035646769794, -6.132000777135774, 18.83379118098723, 7.826064477544933, 4.678715735448262], [-8.361784901516376, -0.4657919823685274, -0.39378504607236126, -0.39352100392277767, -1.1293124761871922, -0.918593016118689, 2.319994669497959, -6.2969311043880145, 7.964112252442095, 7.003396474839036, -6.564020012746664, -6.938020698814104, -6.964284405816425, 9.433830816655348], [-6.865989558577885, 2.783538386431369, -2.582365236831595, 0.7077891136075991, 2.0311396904160786, -0.662000836483389, -2.2874095490038475, -5.3463149171148645, 6.251700970489506, 3.539192340924283, -5.305169254910784, -6.081286741070133, 3.0346854490836264, 3.0409610292486984]]",34,0.8673684210526316,1,11,0.8301886792452831,0,16,0.8805031446540881,1,10
0,1,sbr,2,0,-,-,-,370.2247841358185,"[[1.774141251862346, -4.01684309469225, -4.930704551222534, -0.6715649895822507, -4.741945863944003, 4.009650554852578, -1.559308204801719, 18.30101160639798, -9.424232381815974, -7.725711366903378, 16.429382594802448, -6.510240488301469, -6.453233799248014, 3.1566025065668075], [-9.438680203375203, -1.0994074660263207, 2.7518929663058684, 2.3617736614783844, 2.0282575036761266, 0.6477666753275907, -0.19206165284952942, -5.325920908303781, 4.717163318285491, 9.236825182040258, -5.948141079883988, -5.858402824674163, -6.159837167469204, 5.899702128656902], [-8.135510287200292, -0.09938411317985116, 15.037516613672704, -14.835923971494237, -2.7063971602640406, 3.7827222787433272, -1.5597476262074286, -6.3879207698341975, -10.942211018643938, -10.017991616411793, -6.127051561960139, 18.827450237418645, 7.82921389690394, 4.682703457293217], [-8.412053907394746, -0.44256942695344037, -0.32489622466187407, -0.3785417814904966, -1.043350156873254, -0.8739100473993694, 2.16262149975901, -6.434287186476739, 8.00708810995332, 7.051591903739231, -6.653401475276899, -7.186926864719077, -7.226775466112222, 10.03057788612392], [-6.8734975473651145, 2.785847474831467, -2.583317172803858, 0.7160710088934268, 2.0321003613408464, -0.6612496153729862, -2.2836577353292786, -5.348138713243196, 6.253155909487113, 3.5410704006149936, -5.305667687296118, -6.091567259117187, 3.036541144419398, 3.040955654726866]]",34,0.8673684210526316,0,11,0.8301886792452831,0,16,0.8805031446540881,0,10
0,1,sbr,5,0,-,-,-,377.7075424194336,"[[1.7520977633826114, -4.008572571321014, -4.910492496276079, -0.6594088438206539, -4.746515656474379, 4.0171697908890485, -1.5475958283300901, 18.269890091101257, -9.364594703709967, -7.719849895043502, 16.380705328895733, -6.5164569840467355, -6.450238095523254, 3.154033064939278], [-9.435560092381014, -1.1003683104568354, 2.745859683297882, 2.3674364431208743, 2.0324578837170066, 0.652672675398567, -0.18721137213193628, -5.319755257638315, 4.7083961941412245, 9.228774752312843, -5.940373135255285, -5.850014563969378, -6.151771637536707, 5.890111496519362], [-8.125542197038971, -0.0875851983238454, 15.022581216924065, -14.820471046798806, -2.698757878985593, 3.792161397635733, -1.5566462141087911, -6.411668116389296, -10.800628885822293, -10.007540881085802, -6.128778763625498, 18.766591361556497, 7.802933012623832, 4.654768844539674], [-8.426481716686402, -0.41100371375354244, -0.23516570351992291, -0.3696593499681286, -0.9352644106249265, -0.8193993593975997, 1.952385723801366, -6.582486218519689, 8.019222547472106, 7.069203578137707, -6.689819390498786, -7.536429105273287, -7.614746730654091, 10.90974356685644], [-6.873679128126403, 2.779062463776852, -2.5777218848557903, 0.7052789893201998, 2.031671393448878, -0.6543010081086331, -2.283590951286983, -5.34789781394733, 6.256192136403001, 3.5433801446031974, -5.306398763148534, -6.102615825433267, 3.0387323521545295, 3.0461144708856867]]",34,0.8673684210526316,0,11,0.8301886792452831,0,16,0.8742138364779874,0,10
0,1,sbr,10,0,-,-,-,375.66045570373535,"[[1.7558156816026778, -4.016901843261273, -4.907807622060913, -0.6595533025611324, -4.749521135346499, 4.022693741767293, -1.5491895088171144, 18.303805687325678, -9.368363008273077, -7.73651545705249, 16.421811875863497, -6.543697415090586, -6.474208463546111, 3.156618763032191], [-9.433044635500659, -1.1000676470719897, 2.7481894102193625, 2.369061369983638, 2.029144139114513, 0.6493057260311901, -0.18414407130358307, -5.320112260476358, 4.705932409374674, 9.226339298449833, -5.939684862678394, -5.843481167960627, -6.145903197623505, 5.887158853993373], [-8.122197282842835, -0.08609161743059572, 15.076723875297027, -14.894327867243346, -2.705199068013612, 3.7851851522501367, -1.5607847331211002, -6.452638487591009, -10.735374102771237, -10.03683560298024, -6.148835080591649, 18.80334465579858, 7.796058771630838, 4.65484015230746], [-8.377199338758928, -0.4003021705793487, -0.1898615224119231, -0.3711908309719478, -0.888517792935595, -0.7873428465049466, 1.8540680922476238, -6.737755537039037, 7.971108687890227, 7.022622503237014, -6.771542839826149, -7.675579025942596, -7.73134002260571, 11.549018559608513], [-6.880054548933872, 2.7846527104573684, -2.5822547521825125, 0.7031047765551801, 2.0333013451036526, -0.6567580898129328, -2.286986432413366, -5.358969554991375, 6.262151083645653, 3.5487084234065094, -5.3098739412006, -6.1144999663468225, 3.044189715081233, 3.051668032196533]]",34,0.8673684210526316,0,11,0.8364779874213837,0,16,0.8742138364779874,0,10
0,1,sbr,50,0,-,-,-,381.4665217399597,"[[1.7608778721116347, -4.012969198719119, -4.917565672414057, -0.6573773957037132, -4.744640671920377, 4.012597188860728, -1.547088834897668, 18.18248073196421, -9.23596453920236, -7.699761933380107, 16.323461800684495, -6.517673788586909, -6.435082815537432, 3.150888392758739], [-9.457910364163187, -1.1017925501096377, 2.746210301774238, 2.3642732352222344, 2.0292563142606674, 0.6500482665359635, -0.18443369340651328, -5.341155257232121, 4.733733243522898, 9.253494982361778, -5.995196690450165, -5.858213852005604, -6.157991433698841, 5.915453114625256], [-8.15350152405038, -0.09079923459439262, 15.014099568363763, -14.808167746418075, -2.7002548614898565, 3.790539712204516, -1.5564746855699865, -6.5309451770648, -10.661517656323197, -10.089399496697776, -6.224538590061068, 18.836347183422635, 7.8366252222976085, 4.687289725132367], [-8.22211116746797, -0.38787829924896766, -0.1489333462653984, -0.37466400390585863, -0.8515158123792698, -0.7702595232592975, 1.7731300163299053, -7.05473539945505, 7.817747052949077, 6.87082606749071, -7.030070841262218, -7.896710713130519, -7.9313046303452746, 13.008095591304945], [-6.873010018265854, 2.781710893730405, -2.580384262906577, 0.7071171406246661, 2.0321447294432256, -0.6561066857884148, -2.2847819112052847, -5.346040241162407, 6.255130458753559, 3.542242254694799, -5.31498776613781, -6.08551586320509, 3.037821947567783, 3.0445403215786944]]",34,0.8652631578947368,0,11,0.8364779874213837,0,16,0.8742138364779874,0,10
0,1,sbr,100,0,-,-,-,397.13110160827637,"[[1.7444796491757242, -4.0146719793955485, -4.916357636902424, -0.6609816962544864, -4.745856912518549, 4.02158887527653, -1.5507345205129959, 18.297626174352626, -9.28936478256958, -7.737756936919451, 16.35917122521074, -6.563686993755778, -6.480943939552148, 3.1688272562381083], [-9.515223761939477, -1.1016975751028295, 2.7487967638654967, 2.3644778861711915, 2.030217787813574, 0.648578447911563, -0.18469569501943633, -5.37218612077132, 4.79018696319012, 9.310577457509547, -6.0588723729013605, -5.925049950370055, -6.223336345591737, 5.971933310490047], [-8.139391191790477, -0.09120418314582585, 15.065087763817676, -14.878248253999299, -2.704214595694757, 3.7845110275592533, -1.5576572807406057, -6.500187020047146, -10.551567454767842, -10.010227351438644, -6.2625778978784545, 18.695129071033318, 7.81758082892627, 4.675279827575826], [-8.190717618877052, -0.3900189340024538, -0.14098341029944325, -0.3786880299082849, -0.8546052697713752, -0.7689502949968596, 1.7704399475553962, -7.260545027939109, 7.7889187298093825, 6.841535983271037, -7.252918365119992, -8.006328577809843, -7.979757631990179, 13.679099296599798], [-6.867841340067932, 2.782845904009798, -2.5810093916332812, 0.7086514458778934, 2.0315959296364583, -0.6567958886612987, -2.285726918938385, -5.343041541621053, 6.250227858159233, 3.537350153331636, -5.319223562943424, -6.0633401609780915, 3.032727656742454, 3.039424824466754]]",34,0.8652631578947368,0,11,0.8364779874213837,0,16,0.8742138364779874,0,10
0,1,sl,PP,0,-,-,-,369.5892243385315,"[[1.7740493757927838, -4.012997479168315, -4.9083063845316115, -0.6666668559563224, -4.748532439937118, 4.016542249048391, -1.5531851901344524, 18.37591991450551, -9.50391659707995, -7.737140615343655, 16.4875804980435, -6.518663106063787, -6.471816301360143, 3.141854999926223], [-9.438778837519562, -1.100841960053609, 2.7460743316688228, 2.3652450431747885, 2.030356746721894, 0.6487239570404453, -0.18349264853301225, -5.31719516068358, 4.713017601192548, 9.233172001845928, -5.942817900650015, -5.860325479242701, -6.1595310958406015, 5.894507123611965], [-8.16409419571546, -0.09072087562492923, 15.021244127415994, -14.822456729131742, -2.698822372186837, 3.7884803030741567, -1.5584091972297356, -6.37811722429278, -11.083199483803996, -10.012467662927756, -6.158837465864875, 18.920957547526633, 7.847468170950032, 4.699775100771757], [-8.267653676675156, -0.4776678806517766, -0.4466831434005043, -0.41652254186942805, -1.203382456323456, -0.9659391670915345, 2.4466765491732994, -6.049426496193033, 7.878256476659251, 6.912670675222914, -6.364453025657972, -6.556193677618757, -6.574988732736393, 8.486269997920067], [-6.864050359564306, 2.779793710293564, -2.580024366641833, 0.7043089892667819, 2.0316420361914647, -0.655478095158964, -2.28685227314007, -5.343300712426098, 6.2493787579096685, 3.536382338638471, -5.305843835031059, -6.072427773589692, 3.031910039061863, 3.0395051312772265]]",34,0.8694736842105263,0,11,0.8301886792452831,0,16,0.8805031446540881,0,0
0,1,sl,0,0,-,-,-,365.4295220375061,"[[1.7740493757927838, -4.012997479168315, -4.9083063845316115, -0.6666668559563224, -4.748532439937118, 4.016542249048391, -1.5531851901344524, 18.37591991450551, -9.50391659707995, -7.737140615343655, 16.4875804980435, -6.518663106063787, -6.471816301360143, 3.141854999926223], [-9.438778837519562, -1.100841960053609, 2.7460743316688228, 2.3652450431747885, 2.030356746721894, 0.6487239570404453, -0.18349264853301225, -5.31719516068358, 4.713017601192548, 9.233172001845928, -5.942817900650015, -5.860325479242701, -6.1595310958406015, 5.894507123611965], [-8.16409419571546, -0.09072087562492923, 15.021244127415994, -14.822456729131742, -2.698822372186837, 3.7884803030741567, -1.5584091972297356, -6.37811722429278, -11.083199483803996, -10.012467662927756, -6.158837465864875, 18.920957547526633, 7.847468170950032, 4.699775100771757], [-8.267653676675156, -0.4776678806517766, -0.4466831434005043, -0.41652254186942805, -1.203382456323456, -0.9659391670915345, 2.4466765491732994, -6.049426496193033, 7.878256476659251, 6.912670675222914, -6.364453025657972, -6.556193677618757, -6.574988732736393, 8.486269997920067], [-6.864050359564306, 2.779793710293564, -2.580024366641833, 0.7043089892667819, 2.0316420361914647, -0.655478095158964, -2.28685227314007, -5.343300712426098, 6.2493787579096685, 3.536382338638471, -5.305843835031059, -6.072427773589692, 3.031910039061863, 3.0395051312772265]]",34,0.8673684210526316,1,11,0.8176100628930818,2,16,0.8742138364779874,2,10
