,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,custom_metric_train_1,custom_metric_train_2,violations_train_prediction,violations_test_data,total_mse_test,custom_metric_test_1,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1.0,5,10,5388.308889865875,"[[2.7569494685404057, 10.53088020464615, -2.7102933611295557, 1.057799397122536, 5.013683754579427, 2.28201858975352, 1.8274711681153772, 0.2649465880528512, 1.906209995234899, 3.4656182088323355, 0.7620510911646386, -0.44325841577240765, 0.07000944175376755, 69.48739576569311], [-0.49713455089735326, -0.7058955089735339, -1.0, -0.9999999999999999, -1.0, -1.2216156110089226e-31, -1.0, 0.0, 7.85324321362879e-31, -2.617747737876263e-31, 0.0, -5.235495475752527e-32, 1.7451651585841754e-32, 7.910195000000002], [-1.4723047790815817, -6.824984695672617, -0.2989336827808414, -6.586408533164282, -2.884791110279857, -1.7505560176371837, -0.8604601922069874, 0.8912469909038224, 1.0937900047651032, -2.4022556615113793, -0.0561555821911047, 0.5493979142568608, 0.9299905582462324, 28.723620578916425], [0.18076887221484517, 1.1102230246251565e-16, 4.745425271481358, 3.968994515235337, -1.0000000000000022, -1.0, -0.9670109759083898, -0.8885606015667871, -1.0000000000000022, -0.7704040295447223, -0.7058955089735339, 1.999999999999959e-17, -5.0000000000000054e-17, 50.92617910299551], [0.5008209892236842, -2.999999999999999, -0.7361982275709609, 2.559614620806409, -0.1288926442995678, 0.4685374278836637, 1.0, -0.2676329773898865, -2.0, -0.29295851777623394, 6.731351325967534e-32, -0.10613949848445317, -0.9999999999999999, 21.15650955239497]]",686,64.60110177983132,-,-,0,176,52.53173948385246,-,-,0,0
0,2,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,7402.806819677353,"[[1.168244113592384, 5.24919906683361, -1.1785982120618352, 0.5100493445567502, 0.5, 0.4786026564509125, 4.268414421295415, 1.000000000302018e-15, 14.449728435822744, 1.8869447727715346e-23, 1.0417365692712241e-20, 0.5, 0.045454545454545, 68.17391355423233], [1.5274852268915615e-25, -1.1976744309204644e-24, -4.780277544856377e-24, -2.0933252094044426e-24, -4.2977810542456186e-19, -2.3344627943666546e-16, -7.498490416784752e-25, -3.0202365243648593e-25, 2.9889759878884208e-24, -1.8869684420260175e-23, 1.5274852268915615e-25, -7.532416582359969e-25, -6.571579101824335e-24, 8.175645000000001], [5.467824798584729, 0.4999999999999997, 2.936745125611815, -3.0732555951029537, -11.554098830624884, -0.7700233018890742, 3.725142775137517, -2.997783187829003, 0.499999999999999, -2.8312527539720045, -1.6418696585799564, -4.464140983467843, -0.6748402192369425, 13.517362931957376], [-31.739439598610772, -3.6728756166795025, -2.4480748823075166e-15, 7.6355673496131935, 1.581158490626549, 0.00044563173318035165, 14.33454027282406, 8.829583417547214, 10.823836089250937, -2.3658015851827225, 6.969790153340429, 24.156451666956425, 2.408122633911566, 48.3672831952115], [25.644122540745347, -2.0763234501541072, -2.716816026862998, -5.07236109906699, 9.472940339998335, 0.2909750137049816, -22.328097469256992, -5.123094665209317, -25.77356452507368, 5.197054339154727, -5.327920494760472, -20.192310683488582, -1.730641402495328, 39.96969531859881]]",692,128.34708408239655,-,-,0,170,124.43043612765754,-,-,0,0
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,5335.377412319183,"[[1.5144075437801496, 1.0000000000000009, -10.739124843413787, -0.7859053888528824, 3.4784951087242253, 0.6620257866717615, 0.5, 0.6495430383831515, 1.462139459007175, 2.312667197957111, 1.0729031704111804, 0.7036671416702458, 0.04460266603441232, 89.82387343898738], [4.2829960023584854e-24, 5.3323910342753795e-24, 0.0, -0.2455281311502689, 3.997462936528887e-24, 9.654212434220642e-24, 6.088931638680582e-24, 9.969252803210492e-24, 9.166121721701156e-24, 5.7106613364779805e-24, 9.481162090691006e-24, -0.4890218688497312, 8.99307137817152e-24, 8.910195000000002], [0.19673693205513734, -0.2620709611235156, 2.501120632439891, -1.8457351213636966, -1.0026194225329244, -0.5, -0.5, -0.2394294426836469, 0.1177161657062318, 0.0451778839139318, -1.0619250392609116, -0.045454545454545414, 0.4999999999999999, 12.286425679363555], [-0.02784994824317766, -1.0000000000000009, 7.260585409292284, 3.3250781234268842, 0.5000000000000001, -0.1620257866717615, -0.4101135956995047, -0.4101135956995047, -0.5798556247134068, -1.8578450818710428, -0.0109781311502688, 7.138326670597476e-24, -0.5446026660344114, 47.243016386889124], [-0.4503043276946752, 0.2620709611235156, 0.477418801681612, -0.44790948206003645, -2.975875686191301, -2.515885758651664e-24, 0.4101135956995047, 9.999999716907387e-17, -1.0, -0.5, 1.0348632402487e-23, -8.194488414665204e-23, -8.326672641858715e-16, 19.940389494759955]]",685,69.67633292628312,-,-,0,177,61.18934842324137,-,-,0,0
0,4,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,8080.014922380447,"[[-0.5672363796856472, 8.965595787608088, -4.539623901435633, -1.2065216357063466, 1.990899111770471, 3.2942984874276897, 6.667056544629294, 0.011385327962538916, 6.304147108267295, 2.526769088946589, 1.7156437738510157, 0.5031884211476607, 1.825706058260116, 69.1585463799545], [-0.3195596045640196, 0.0, -0.5033997047397558, -0.6432247805871067, -0.5172098072908752, -0.5002112835920949, -2e-16, 0.0, -0.4999999999999997, 0.0, -4e-16, -0.5061655587032275, -6e-16, 8.150260089272866], [6.9287695466814485, -6.224696958918523, 0.268810379976524, -2.630174689098177, -7.752380166119539, 1.4609053180954832, -1.6939734516144063, -1.1646476480557544, -2.2278013116750013, -2.1558847610245726, -2.596423640854954, -5.80445439420953, -1.1458710761079511, 19.967791374136617], [-5.774008228220439, -2.081535632591451, 4.796315988008685, 4.69202509697874, 16.64703253062002, -2.822481713714427, -3.995922535477211, 1.1738718321238468, 0.20183535412535325, -0.534436325275894, 0.7390605435426596, 5.883233181413508, 0.44693775741832625, 55.58809457279074], [1.0011346657886584, -0.6593631960981146, -2.02210276180982, -0.2121039915871098, -10.368341668980078, -1.4325108082166509, -0.9771605575376767, -0.020609512030631313, -3.7781811507176473, 0.16355199735387743, 0.1417193234612792, -0.07580164964841132, -1.1267727395704905, 25.339207583845294]]",695,64.67223524826873,-,-,0,167,54.46109882433579,-,-,0,0
0,5,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1.0,5,10,10555.911461353302,"[[0.7354415279092799, 3.0975024441327665, 14.766700876537978, 17.59891076441929, 1.000000000000001, 1.6101297408239257, 1.0, 2.0, 4.111014067200983, 1.4035793376383158e-25, 2.910299616382549, 1.0, 1.0, 35.70324216275648], [-0.126545, -1.1558888662903776e-25, -1.2384523567396902e-25, 0.0, -9.081983949424395e-26, -1.0045224671333042e-24, -1.073325375841065e-25, -9.907618853917523e-26, 8.256349044931268e-27, -1.0, 0.09090909090908977, -2.999806819658361e-25, -8.256349044931268e-27, 8.910195000000002], [9.963553184841254, -14.923480042053002, -7.998710005522367, -8.649584773967051, -20.627479587371347, -6.836747487241795, -15.900590303586004, -0.7665419601793539, -9.07193531380979, -9.899345551676555, -2.40213989753132, -5.876218706278038, 0.7709094695721447, 69.71517299553744], [-56.55095030602075, -0.5785776616418294, 1.2384523567396902e-25, 1.0, 47.27601043363069, 6.305521646518908, 25.156394218781504, 26.155274945311188, 12.359467527431713, 20.518980525305498, 7.319808736118951, 27.060423517798192, 1.7386135694552873, 11.980472904469702], [46.093931182571694, 11.404555259562065, -6.767990871015611, -9.190313214366215, -27.648530846259344, -1.078903900101039, -10.2558039151955, -27.388732985131835, -7.398546280822906, -9.619634973628942, -7.918877545879269, -22.184204811520154, -3.509523039027432, 47.707263367197434]]",690,311.5049449029125,-,-,0,172,349.60213428434446,-,-,0,0
