,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,constraint_penalty_train,custom_metric_train_2,violations_train_prediction,violations_test_data,total_mse_test,constraint_penalty_test,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,3145.9584863185883,"[[2.1066659650884434, 2.9284327933425285, -3.1210545856029546, 0.6799212937688397, 5.499343547117782, 0.4994208596723834, 0.9497527419657228, 1.6158673067311948, 0.9437822610289641, 2.270537982398317, 0.4362920501571994, 0.01124991373332475, 1.0, 79.54928661011893], [-0.5294778484187466, 5.688993030878281e-18, -3.8596264983222403e-17, -0.0112499137333243, 9.799054343273192e-05, 0.000579140327616558, 0.0005027202515995545, 6.312352279727461e-18, 9.350104561546058e-18, 9.799054343273649e-05, 9.799054343274108e-05, 0.4887500862666757, 0.05697213338327625, 8.910195000000002], [-0.45, -5.689962676014259e-18, 1.0470989853309964, -2.753953284032184, -0.6534658988342137, -0.49999999999999994, 4.5498499487694603e-17, -0.6158673067311948, -9.350058516944628e-18, -0.9999999999999999, -0.27105694718349327, 0.12342789068887905, -0.5, 12.969076880185005], [-0.4668983641392826, -0.9384728321321321, 4.486849306026027, 4.418036414183808, 1.0, 0.5, 1.207993661026032e-21, -0.5, 0.4229086378168787, -0.672718529084804, -1.1081431030117097e-17, 1.207993661026032e-21, -0.5, 47.60138823336089], [0.19020825561430532, -1.9899599612103964, -3.07071202215673, -2.332754510187139, -5.845975638827001, -0.5, -0.9502554622173224, -0.49743621798635046, -0.8666908988458428, -0.5979174438569458, -0.16533309351713887, -0.6234278906888795, -0.05697213338327625, 29.17395327633519]]",684,65.19345418343416,0.0,25.019382996220774,0,178,63.49419762234352,0.0,20.80917160922872,0,0
0,2,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,3659.8757784366608,"[[1.8360553191679223, 1.0017339008603146, -0.9359274135910796, -4.3316329497447725, 0.9994110656637828, 0.5000329021483372, 8.711373550396319, 0.37406993862059496, 0.8511041510716774, 2.137523950319219, 0.6946050280457411, 0.5, 0.9096110656637828, 74.0208961884265], [-0.2415080032715898, -0.000556032187880107, 0.06800842641961546, 0.06800842641961546, 9.56106e-19, -0.4981, -3.824424e-18, 0.011163131085874725, -0.43813131587514564, 4.6175576e-17, -0.12684089770726423, -0.05682196376943302, -0.41019999999999995, 8.910195000000002], [-0.457478307267625, -0.5011449665240973, 1.879297605768263, -1.9269165720261638, -1.3327197149478502, -0.0017668030086516668, -1.7792027902508858, -0.23432986768382488, -0.1832551946351116, -0.21546743333829385, -0.03593504709928052, -0.00024231806292123554, -0.4557399323585381, 15.884648997890885], [-0.4999670978516629, 1.7045576e-17, 4.846170834495978, 7.42467006163433, 0.8332070630108759, -0.4982660991396855, -0.4880447383665022, 0.1912723231804163, -0.3500278686724344, -1.2845252321872327, -0.5467992955730933, -1.2084424e-17, 0.4549920733022702, 46.38357332359629], [0.22538360737444735, -0.5000329021483372, -5.857549453092777, -1.234128966283009, -0.49989841372680854, 0.49809999999999993, -6.444126021778931, -0.34217552520306105, 0.12031022811101437, -0.6375312847936925, 0.014970212333896935, 0.10853199260372519, -0.49866320660751495, 33.00458649008634]]",691,61.780076258394374,0.0,21.73769998256562,0,171,76.27441097766047,0.0,19.003042321097134,0,0
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,2934.155462741852,"[[2.1606811550282448, 1.9151199375099082, -4.090235563293645, -4.380192558140103, 0.1346164748585642, 1.0, 0.5000000000000001, 1.5834614914932728, 1.0, 1.0, 0.5526892723476531, 0.2984707123439485, 0.49254776402848494, 83.59439309296499], [-0.25440400427127546, 1.3557384247655365e-16, -4.073842476553601e-18, -7.0663364629408e-17, 5.5738424765536e-18, 0.03339341973903348, 8.553336181853418e-16, 4.073842476553601e-18, 2.683357580988694e-17, 0.05235789990986119, 2.5500242476553607e-17, 0.2123023205977183, 3.348323382015362e-17, 8.910195000000002], [2.215573234135679e-17, -1.3622760722109397, 0.971717848273955, -1.2448420333395371, 0.49313606783993996, -0.9999999999999999, 0.004732169110425985, -0.5, -0.49526783088957305, -0.1975276107530386, 0.029060727652346872, -0.5, 0.0030461012704880493, 13.299919152281069], [7.071764508194019e-17, -0.0016860678399411356, 5.164138085647548, 4.3741076599336886, 1.356264140211951e-16, -0.031707351899092406, -0.12484923209110554, -0.05003374276848676, -0.0016860678399410753, -0.9668254400264825, -0.5, -0.013749999999999868, -0.4986399665694588, 48.39498685655665], [-0.43717715075696933, -0.5511577974590275, -2.045620370627858, 1.2509269315459517, -0.6277525426985043, -0.0016860678399411727, -0.3798829370193214, -1.033427748724786, -0.5030461012704859, 0.11199515086965994, -0.08175, 0.002976967058333068, 0.0030461012704857773, 24.00440589819731]]",693,66.38554962112893,7.69939667577546e-16,22.54444964036648,0,169,61.154333463595606,9.681144774731366e-16,29.2732490986792,0,0
0,4,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1.0,5,10,4162.695818424225,"[[3.1542852290979404, 1.9791927856806681e-19, -6.235710478988457, -2.9924401793076223, -0.9894260743387646, 1.9791927856806681e-19, -0.0495131032807985, 1.2551091197084856, 1.0594012586676693, 1.879695346576003, 0.5975475011420265, 1.1235999999999997, 0.5535218564518645, 89.70614782118083], [-0.34339294049966684, 1.562520620274212e-20, -1.043829912782127e-18, -3.2292092819000377e-19, 0.0, -2.447948971762932e-19, -1.0, -0.846075393291104, -1.0, -1.0827493354448579e-16, 6.770922687854919e-20, 1.562520620274212e-20, 0.0, 7.5877909882944365], [0.8640840219285907, -0.049519809961541664, 2.24284150193244, -1.3976756903788226, -0.0105739256612354, 1.5452483798242902, -0.5049605427382695, -1.0863314105723538, 0.1210232629564514, -0.8293467232354813, -0.7341020354239404, 2.7759479609835814e-18, -0.24491653351251372, 11.475718261342731], [-0.9271409307591224, 1.9791927856806681e-19, 2.464139457229569, 5.07614886343462, 1.0, 0.9999999999999998, 0.015238858658220202, 0.2881504693604408, -0.2986999999999999, -1.0503486233405215, 1.9791927856806681e-19, -0.1235999999999997, -0.6329334717100994, 49.724588065873725], [-1.2787353797677417, 0.04951980996154166, 1.528729519826448, -0.6860329937481753, 4.1667216540645643e-20, -2.54524837982429, 1.5392347873608478, 0.3891472147945315, 0.11827547837587919, -9.192819413614986e-17, 0.1365545342819139, -1.0, 0.3243281487707486, 19.709654863308295]]",694,63.59112557661519,1.0713652187632761e-15,26.02337584337641,0,168,80.65014607149156,9.259260025373805e-16,42.875491290317896,0,0
0,5,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1.0,5,10,4470.414122581482,"[[1.8339204848713286, 0.9906483351229565, -10.995266539115931, -3.945564475494536, -0.011340550260275806, 1.988659449739724, -1.0113405502602757, 1.7128736376671319, 2.0341858243316233, 1.5464217236669002, 1.6598615921665014, 0.2240162361719924, 0.8424730286232301, 90.50080762884227], [-1.0230478080087746, 6.666666666666667e-18, -1.333333333333334e-18, -4e-19, -4.163032181686666e-16, 6.6e-17, 6.666666666666667e-18, 0.8166126626561095, 6.066666666666667e-17, 6.066666666666667e-17, 6.666666666666667e-18, 6.666666666666667e-18, 0.18020807189732171, 8.910195000000002], [-0.011340550260275806, -1.8477311470188098, 2.7360692128447823, 0.7027970256096658, -0.9658141756683767, -0.35202574229071226, -0.9341557705311463, -0.26122006041843476, -1.0, -0.8486047818285849, 0.029579920802141477, 4e-19, -0.011645420141179861, 9.484515984331043], [1.003740236839076, 0.9438452740713474, 9.259197326271149, 2.011340550260276, 1.670538093875592, -2.933879973853739, -0.731520181038011, -0.6952721956104503, -1.0, -0.8975736036516606, -0.6894415129686429, -0.9999999999999999, -1.0, 47.301862298623995], [-0.42240380536299105, -0.0867624621754941, -0.999999999999999, 1.231426899624594, -0.6933833679469392, 1.2972462664047275, 2.677016501829433, -1.5729940442943564, -0.034185824331623364, 0.19975666181334525, -0.9197895982530573, 0.7759837638280075, -0.011035680379371951, 22.006519088202708]]",686,69.23891339131005,0.0,31.061938954776174,0,176,49.04895895949314,0.0,14.621660803454487,0,0
