,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,custom_metric_train_1,custom_metric_train_2,violations_train_prediction,violations_test_data,total_mse_test,custom_metric_test_1,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2.0,5,10,5467.694662570953,"[[2.3206597336890873, 1.9596354166666666e-34, -11.107017356135177, -2.1006817629327195, 6.0, 0.9056110467495739, 4.227213541666667e-33, 2.0, 4.0, 4.805043437599319, 0.6184621709530325, 1.3266839873204628e-16, 1.5397135416666667e-33, 73.91791698656621], [-0.5272753340404497, 0.5461184854913179, -6.802734375e-33, 0.0, 0.0, 0.0, 0.0, 0.0, 5.598958333333334e-35, 0.0, 0.0, 0.0, 0.0, 8.910195000000002], [-0.5172797954582643, 2.473118599102447, 5.859097877634077, 0.5461184854913179, -1.8841911219712495, 1.0, -4.759114583333333e-34, -0.792964772640566, -2.0, 8.398437500000001e-35, 1.4354710065411378, 1.1197916666666667e-34, 2.799479166666667e-35, 8.86251218503646], [-0.8665340767522116, -2.521546064967135, 9.096816975997783, 3.5645652815803137, -0.5461184854913179, -2.0, -3.359375e-33, 0.2800651760632536, -1.290544831742981, -2.1615103034568732, -1.019833014382447, 1.9596354166666666e-34, -1.2317708333333332e-33, 57.07755802450806], [1.0595294725618383, -0.49769101962662976, -3.848897497496683, -2.010002004138912, -3.569690392537433, 0.0943889532504261, -3.919270833333335e-34, -1.4871004034226876, -0.709455168257019, -2.643533134142446, -1.0341001631117233, -1.3266839873204628e-16, -3.3593750000000003e-34, 29.435717803889286]]",697,54.46531048750097,-,-,0,165,83.1295862099564,-,-,0,0
0,2,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,4577.127117872238,"[[0.9844850767751797, 12.20267216594834, -15.90958159467424, 0.1985741359765556, 2.830833001829122, 1.0, 3.0627992275985836, 0.49999999999999994, 2.694096825560576, 1.2320792469985338, 0.8257968960301451, 0.5, 1.0407829242686661, 80.21038212253752], [-0.026544999999999878, 2.1444497190007982e-23, -1.548443629362278e-22, -1.32957656934351e-17, -1.7390148661425917e-22, 1.3578723925819638e-22, -1.4818461541430333e-22, 2.387373511976583e-24, 6.578387065625746e-21, 1.7429081510034252e-20, 2.827977595444277e-20, 1.548443629362278e-22, -1.2660679105507464e-21, 7.910195000000002], [2.3775925012733916, -11.072357216390023, 2.486039426864034, 0.6238533037001004, 4.08429778068868, 2.1444497190007982e-23, -2.8909845792363402, -1.5892076370181103, -0.2356818033566217, -0.07463441207798627, 0.1627145711098514, -0.2440317755957091, -1.4809457479510335, 15.784788158766487], [-1.1211461221998373, -0.2241503249068762, 3.7539729847600682, 6.524694525435793, 2.872077900237881, -0.5, 0.5, 0.2986049145026804, -1.1102222015092104e-16, -1.1574448349205475, 7.598651834439128e-23, 1.3578723925819638e-22, -0.15714543704887374, 43.51275694609199], [-0.745286455848734, -0.9061646246514408, 9.669569183050138, -7.347121965112449, -9.787208682755683, -0.5, -0.6718146483622434, 0.79060272251543, -2.4584150222039542, -3.001743557710497e-17, -0.9885114671399965, -0.2559682244042909, 0.5973082607312411, 30.785777772604018]]",685,67.07884127453875,-,-,0,177,60.74539222628773,-,-,0,0
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1.0,5,10,8828.334483146667,"[[2.813052242820741, 7.039636006813261, -1.0, -1.0000000000205486e-16, 1.0991491225731482, 4.78679460779482e-28, -1.0, 1.6044897565699923, 1.238448210053062, 2.355193160216836, 1.3803008170246036, 4.78679460779482e-28, 2.7888281628021995e-28, 69.62415518642906], [-0.9938103101077033, 1.4693378230883228e-27, 1.4693378230883228e-27, 2.0548529896069935e-27, 2.640368156125664e-27, 2.3476105728663286e-27, 1.762095406347658e-27, 1.1765802398289874e-27, 2.0548529896069935e-27, 2.9331257393849993e-27, 6.958192721901365e-17, 0.9702411910070018, 8.782727497780059e-28, 8.910195000000002], [0.8746200489286307, -5.794030640414797, 1.757412747487947, -1.5761959628016624, -2.0991491225731482, -1.0, -2.24841907856725, -0.7311467751307862, -1.0, -1.0060827392844307, 0.19651722663635857, -1.0, -3.0774233159677993e-28, 19.009827859546665], [-1.692548250452092, 1.0, -0.757412747487947, 3.6194496144228845, 1.0, 2.0, 3.24841907856725, -0.5395553769584945, -1.238448210053062, -0.3491104209324053, 7.908617178095795e-29, -0.9702411910070018, 3.1884214518007234e-28, 56.53036007869593], [-0.5322137311895763, -2.245605366398464, 0.0, -2.043253651621222, -3.51864090590367e-27, -1.0, 3.333333333333333e-44, -0.33378760448071165, 1.0, -1.0, -0.667727134570053, 1.0, -1.1682553796415183e-27, 24.12936187532836]]",686,63.3549233340191,-,-,0,176,52.478552650891864,-,-,0,0
0,4,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2.0,5,10,4930.443779468536,"[[2.274882572632814, 9.856549890685942, -0.7765444814404874, 3.7718926659354493, 3.8313387238968453, 8.718980966230704e-22, 8.718980966230704e-22, -0.4254710600178625, 2.0, 6.215239246428274, 2.0, 7.084172035046055e-22, 1.9999999999999998, 64.80183545626515], [-0.3397853485938463, -2.016264348426098e-21, -1.2234555185595122, -2.0, -0.17439796737893795, -2.9971497071211516e-21, -1.0000103537898974e-16, -2.670187920889467e-21, 0.06677727272727274, -1.3623407759627291e-21, 0.0, 0.0, 0.0, 8.910195000000002], [-0.18999764008744016, -2.945043303992092, -0.6608208378965945, -3.659793941904116, -2.58243516604491, 2.0, -1.679297956684453, -0.5801965275894564, -0.7765444814404874, -3.3408883280482873, 1.0864198630195905, -0.9351447492897101, 5.537391277080252e-21, 22.958531010921163], [-2.9461324935250754, -4.232151191269762, 8.056302560409717, 2.928213422297397, 0.9254944095270026, 2.0, 3.2082903606798974, 1.0290054144693348, -0.325108695169965, -0.782251818136358, -1.1953783755899496, 2.016264348431343e-21, 0.20205909086128782, 54.84705972874005], [2.670132909573548, -2.679355395424088, -5.395481722513123, -1.0403121463287306, -2.0, -4.0, -1.5289924039954443, -0.02333782686201592, -0.9651240961168204, -2.0920991002436287, -1.8910414874296408, 0.9351447492897101, -2.2020590908612876, 26.686278804073652]]",695,63.578752063974825,-,-,0,167,61.15629099819661,-,-,0,0
0,5,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,7159.8801465034485,"[[1.51763100264356, 1.4999999999999996, -1.6966082052586702, -0.5672455806844483, 9.421638950705217, 1.0, 2.4229784077107626, 0.5488441260713303, 1.0, 5.540173963780582e-30, 0.5769010116268092, 1.0, 0.13850030771922386, 83.81973107149305], [-0.06561525286699257, -3.885371703680397e-31, -0.9999999999999999, -1.1823170689544186e-30, -1.7270491808076857e-30, -4.74585025934402e-32, -1.7513009130905024e-31, 9.001569883197687e-32, 7.709308386485638e-31, 4.74585025934402e-32, 7.283736424100272e-31, -3.38761289461783e-17, -9.001569883197687e-32, 8.519492471330075], [0.7990032001865779, -1.0548908503348668, 0.0838217132652231, -0.9197105187554153, -2.0, -1.5, -1.5, -0.38966971529416233, -0.5, 0.5, -0.25232468695904897, -0.49999999999999994, 0.01944866764004098, 13.080047905980322], [2.8102213397491522, -0.7687898222126298, 5.191115393057481, 2.4425395578808806, 1.0, 1.0, -1.5580526110141655, -0.5, -6.334566372231469e-31, -0.5, -0.5, -5.766386157319274, -0.1579489753592648, 48.155336671496], [-3.5921402897122974, 0.323680672547497, -2.578328901064034, -0.955583458441017, -8.421638950705217, -0.5, 0.6350742033034029, 0.34082558922283207, -0.5, 1.1823170689544184e-30, 0.17542367533223976, 5.266386157319274, -4.000000000000313e-17, 24.62929187970057]]",685,73.57504325245414,-,-,0,177,65.74659141875884,-,-,0,0
