,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,custom_metric_train_1,custom_metric_train_2,violations_train_prediction,violations_val_data,total_mse_val,custom_metric_val_1,custom_metric_val_2,violations_val_prediction,violations_test_data,total_mse_test,custom_metric_test_1,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,0,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,117.09263968467712,"[[4.2619445321855745, 9.092007826636095, -5.2187408427195345, 4.39999191403406, 18.854153870955198, 2.698517903845875, -2.890343807958098, -0.4321913514832777, 22.20147205553912, 2.395309016143476, 0.3351296224140705, -1.4016779943556865, -0.6022614106778524, 40.956910449372025], [0.3555107476634404, -0.11786645980799679, -0.04918927722896039, 0.6110365681104719, 0.2278976934712346, -0.23774418755304902, -0.594691337880171, 0.09085993200723597, 0.06681755037444574, 0.5552448122217563, 0.18190801501740722, -0.38838089410052357, -0.34314431131253564, 5.285087464147064], [0.4539879975106036, 0.1897218315384681, 0.6239183281250887, 0.13371943247920243, -0.8390796699809371, 0.019971239454701795, -0.13966328628141858, -0.10578771153211214, 0.223475566823352, 0.38774974971471043, 0.05655748176694194, -0.6653627477731527, 0.02023106189927001, 4.950327929175899], [0.23247517901378514, 2.985087147623524, -1.5578457252182414, 7.7962232157862825, 13.168256927455996, -0.5057054694163824, 0.16918087501212814, -0.20477122504020745, -0.2663481572989853, -0.6001597054855357, -0.1937811430239566, 0.08154177914559022, -0.25974132359632984, 33.23078050809908], [0.016298970853691308, 0.550189914036479, -2.363606054081105, 2.4839317547740767, -0.9212795593462456, -0.00987837074028702, 0.1954326574001398, 0.1221452082530395, -0.2718780465498454, 0.23616688557888627, 0.1331548157352351, -0.0677368139068089, -0.25787200878141653, 13.055487104143571]]",522,31.982223386278033,-,-,512,179,36.4190729589877,-,-,177,161,46.79682830482365,-,-,164,10
0,1,1,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,218.97197842597961,"[[3.874935541388159, 8.79829069822997, -5.1262329324277545, 4.1792166732467715, 18.385970633331695, 2.6438031965863003, -2.751984007848875, -0.4189779710863823, 21.82736626114491, 2.2046367464298102, 0.31177854524869, -1.3266982590888705, -0.5873018573354128, 42.467307166430025], [-0.03869897667841677, -0.3968063854563602, 0.04486363179807767, 0.38981869386939194, -0.25030935104343094, -0.2884013275690174, -0.44231143425822095, 0.09969687449376949, -0.2967154198364489, 0.3609796732887536, 0.15751129846217987, -0.30407514061232993, -0.32659969661234345, 6.788663569774204], [0.0669521510909698, -0.10272472871221996, 0.7167069925069587, -0.08798726276636591, -1.3075220525727616, -0.03470009542244229, -0.0011432029130540602, -0.09272883908552865, -0.15127076068034806, 0.19733133457103036, 0.03325210261972389, -0.5902285773352053, 0.035193886752639465, 6.460535672294393], [-0.1545195840052695, 2.69234933400714, -1.465439503569908, 7.574640631414771, 12.700037187228629, -0.5604198834278472, 0.3074291895590907, -0.19167515763928095, -0.640977778910508, -0.7905311881653309, -0.21709511681781346, 0.15667985900555356, -0.24479694856779513, 34.74102559854395], [-0.3707312788268493, 0.25776737384318416, -2.270878264893119, 2.2622510118076145, -1.3897682369794835, -0.06449264284691669, 0.33392949373692965, 0.13518335756672675, -0.646607869112141, 0.045765898488550436, 0.10983809842476866, 0.007394398629190393, -0.24290104991242695, 14.56577342184441]]",522,32.84388863895113,-,-,467,179,37.23335864724437,-,-,162,161,48.05093673178269,-,-,142,10
0,1,2,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,148.3605616092682,"[[3.6782255404706663, 8.263339074333569, -5.087441736729127, 4.032306342395823, 17.97449690957236, 2.4870252552881102, -2.689922388694968, -0.4011345030486933, 21.10245950202848, 1.9937129635945303, 0.31007170397000977, -1.205457180623027, -0.5852291889284722, 44.06930195364599], [-0.22822749305535478, -0.9465919801504156, 0.08216227195865052, 0.24333316124337925, -0.6512728579861905, -0.4493021491933005, -0.3943179521398913, 0.1219030354192694, -1.0322522293182166, 0.15371898337307904, 0.15687723656822034, -0.19200112883163797, -0.326130425736839, 8.396925515601724], [-0.1297019417955188, -0.6390743469143357, 0.7552087010170457, -0.23401376435397148, -1.7182962087576494, -0.19164300458630412, 0.06066271668263266, -0.07471386986564221, -0.875643052206689, -0.013897458483200375, 0.031546258609175884, -0.4690056994663756, 0.037201628848646626, 8.062149374765157], [-0.35125646984233616, 2.1563902355131206, -1.426525516708229, 7.4285109912830825, 12.288772102330688, -0.7172806433990767, 0.36953641798684267, -0.17372147862601772, -1.3654987323736771, -1.0018310642527402, -0.21880307099077334, 0.27794981852957806, -0.24273033697870153, 36.343017704898614], [-0.5673975157373691, -0.2784942074767315, -2.2323901575745846, 2.1161769961480132, -1.8006058999494596, -0.2213835570994549, 0.3957960851303559, 0.15320219333211732, -1.3711038855460354, -0.16545138342944576, 0.10812337767589592, 0.12861762958843012, -0.24086716970611335, 16.16746077460124]]",522,34.888456874708936,-,-,418,179,39.30905594479537,-,-,140,161,50.235809634761544,-,-,119,10
0,1,5,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,351.90195655822754,"[[3.4093547068226115, 7.349066481941064, -5.963278939560595, 3.0081255099097146, 16.232420259379218, 2.279081094191454, -2.4490674580584737, -0.2926106601275909, 19.14845269220314, 2.0568709440908854, 0.27282086329756694, -0.9411407124013619, -0.44396364078550543, 48.399849282335715], [-0.4809838757987217, -1.7436922360257714, -0.8147872532426587, -0.5866429944347163, -1.8532784809286018, -0.6829784068025482, -0.07523343154338592, 0.23410266961120227, -2.8675056000566714, 0.16067931831012183, 0.11562591708191444, 0.07314515520369787, -0.2127291800700251, 11.559302497559154], [-0.39850376569168783, -1.553099479055941, -0.1211034409390729, -1.2582686420762852, -3.4613287770619836, -0.39930455834372514, 0.3015228200766155, 0.03372760278753092, -2.8296136949470316, 0.049028396550517064, -0.005750196455868561, -0.20482861475104025, 0.1785292369552065, 12.393769217456475], [-0.6200366582866034, 1.24217354633279, -2.3024282024083114, 6.404310935587853, 10.54618276797628, -0.9249963447193507, 0.6104594437155508, -0.06523471589368136, -3.3194164188717092, -0.9388226902580147, -0.2560927999331355, 0.5420768272273764, -0.10144627010322312, 40.67382182822328], [-0.8362016957308055, -1.19267375216527, -3.1083316244564596, 1.0920012608501535, -3.5433730528353187, -0.4290707672550803, 0.6367267865185451, 0.261657573125901, -3.325060104957642, -0.1024960598740206, 0.070856754342671, 0.39277662394378604, -0.0995779647913702, 20.498621292043197]]",522,40.167092899622034,-,-,256,179,44.72161828295347,-,-,82,161,54.46530446725228,-,-,67,10
0,1,10,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,270.6795344352722,"[[3.486410484589157, 6.95954187637153, -6.355586052696926, 2.0995920088048594, 14.374244744015726, 2.256802212169711, -2.3251944288244264, -0.3088145046720734, 18.331346232980575, 2.1566760015262023, 0.2545365931884796, -0.9955778963186896, -0.40182392330767724, 51.19238054991103], [-0.36512429490624465, -1.8732325560680354, -0.9677909740403946, -1.3613132950125533, -3.0093772746580614, -0.7371124616375514, 0.14136075402119458, 0.21245378715797067, -3.494549004989234, 0.2028248826848593, 0.08074792016421227, 0.0006863386619776413, -0.2112735447669812, 12.632623907158417], [-0.32145141066911365, -1.942429533106531, -0.5125471759190098, -2.167096720764305, -5.318010763968598, -0.4218025803250697, 0.42501316238482206, 0.017562190940425857, -3.646415861237326, 0.14874855981543966, -0.024058812830572093, -0.259283943496065, 0.22065564032408813, 15.185668789317782], [-0.5430128894164824, 0.853049860264684, -2.694690799365957, 5.495544950086904, 8.688577661790134, -0.9474189384664812, 0.7341601363954948, -0.0814641087598122, -4.136268970873355, -0.8391664970967042, -0.2743947247903653, 0.48769017409976056, -0.059316194910428874, 43.4661797934404], [-0.759140785826375, -1.5818821068793691, -3.5003197029020177, 0.18316511907999597, -5.4003246511831735, -0.45156013875433615, 0.760142426706084, 0.2454680930994929, -4.141819934203477, -0.0028663898690140734, 0.052531170275732744, 0.33836036461303215, -0.057439314713428724, 23.290914676764643]]",522,42.57688875941322,-,-,133,179,46.911117404281946,-,-,50,161,55.78868386676556,-,-,30,10
0,1,20,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,148.44395327568054,"[[3.5214988737186124, 6.771035760973259, -7.181392463966881, 1.7704327637711295, 13.19324538471333, 2.321383234825939, -2.3746796056199546, -0.3382096152527309, 18.087839162063094, 1.9862747086435049, 0.239164209499554, -0.9829324543023845, -0.34505882632226803, 53.16142920364725], [-0.30939333584514905, -1.771854568078104, -1.626745038076555, -1.4461172645239888, -3.378197360554966, -0.6843500944441144, 0.31923823687186104, 0.1910484634455953, -3.5126376395274734, -0.10330550933521468, 0.05161119552937291, 0.01883347056394841, -0.20837795913567114, 12.34610594562335], [-0.28404840245472246, -2.145931480012098, -1.5467296567686506, -2.5418961401276765, -6.614453243629075, -0.3453661123716774, 0.3332279746456251, -0.0033206202948164636, -3.9309092598620015, -0.01936819495689548, -0.036254728425889976, -0.25306112155580973, 0.2836922067537962, 17.369329518213444], [-0.5251638959718713, 0.6791396678102744, -3.5626458727135075, 5.14626984425205, 7.489562908106187, -0.8518130801265108, 0.660776095142576, -0.10236049387171525, -4.402636358143606, -0.9832753912031682, -0.2839328224429468, 0.5033345880524689, -0.0006881975858431286, 45.477749019010304], [-0.723547552678464, -1.7735401808277615, -4.43790495957849, -0.18461672723679667, -6.6325081982600125, -0.37071270649546323, 0.6664422770754745, 0.2249037934941081, -4.419379808062545, -0.1599362727483136, 0.040089617652100104, 0.34369700289160693, 0.0030555592448660305, 25.383355658043314]]",522,43.78419032500793,-,-,62,179,48.50085613182631,-,-,26,161,56.52265684960345,-,-,13,10
0,1,50,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,326.5789623260498,"[[3.4955369317358467, 6.771684219176184, -8.069834940190617, 1.428512549176014, 12.61789259378058, 2.281267025943964, -2.4799241828144143, -0.35520846825349245, 17.944476885634067, 1.9350591077864305, 0.2344311400179431, -0.8961886082918082, -0.3304024956027614, 54.844512510512146], [-0.25646647447429427, -2.066152824793981, -2.371789181343664, -1.4670995505825952, -2.501589892539666, -0.5124326210155882, 0.19667391962761, 0.22702982698630322, -3.426373393308456, -0.3428333696833721, 0.05029450252173748, -0.06540718983286806, -0.2648320606878321, 12.27501393849301], [-0.3125465714115476, -2.1293188994432626, -2.228984134746015, -2.837227351563215, -7.0775518952662075, -0.3972154619975941, 0.27203257049843227, -0.028867847800529582, -4.033655766243069, -0.07299283720494305, -0.04409648921570934, -0.15995980930103623, 0.2921123616997064, 18.837147087249118], [-0.5337701049137089, 0.6655694100489911, -4.409462902213542, 4.824682379277438, 6.931419344567651, -0.923115023134869, 0.579911639372306, -0.12787028889693558, -4.52339699918803, -1.0610274650521585, -0.2944675170459469, 0.5868575651080774, 0.012121639199245936, 47.11799880829251], [-0.7501705579255525, -1.768833006339711, -5.215924711324316, -0.48709641105920426, -7.159125118801119, -0.4270351919928345, 0.6068520679879164, 0.1990561584617889, -4.529045922950414, -0.22456619808870712, 0.03249635595931474, 0.4376214614107008, 0.01401293517132705, 26.9420639530881]]",522,44.41981749074024,-,-,24,179,49.334765772730314,-,-,15,161,57.06218206029804,-,-,8,10
0,1,100,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,256.057284116745,"[[3.4851096415900478, 6.6248290350117545, -8.428215511998404, 1.4025341249020833, 12.241159788319466, 2.208357489136175, -2.4086352125069683, -0.34678938094359635, 17.845839452830283, 1.9554324383894695, 0.249680405036462, -0.8935687577089507, -0.3166191122142992, 55.47883607555085], [-0.22737433411841054, -2.229855030226996, -2.009026489274369, -1.6458882498626286, -2.538807283568067, -0.41056651478645034, 0.370171490367544, 0.24093047645775598, -3.3267225723686176, -0.47195897362906464, 0.043211589638859675, -0.17302654922554403, -0.28199940057295203, 12.020764579148572], [-0.3252902207727663, -2.2781292496875927, -2.5882520738010455, -2.8638347573320773, -7.472484816866448, -0.46934274417620925, 0.34751966321461175, -0.019158728343729014, -4.131959363090383, -0.05139472609106696, -0.02862413906816896, -0.15775462187941838, 0.3066089939187333, 19.482068437710662], [-0.5476517505077526, 0.5150977225302273, -4.766952992014652, 4.798715524507533, 6.549711882098292, -0.9939073177477048, 0.6520263043566762, -0.11753156494603197, -4.620370566789731, -1.0379129710305326, -0.27867923212941703, 0.5904818571692892, 0.02603739821139738, 47.7542142687328], [-0.7630789318776136, -1.9179216918670299, -5.571415854099533, -0.5135066713802271, -7.549912403066868, -0.4990540994893928, 0.6818910144128552, 0.2089419428772076, -4.62694328153551, -0.20240540878373378, 0.04798598239005594, 0.43999337253933873, 0.028327788895551015, 27.582361676027727]]",522,44.785530390537446,-,-,6,179,49.77873218873505,-,-,7,161,57.29069096008543,-,-,4,10
0,1,1000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,376.55438780784607,"[[3.271042355177421, 6.556019243131405, -8.641239694207433, 1.4117689237855822, 12.644859416305772, 2.1965026672519032, -2.3190706541453925, -0.25512335525202984, 18.174453826583537, 2.1597389284499338, 0.17497644407359156, -0.8058245270422231, -0.3913749819295236, 55.411081492440964], [-0.31638781020763584, -2.8044856561812033, -0.6720405955475311, -1.1169649504620407, -2.5953384390441383, -1.3137959190455593, 0.8327514265040894, 0.11237146150872476, -3.5774690598312313, -0.5728911550797434, 0.2971733302354618, 0.05795196079233917, 0.030640956199395615, 11.507488954342397], [-0.6060377732493587, -2.267867719286053, -3.017693312526677, -2.7866757702404996, -7.357393563363196, -0.4000744929992446, 0.472424872941441, 0.056636502791415896, -4.065398954222834, -0.10108564382206779, -0.03222504380132291, 0.11570244455124606, 0.2967260495671271, 19.49693713548671], [-0.7691601146148749, 0.4708245680462181, -5.038277088888709, 4.793673372326898, 6.859554221310438, -0.9735838336719768, 0.6772964444008593, -0.017243056410924332, -4.453054201248316, -1.0015906721230574, -0.31995805427131463, 0.797697231879703, -0.04778136432504177, 47.633627356575865], [-1.0302097986222178, -1.909639599325693, -5.899603896511559, -0.45538939767489156, -7.35235382436328, -0.44235687779032834, 0.7858203817543639, 0.29299070792294457, -4.536406355886985, -0.2279673918521304, 0.037842979672462744, 0.7015563999760086, -0.0008599922125368763, 27.502576166717922]]",522,45.297195031419264,-,-,0,179,50.344302170182985,-,-,7,161,57.914149919080245,-,-,4,10
0,1,10000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,317.3700726032257,"[[5.2739738134758545, 8.612527945083023, 0.8291552412609247, -0.48916671956014823, 15.397507053082855, 3.1325656056033395, -5.221099290531375, -1.1545372269389822, 20.988667808162333, -1.2963437623326, -0.5371785918124847, -2.1949138463545244, -0.92050139811614, 49.00622518090779], [-1.61732553008303, -2.179514693448749, 1.656942757438308, -1.5243503774107852, -4.42618000624196, -1.087361966345522, 2.2847924640204544, -0.7231109018457029, -2.9388166764646857, -1.0035024124223964, -0.8957509145994286, 1.5221519350826538, 0.9457793103653007, 12.73477589602216], [-0.8928659344531694, -1.0223022068323107, 3.7702357475461223, -1.4113104455311083, -5.106030666810674, 0.3923029313815255, 1.964397741634206, 0.4424558617870545, -3.4216699260535024, -0.443167944360108, -0.13842134513628224, -1.8405545456390513, 0.7700734938578511, 11.260363129202455], [-0.150587571583448, 0.35724619444777106, 3.8314950667604455, 3.6285223360899597, 9.146710877231866, -0.10475108260575583, -0.9578323131955011, 0.41658988806459324, -3.187493145209066, -1.4006258269326433, -0.7893033193722024, -1.1169280918909887, -0.32200257985072595, 40.458189744096856], [-1.1492309484600267, -1.031575837649966, 1.4701716915427876, 0.6434465495539825, -5.044011134651698, 0.31832488682466115, 1.5694572796954154, 0.7254290788157423, -3.7880646201425656, -0.47714649714023866, -0.14758696868032942, -1.2490499753437831, 0.27910569986497874, 19.205079295107915]]",522,57.24153971117699,-,-,0,179,60.08129065315537,-,-,4,161,72.36002865593221,-,-,1,10
