,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,constraint_penalty_train,custom_metric_train_2,violations_train_prediction,violations_val_data,total_mse_val,constraint_penalty_val,custom_metric_val_2,violations_val_prediction,violations_test_data,total_mse_test,constraint_penalty_test,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,0,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,121.78033900260925,"[[3.64694851189043, 8.923671069074105, -5.495233458776251, 3.1286133555458138, 17.46887274941729, 6.592671731137125, -0.23679146348648072, -0.8862423589512203, 22.430758462778236, 5.665460123343826, 0.8896494420951974, -1.2512077776362809, -1.645319962155428, 32.9602857249846], [0.6144350408159918, -3.0538508012767756e-05, 0.1949410371549496, 0.4289452839782846, -0.14143170503412963, -0.07219824074980155, -0.7079307061158944, 0.013894026151859352, 0.9105242248638531, 0.1364582066483701, 0.006008034981049457, -0.7595163737489737, -0.31071760180797503, 5.016255941053988], [0.23293366005249508, 0.1959621801626071, 0.1192319302754494, 0.01240777234127698, -0.9294633687831102, 0.09288169983506402, 0.38412710130393724, -0.10747205994021258, 0.1832655907411369, 0.708281048905795, 0.057063907205973555, -0.4612680524228537, -0.0017406355600108564, 4.6818894420634045], [0.3526579274333506, 3.6468933835499624, -3.847355913404857, 8.435561710525162, 13.251416659699881, 0.2677054223112187, 0.08143168981193273, -0.42159765360483836, 0.14138977314158693, -1.5700831290233916, -0.471548067048591, -0.1467014670816812, -0.10751360539551977, 35.94281329678025], [0.11555359101626358, 1.2737654003393102, -1.6245302563913488, 2.3537234874858797, -1.2602658327290233, -0.04683742241734575, 0.8302554486621603, -0.007989957935255148, -1.2618734480789036, 0.7691240656654392, 0.33394578175135337, -0.4802149978352011, -0.2535714316897275, 12.654489425555118]]",512,33.84330419915722,5.446958623347164,56.81228574260144,502,172,43.22730939766563,6.004062827879084,65.34636540438252,173,178,35.90506718141489,5.7063921012235905,66.53279985904273,172,10
0,1,1,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,166.197026014328,"[[3.317274251475202, 8.521508553153296, -5.313841515168069, 3.085365462390105, 17.311714285325788, 6.40131649200645, -0.33395349754636794, -0.8482870112116022, 22.02342680942247, 5.509586070110489, 0.8427889452075638, -1.1461558313160631, -1.62547784313986, 34.400079116563276], [0.26249326120670685, -0.399034247150442, 0.3472436911276105, 0.3672340177652108, -0.3351290016162415, -0.24450595098096942, -0.7415001318913865, 0.0522331751173123, 0.4781502559813798, -0.009226533948980011, -0.04226061263025984, -0.6418944474934603, -0.28382051269465747, 6.475387990160507], [-0.0933833750489649, -0.2084674842840722, 0.31036918995274015, -0.03538813902049631, -1.090418493776217, -0.0933714517697502, 0.29100061600682237, -0.06955457853936335, -0.22857210139903975, 0.5531208194707161, 0.00958631141827067, -0.3631379324012466, 0.01791637257833602, 6.120290277612303], [0.027712119927886948, 3.2425692900692074, -3.665129250087697, 8.389737244513878, 13.103609175511414, 0.07847170621728873, -0.013611439819910155, -0.3837265334439412, -0.27146434481669873, -1.7230408485849085, -0.5193988052094173, -0.049879123506091284, -0.08796036995221541, 37.37796774888638], [-0.21009953347890292, 0.8686242873848202, -1.4328092743148968, 2.30609226301652, -1.411609277464694, -0.2336782863329612, 0.7358868995539257, 0.030115622529527538, -1.674610455071619, 0.6152358486439959, 0.2863394171766999, -0.3829144962760471, -0.23412563740361067, 14.088431236521622]]",512,34.680744979201364,3.6478292881143743,36.42844350697291,455,172,43.656829630069815,4.087419509705257,42.15587064129036,162,178,35.96185683969358,3.82339032049601,43.71458280392319,156,10
0,1,2,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,184.55408430099487,"[[3.0783968713958973, 7.98951376797816, -5.146366412902528, 2.990379716488351, 17.02743859995675, 6.151883424176209, -0.15112818115299162, -0.8120587165726172, 21.366995542113603, 5.2905711459725016, 0.8304183849437518, -1.0431838275470342, -1.5842024406768687, 35.85443861372215], [0.04622126619983024, -0.9345397536162299, 0.5430033656836839, 0.2916073625002894, -0.5830834237366788, -0.5129342481256677, -0.6220000348960258, 0.0879617703855892, -0.15369258846374115, -0.23801620704470378, -0.05328417137593806, -0.5518415272920473, -0.24959627513800167, 7.910212249562906], [-0.3352166259503884, -0.7387145858903823, 0.4672683060673485, -0.12495653661758, -1.3708417623583378, -0.34778978090288537, 0.4701134653815036, -0.03338912642603164, -0.88102813310018, 0.33383721832166213, -0.0022199787272369565, -0.2537304129656346, 0.0593592709384095, 7.575674830654401], [-0.21523253338763487, 2.71221208471833, -3.4982060073530676, 8.297883238633752, 12.810492075080232, -0.17325041991570636, 0.1668016714454165, -0.34752629850575234, -0.9228422093880528, -1.9446404209040373, -0.5309010331205722, 0.06075355196712897, -0.04643605329279712, 38.83668837648511], [-0.45246965757565916, 0.33909152516950253, -1.2761657795703931, 2.216394050377981, -1.7011988448112492, -0.48764614339331785, 0.9159702934896247, 0.0661046162734692, -2.3263537677713098, 0.3946401600951242, 0.2746531996069438, -0.27266700361698065, -0.1924938156154922, 15.547950470376211]]",512,36.655119405318246,2.3076943784937622,24.663657164419988,407,172,45.334357435854464,2.6463062157691737,28.44744399329172,138,178,37.152946556243236,2.4377666688076474,30.21935175864134,136,10
0,1,5,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,264.9947888851166,"[[2.7469250893767265, 7.194324328952431, -5.556398051286986, 2.2032204351170983, 15.916342029015517, 5.415941604370183, -0.1813542029383236, -0.5704403495158558, 19.461910346386542, 5.14438320610577, 0.8180406710175185, -0.7439011037712264, -1.3833194686814134, 39.74866302799319], [-0.2703105506932268, -1.6513793795219036, 0.03722419913923972, -0.32055282883751407, -1.3094857699672806, -1.2774354945003452, -0.6116580564478379, 0.33332115613154356, -1.9860776705824736, -0.4257178751044288, -0.07201881289350938, -0.2486509693308691, -0.06372145313954644, 11.051158726072993], [-0.6671953372127633, -1.5344710019949144, 0.05825322378814705, -0.9120830631995339, -2.4826121521518822, -1.0843612192019276, 0.44047030568602163, 0.20826140052575393, -2.785337830562676, 0.18767593328541207, -0.014545853343923668, 0.04644557689530311, 0.26024068468989053, 11.469463350065801], [-0.5473741310850413, 1.9166339903586547, -3.907584724246919, 7.511185231500121, 11.701639641732049, -0.9095192078847133, 0.13656655733650228, -0.10583904442718943, -2.827521475966066, -2.0909101197119018, -0.5431218244974593, 0.3611579772247815, 0.15440461661055435, 42.729538597432374], [-0.7844687369808986, -0.4568318534675542, -1.684754116349934, 1.4294503512174788, -2.8106327908127873, -1.2241978999577232, 0.8859527097820473, 0.3078071142016857, -4.230674189514193, 0.24856116691384814, 0.26233345296874977, 0.0275493877023809, 0.008337331527769694, 19.44059186211465]]",512,42.006022636293764,0.5803074311460499,15.750516740061602,251,172,50.24725146995803,0.7290589727833346,17.999383436835206,92,178,40.51725872396754,0.6360085448492051,19.177347388100927,97,10
0,1,10,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,238.5036826133728,"[[2.8678448575822593, 6.630077232846199, -5.699884159975629, 1.4915510417416218, 14.07364906924685, 5.353086295540952, -0.17239557285593254, -0.5920345732046375, 18.701352438770044, 5.028325514537045, 0.7574197718748321, -0.763125545463549, -1.3082370214911523, 42.58852794179257], [-0.144663378348258, -1.8886181373021893, -0.01499034167339564, -0.6196319421455476, -2.0340667975832254, -1.3353960567995145, -0.5210776116943909, 0.30909805406490987, -2.6221273273788603, -0.437357097080575, -0.11479331010746834, -0.2662549669145849, -0.037551482473052476, 11.528646586134778], [-0.5460413077255564, -2.097203370617033, -0.08409630589307895, -1.6242040097339336, -4.3262788910618, -1.1464452191911088, 0.4492785182074876, 0.18675544055494794, -3.5455633224281216, 0.0706509175547371, -0.0752262681997527, 0.02636827255155536, 0.33532103045004275, 14.308199591199582], [-0.4261865039238557, 1.3528123930597455, -4.051771104148084, 6.798969015394572, 9.857960373848284, -0.9719535861981727, 0.14521469105111295, -0.1272474203323676, -3.5873831283658624, -2.207842193416122, -0.6038504373295006, 0.3410250567089457, 0.22949489937191167, 45.56991514253639], [-0.6633213418421039, -1.0196966965187797, -1.8277159794078148, 0.7172429612473662, -4.655037374351807, -1.2862686298331527, 0.8948491697509657, 0.2863177142141182, -4.99075376405695, 0.13133857042943525, 0.201662757254919, 0.007441145703417315, 0.08343332596721507, 22.279995308715534]]",512,44.72369287069901,0.17046837382365607,15.545870929811578,133,172,52.58201906608513,0.22099498476441468,17.021266361479658,53,178,41.70759177886613,0.1950261780898824,17.394674770888727,54,10
0,1,20,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,197.27712106704712,"[[2.939676866576557, 6.405401166755534, -6.150917174471281, 0.6712990818762886, 12.27487185126527, 5.312591152276752, -0.18777929843739144, -0.6313990838109733, 18.31574696023233, 4.793811722679429, 0.7585560869806298, -0.6932232999672193, -1.266141575397062, 44.98571097174003], [-0.04458035331497644, -1.8782168135638346, -0.5952820192069205, -0.9662059738661818, -2.7342874820482033, -1.4065843973555796, -0.4735813311434996, 0.2808935516023272, -2.873622600740808, -0.6648283874039702, -0.10508202842578761, -0.20362101567415433, -0.042796877702783974, 11.756917602426112], [-0.47568888492433004, -2.3219051304960794, -0.5313205189827813, -2.445437398062717, -6.127401743001719, -1.187648496265857, 0.43834218036248157, 0.14872873143688253, -3.9302301790293015, -0.16337431215068604, -0.07424302266069176, 0.09480149974141548, 0.3779747486535839, 16.7032356793581], [-0.3555467015782075, 1.1275241142204984, -4.500893397362959, 5.978763057118545, 8.066612208018222, -1.0128007465384443, 0.13183688938035604, -0.16576789129364955, -3.9738157811009893, -2.443041389276132, -0.6025503677817816, 0.4106656999923831, 0.2719332123301452, 47.96420353431369], [-0.5928686141789385, -1.2448864065433853, -2.2737756831254723, -0.1035921791036893, -6.4490202847439075, -1.3275364156167868, 0.8829044428709298, 0.24835351482828927, -5.375754838901648, -0.10256022044485048, 0.20264619319223223, 0.07594141740259476, 0.12594218388584238, 24.671758729156792]]",512,46.44747064665838,0.04323997103962622,16.308906419559598,65,172,53.76921692131205,0.04593725487988227,17.10392054782586,27,178,42.22360890823027,0.06974642371081594,17.07946857870374,32,10
0,1,50,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,236.19316816329956,"[[2.920388932649699, 6.217823364500583, -6.662474090836886, 0.2923773147019215, 11.666641046265049, 5.288570364802493, -0.299348980741917, -0.6224456092438768, 18.24908059616276, 4.604999135929713, 0.7388320206367492, -0.6340947235878532, -1.2167829530665715, 46.61593682603915], [-0.051056513619672846, -1.9131251037759813, -0.8079553539051106, -1.170201978485911, -2.576274525559568, -1.3451255658172823, -0.6183983447164393, 0.3007203760823884, -2.9205028591295012, -0.7021151969058143, -0.09494975837863652, -0.20510239778895176, -0.0336569958166497, 11.91554296082647], [-0.4937496738487362, -2.5042950773106436, -1.0381797927379472, -2.8284527207143326, -6.7381094467544775, -1.2096286977199657, 0.32185745260005494, 0.15701902309569196, -3.998305118447223, -0.35296209317237226, -0.09376068147955162, 0.1533622311552738, 0.42710616762610915, 18.33514643529817], [-0.3735927614091784, 0.9408360216331241, -5.008735703326767, 5.598863705547666, 7.475506607882414, -1.036703382314629, 0.014122767286093907, -0.1560865369754842, -4.040502984916664, -2.628477094662301, -0.6224891555535603, 0.46798541785504333, 0.32053234136656905, 49.58318305256893], [-0.6105476109027067, -1.4292306055674608, -2.776353099606278, -0.4849176894174128, -7.041315223939045, -1.3503103354444799, 0.7635893343915464, 0.25738696133267597, -5.443558245648799, -0.2898971174577937, 0.18291691559888623, 0.13393443027567797, 0.17462314126412634, 26.292411335045387]]",512,47.43374461523579,0.008076038370525044,16.960025294397145,21,172,54.43757180585773,0.008737395830360041,17.47372429223912,10,178,42.56110212174036,0.023169828349862254,16.98900503192236,17,10
0,1,100,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,169.73697924613953,"[[2.9232698543587614, 6.160550159032421, -6.995678889385833, 0.23060113188998485, 11.278695648405538, 5.215201061363672, -0.38532198751392766, -0.6333128014495523, 18.15043623634841, 4.555718513849278, 0.7599632998379936, -0.5593427403815322, -1.2190999752525018, 47.33986113480388], [-0.07040858416168246, -1.940748027338398, -0.8364933125127221, -1.2316608397357602, -2.7471233700116264, -1.3804354668394176, -0.6767431647394363, 0.30184428776882083, -2.853055400052255, -0.7417264294997915, -0.07033225176611967, -0.13992845361601033, -0.05825491821360416, 11.955186937349682], [-0.5043991330122651, -2.605769642900983, -1.4969403266723509, -2.8699065634354777, -7.075850674973861, -1.3068678480778366, 0.22134535859736154, 0.15153262085315405, -4.10840179537779, -0.4306998224762692, -0.0648409365431986, 0.267177316290431, 0.42587459154334667, 19.119744393681923], [-0.37251493287134385, 0.8548746557413104, -5.299759605878653, 5.532580805732823, 7.2223042431842535, -1.1422416320664726, -0.10499632874266863, -0.1530372091415576, -4.108904784451651, -2.6608024136347495, -0.6051203223548377, 0.5528329778148994, 0.31208103509493795, 50.18955860104493], [-0.6168661398171011, -1.5359984621226892, -3.168287753981539, -0.5193742673160059, -7.236429898996652, -1.4542921695469697, 0.6389952221743151, 0.257076202121407, -5.542589718366801, -0.34841557238954557, 0.20850397334042986, 0.2398797391623627, 0.16864709833554548, 26.961549902591845]]",512,47.83372731552281,0.0019804690062699953,17.283066290281134,9,172,54.745244244145404,0.0044986141550199255,17.74549858995566,8,178,42.703172977599394,0.013202834867579703,17.095677135950677,19,10
0,1,1000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,502.78000831604004,"[[2.958413256695167, 6.103511238207623, -6.997767974903887, 0.08011822425652634, 11.032537166509496, 5.17775083799273, -0.4135051927892926, -0.6279547551158724, 18.110905701829317, 4.454881287539717, 0.7781423009284613, -0.6266272387642333, -1.2263057801811115, 47.71351375693102], [-0.10007288471251206, -1.619413720240355, 0.3876660385547675, -0.7252569318092201, -2.7410685498951874, -1.5562659019826248, -0.44350442084988084, 0.2431444466079053, -2.7101930043172664, -0.5613599170873816, -0.21274324441755668, 0.14209649184004244, -0.061202736896607116, 11.191100151266538], [-0.45612361931740314, -2.6255073746850246, -1.377235497455011, -3.0355657222399226, -7.371767213497651, -1.3211929177486321, 0.2100924305995172, 0.1503219628545226, -4.136542216768797, -0.49940160289519375, -0.053921809829841086, 0.1638509706982891, 0.4167035760871667, 19.431267164832512], [-0.3372183814288174, 0.8240293611964057, -5.345393169971246, 5.390080131779762, 6.8301733674974745, -1.1458596195800526, -0.09757626998403614, -0.1633136579755914, -4.180008551709698, -2.777495149576208, -0.5820826629171303, 0.47985359801689587, 0.3108121148668025, 50.688053672887264], [-0.573327667868311, -1.548930261514151, -3.1173669212632467, -0.6925206810867474, -7.685421274771447, -1.4610319536575542, 0.6532458781268221, 0.25034127022234914, -5.582274073501323, -0.43706257050492237, 0.222920312839108, 0.14505417817305902, 0.16460276532554158, 27.394761719943855]]",512,48.13600916610107,1.3404694391520405e-10,17.390059779184224,0,172,54.9877520513163,0.003312996633895853,17.826507525665285,6,178,42.668364382314685,0.007392274053239296,16.433029655107738,10,10
0,1,10000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,395.88032698631287,"[[2.552787874094579, 6.652699701331693, -4.265791966265876, 2.0900735199856655, 14.512307427616284, 4.808289431435388, -0.24735954500332846, -0.7362297348932486, 17.371702631169846, 5.564456694567092, 0.5388763078562491, 0.19377528303002517, -1.1367875607395865, 39.39149658374371], [0.3536069090285581, -2.0127724120753996, 3.1929108779303466, -0.8245648893110351, -4.224237722518077, -1.3242367768808698, -0.20324037918194388, -0.4770454756827479, -3.2475630662824084, -0.7016726242707227, -0.45281335490342445, -0.18571760185878833, -0.011958415607471502, 10.526393989705], [-0.9472444024724693, -0.8356249688200722, 3.512425479361276, -1.0968991494509122, -5.389206769797578, -1.7553783489280788, 1.1631206088572439, -0.05083240419322488, -4.5066634645675565, 0.6755706832765737, -0.2101199200090099, 0.7651586029281154, 0.5288696242898797, 9.197780130351601], [-0.8346032512769208, 1.4625548184520798, -3.0072761747159342, 7.317566206758113, 9.741142537107674, -1.7244618723687504, 0.08756176756479231, -0.24762986152852545, -4.684850063891665, -1.9858003935881252, -0.6992251832726202, 1.2660311370717694, 0.3888952276424868, 42.94921273638412], [-1.076191797220384, 0.06724918080748576, 1.0859622681180383, 1.1906041947149297, -6.118129200212675, -1.9129394614191637, 1.5593090401316172, 0.06652252943132693, -5.950352709345128, 0.5741316226504448, 0.05381536152456289, 0.8048495990243071, 0.2950169232506076, 18.007807752069272]]",512,56.73866590116836,0.0,34.57352865728686,0,172,66.0746066645472,0.017572179719858527,37.579101875301674,7,178,53.87258601958439,0.000924499690281313,35.8379380165465,1,10
