,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,accuracy_train_modified,violations_train_prediction,violations_test_data,accuracy_test_corrected,accuracy_test_modified,violations_test_prediction,counter_examples_found,num_iterations
0,1,"[1, 2]",0,0.5,5,10,1885.8095135688782,"[[-0.7016291894101165, -0.5, -0.5, -0.2660308443569617, -0.5, 0.0, -6.487995433236591e-15, 0.0001155136068551598, -1.0833335353320295, -1.3478029427498446, 0.2897655136068552, -1.4325548451618897, -1.3467374244555856, -0.2735132284368739], [-0.9821818871170891, 0.0001205965962917304, -0.032978299771289764, -9.014035726445107e-14, -1.1741389636543835e-12, 0.00011614887116045245, -0.04036253805676634, -5.627121562962897, -1.518199103289251, 0.00571550649189494, -1.018191653750962, -79.8754606854758, -1.5182597402573186, -1.5181961165329143], [-0.40672075446169126, 3.8099705717128786e-06, 0.0001155136068551598, 6.354895988685894e-07, 1.5219493191449726e-11, 0.11464345711875566, 1.9720255155917612e-10, -1.6107182690463095, -2.0089327737490685, -2.1477473070056137, -1.9481502049173796, 0.5001155136068551, 1.5000088664476867, -1.7032133840916204], [-1.3467355486194812, -0.5115133281462889, -0.3927691579829935, -0.1745627567939599, -0.0001155136068551598, -0.0001155136068551598, -0.0001155136068551598, -0.4305384826210748, 0.5430149605785783, 0.00011551351692653786, -0.248575132069758, -0.1456684666952518, -1.1253575870686379, 4.376062009471672], [-1.2595544158888412, 1.7379271909566556e-13, 9.014035726445107e-14, 0.24748305615276467, -0.6572191764334497, 1.0594425839237036, -1.7511677308466231, -0.21178319312461844, 1.1675008914151137, 0.0, -0.28583060039745334, -0.36617868061335834, -0.5286479026584253, 0.04161796479630576]]",51,0.7697160883280757,0.8370497427101201,0,9,0.7672955974842768,0.8133333333333334,0,0,508
0,2,"[0, 1, 2]",0,2.0,5,10,2351.051215648651,"[[-0.16595787360152423, -1.4071005306598792e-10, -1.8520785501484048e-06, 6.570567199571496e-14, -0.5356979959623257, -4.024344821810258e-06, 1.3141134399142992e-13, 1.1797833098105737, -1.8340401881586672, -1.6253176886422103, 1.1687324188715866, -3.8301120149945986, -3.830182696404971, -2.1687332787828204], [-1.4717757626765464, -6.570567199571496e-14, 0.42001258629314, 0.0, 0.0, 2.034144452565565, 0.3558327922108535, -1.9965815944881828, -2.1043247755720045, 2.0000040275916895, -1.997108429617882, -3.9968844696399066, -1.9984480738992532, -3.2412979050283823], [-2.211790894885722e-08, -5.731831503210467e-07, 6.570567199571496e-14, 6.782066879000275e-14, -0.0009633119353345432, -2.211790894885722e-08, -0.000971448457931421, -1.9997453194772077, -1.9997996781084584, -1.9996240882557403, -2.000377180041237, 2.0001899422388916, 1.9178498391594754, -3.918014899416531], [-1.0209726306837055, -1.0197118245511043, -0.0024532047847902953, -0.0022937286842541573, -0.0025658418564426327, -0.09067362837541376, -0.0022390602713388288, -4.158874920408982e-06, 0.9749432301826133, 0.03183399904638042, -4.027591755083725e-06, -0.9601557471252654, -4.138521188149923e-06, 3.0999861125849364], [2.7960464971663006, 0.118107825110927, -2.8328932640691153, 1.8472169729572154, -1.3323085567433166, -0.8614655956165119, -5.850076983708577, -0.036412894061267125, 3.4394763419494225, 0.0, 0.13025495298893391, -0.24836277810583296, 0.6031283736073781, 0.3969761008868226]]",48,0.7570977917981072,0.8191126279863481,0,12,0.7924528301886793,0.8571428571428571,0,0,361
0,3,"[0, 1]",0,1.0,5,10,2075.129682779312,"[[-1.0003140817099156, -0.0003140924575280911, -3.318221833575637e-13, 4.645848424021652e-12, 2.5038488971600206e-11, -0.002887234811338432, 1.197108330937934e-11, 1.0010235413759967, -1.999442645739916, -0.9994115957857564, 1.0008390033195291, -2.0011683994549507, -1.0000877800601977, -1.0015484630272673], [-0.7490791618789521, -6.502734055393596e-11, -4.645848424021652e-12, -9.101675802196073e-10, -6.502734055393596e-11, -4.645848424021652e-12, -0.3680705725528235, -0.9421098416916214, -0.11374609676370008, 1.0181587463061832, -0.5198894174904672, -1.0009282590828752, -0.20133024485298992, -0.26907958442723273], [-1.783083023884915e-07, 6.502734055393596e-11, 1.783083023884915e-07, -2.4957245882540048e-06, -3.0643217296092665e-06, -1.783083023884915e-07, -2.5168404203713527e-06, -0.9999965358429118, -2.1565883759944176, -1.7237365199727803, -2.0042498821981827, 1.000005777990734, 1.0000046918256118, -2.0388670207921455], [-49.97314658889595, 0.16846612948120043, -15.44394279885748, -85.72173099327307, -6.502734055393596e-11, -51.01660836884307, 82.72173099327325, -11.01795304207798, 1.0003140806930642, 23.01860234749232, 2.0000000008497856, -7.728369578200368, -1.094694655595952, 83.79421684325828], [-0.0007867794709090377, -0.0003140925222235219, -0.0003140925222235219, -0.0003140925222235219, -0.006174231128257934, -0.0003140925222235219, -0.0016020624926723652, -0.0003140925222235219, 0.005707293249135326, -0.9953758603817385, -0.9995910801774073, -1.0013491305174511, -1.0042475647818971, 4.010696129368869]]",51,0.7665615141955836,0.8336192109777015,0,9,0.7358490566037735,0.78,0,0,318
0,4,"[0, 1, 2]",0,2.0,5,10,3387.161556482315,"[[-1.2602634496910955e-11, -2.6027486200814e-19, -2.6027486200814e-19, 0.027593605629223618, 1.9724063943581738, -2.6027486200814e-19, 7.156746115196356e-20, 2.6027486200814e-19, -3.9999999999873976, -3.9999999999873976, 1.2602664496910956e-11, -1.9999999999873974, -1.9999999999873974, -1.9999999999873974], [-0.0614317922569396, -7.156746115196356e-20, 0.0, -7.791281496480704e-20, -6.522210733912009e-20, 6.175595231561217e-20, 4.57333118652657e-20, -1.9385682077430604, -2.0, 2.0614317922569394, -1.3576, -1.9385682077430604, -3.5774000000002104, -2.0], [-2.836329139176738e-19, -7.156746115196356e-20, -7.791281496480704e-20, -7.156746115196356e-20, -7.156746115196356e-20, -7.156746115196356e-20, 0.0, -2.0, -2.0, -2.0, -1.9999999999944529, 2.0, 2.0, -4.0], [-1.8144978147620552, -2.6027486200814e-19, -0.19200036735959808, -3.3339688224531088, -1.6694, -0.8192, -2.691792724632794, 3.012192895161099, 2.000000000000212, 3.869481579776803, 2.0, -0.3088, -2.3730046617649743, 13.20266439097253], [-6.522210733912009e-20, -0.13115885576420794, 0.8326372971877405, 0.3846890202905858, 1.7300687395911327, 0.2128761878819921, -4.078157692315732, -0.3818243864094431, 3.030936379021195, -1.4756665665015964, -0.7952276678048334, -1.8984328476026402, -0.8474555893428917, -1.7401287806425492]]",41,0.7779527559055118,0.8316498316498316,0,19,0.7151898734177216,0.8129496402877698,0,0,500
0,5,"[1, 2]",0,2.0,5,10,4429.657098770142,"[[-0.7691598687931487, -5.597269264915293e-15, 0.0, 0.0, 0.0, -1.7063785129795805e-06, 0.0, 1.7691601303778772, -1.2308393600560907, -1.8539674070748937, 1.3996416173652274e-13, -2.0860232946929944, -1.2308396490906033, -1.0000002561891423], [-1.9347786173336938, 5.597269264915293e-15, 0.0, -0.6258044319950883, 0.0, 0.0, 0.0, -5.744570268707586e-09, 0.0, 1.3897843058426853, -0.06583272490703533, -2.0000000000001403, -1.7222343361718937, 5.597269264915293e-15], [-1.0000000045086423, 5.744570268707586e-09, 5.597269264915293e-15, 5.744579846754752e-09, 5.743226581599473e-09, 1.3996416173652274e-13, 5.744575865976851e-09, -2.000000005744565, -2.0000000000001403, -4.000000000000005, -0.27095535617568817, 2.0000000000001403, 0.5429745923452957, -1.5429746108138973], [-2.4546628416365355, -0.3426760489158429, -0.5418310162447829, 5.597269264915293e-15, 5.597269264915293e-15, -1.2876962320669215e-13, -1.9862888436398989, 0.0, 2.0546195456562186, 2.0010593719874095, 0.0, -0.27918409468189664, 0.0, 5.604642845119091], [-1.5554817600131212, -0.5860119241009817, -2.0461870061322074, -2.297759244856019e-08, 1.3679382054399052, 0.24071096886659932, -1.9538130777128206, 0.794918200718322, 4.000000101078577, 0.0, -0.5870002512046544, -2.864963373705034e-08, 1.9988746210680202, 0.14185796359163255]]",49,0.7716535433070866,0.8361774744027304,0,11,0.7531645569620253,0.8095238095238095,0,0,389
