,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,violations_train_prediction,violations_test_data,accuracy_test_corrected,violations_test_prediction,counter_examples_found
0,1,"[0, 1]",0,2,5,5,3431.0140748023987,"[[2.2423269127143756e-06, -1.0019629967214438, -1.5000098717214438, -5.387067618535623e-22, -0.08594288706761853, -2.2423269127143765e-06, 1.0048376518028697, 0.029306746721443965, -0.8692924263186305, -0.750009871721444, 2.2423269127143765e-06, -0.07813487172144397, -0.06250987172144397, -0.9999977576730873], [-2.2423269127143765e-06, 1.0000053870676184, -3.0, 5.811585055139508, -2.2423269127143765e-06, -1.9867589506370826, -2.0000022423269126, -2.000009871721444, -0.9643855249035818, 2.0, -0.06250987172144397, -2.000009871721444, -3.000009871721444, -8.811588199880212], [5.387067618535623e-22, 0.0, 0.0, 1.5853580237e-05, 1.9999977576730872, 0.0, -2.2423269127143756e-06, -3.000009871721444, -2.000009871721444, -5.000017501115975, -3.0000251305105063, 1.0000098717214438, 1.000052931952482, -4.00007641492725], [-1.9871232129200203, 2.2423269127143756e-06, 0.0, -5.387067618535624e-06, 0.0, 2.2423269127143756e-06, -6.642222386853563e-05, -4.038929956896438e-05, 1.340348433269098, 2.2423269127143756e-06, -9.871721443964377e-06, -9.871721443964377e-06, -1.0128843402601932, 3.000137237593098], [-2.2423269127143756e-06, -0.27932796466963933, -1.9999923706054688, 5.3870676185356235e-06, 5.387067618535623e-06, 1.8561234672868427, -1.9999946129323816, -9.871721443964377e-06, 2.9397707222022436, -0.34727829107037267, -9.871721443964377e-06, -9.871721443964377e-06, -0.20341477481936496, 0.6266129827207502]]",51,0.8154574132492114,0,9,0.8238993710691824,0,0
0,2,"[0, 1]",0,2,5,5,3206.9250485897064,"[[-0.09166324566940517, -1.951559760812676e-12, -1.6705266515358354e-11, -2.0972198390358356e-11, -1.9516097608126762e-12, -4.602825942997872e-07, -1.0304868702858355e-11, 1.091663332333039, -0.9083367697892262, -0.9083366267112359, 1.0000000000039055, -0.9083365258978464, -0.9083367243652894, -2.0000000866694907], [-0.9999999999714091, -1.1442162665600327e-11, -1.2106277315439012e-11, -1.1774219990519672e-11, -1.0304868702858355e-11, -1.9516097608126762e-12, -1.2493196916111113e-10, -4.090280965279536e-12, -3.905509760812676e-12, 1.0000000001998357, -1.9516097608126762e-12, -2.2505100371258114e-11, -3.905509760812676e-12, -2.3037822072059923e-10], [-1.9516097608126762e-12, -1.9516097608126762e-12, -1.9516097608126762e-12, -1.9516097608126762e-12, -0.822381013722225, -1.6872033334705379, -1.9516097608126762e-12, -3.905509760812676e-12, -1.0000000000039055, -1.0000000000039055, -3.905509760812676e-12, 2.03987054263575, 1.9601294573703059, -4.000000000006056], [-20.484809661466482, 11.473084927755064, 3.896966105719498e-12, 2.0000000000081344, 7.980993655093178e-12, 7.981043655093178e-12, 12.894621997614202, -2.0000000000079834, 2.40720205807794, 1.1877959760812676e-11, 2.0000000000039058, -2.0000000000039058, -0.44591365318937454, 20.484809661460634], [3.2726952947769403, -2.9004949757619904, -0.5399175753070243, -0.6557270232157304, 0.0, 0.0, -5.3029573607914795, -4.0853959839711845e-12, 2.2674601867698834, -0.8619351498628244, -3.905509760812676e-12, -3.905509760812676e-12, -1.951559760812676e-12, -1.951559760812676e-12]]",44,0.8028391167192429,0,16,0.7484276729559748,0,0
0,3,"[0, 1, 2]",0,1,5,5,3545.1772603988647,"[[0.019935637288291314, 0.03987127457658263, 0.09967818644145657, 0.05980691186487394, 0.019935637288291314, 0.1395494610180392, 0.11961382372974788, 1.802967849633482, 0.07974254915316525, -1.3312174625438735, -0.019935637288291314, -2.23101642906146, -2.3112818252555822, -2.682370562376038], [0.019935637288291314, 0.019935637288291314, 0.019935637288291314, 0.019935637288291314, 0.019935637288291314, 0.019935637288291314, 0.019935637288291314, -2.0891202311572004, 0.019935637288291314, -2.351153099832165, 0.019935637288291314, -2.3112818252555822, -2.11200555695097, -0.17942073559462182], [0.019935637288291314, 0.019935637288291314, 0.019935637288291314, 0.019935637288291314, 0.019935637288291314, 0.019935637288291314, 0.019935637288291314, -2.0891202311572004, 0.019935637288291314, -1.3312174625438735, 0.019935637288291314, 1.9506068927228126, 1.9278657176256122, -5.013588024919911], [-58.15181859779343, 0.019935637288291314, -73.98006436271172, -100.0, 39.01993563728829, -65.98006436271172, 78.01993563728828, 1.3312174625438733, 72.01993563728828, 38.01993563728829, 58.96054507900081, -37.0, 16.731911135908042, 81.77106056171755], [-0.019935637288291314, -0.019935637288291314, -0.019935637288291314, -16.168346209390986, -0.019935637288291314, -0.019935637288291314, -0.019935637288291314, 0.350392497728251, -0.019935637288291314, 0.0, 0.019935637288291314, 1.0, 0.5205404112705756, 17.345446172465852]]",50,0.6324921135646687,0,10,0.5849056603773585,0,0
0,4,"[1, 2]",0,2,5,5,3833.6868212223053,"[[-1.1040535914972076, 0.0, -0.43211047104886446, 2.000000000006636, 0.0, -5.863426824231159e-14, 2.1180133630386024e-13, 2.000000000000072, -0.8707888927497222, -2.0000000000066356, 0.0, -1.0445071480046875, -1.0194300580004454, -2.8959464085097126], [0.303531765753127, -0.14427888772136443, -1.9999999999626963, 2.0084512854753106e-12, 4.849677195493758e-07, -0.9020838033244076, 7.272297898290835e-07, -1.596374041049907, -1.0546475719274444, 0.9232032477201426, -5.863426824231159e-14, -0.8628620758473554, -0.8691888422570256, -1.2267362256728305], [-5.184436440149084e-11, -9.33361821000062e-14, 4.410128465933996e-10, 0.0, -2.1459553756767667e-10, -9.453279981923705e-14, -9.692603525769875e-14, -3.1990838239033694, -2.0000000000000764, -1.8070942810534851, -2.0, 0.9999999999480358, 1.0000000000178895, -2.000000000353683], [-45.9005333023728, -13.835363102947765, 0.32699170396632127, 1.217088288140062e-13, 35.277588014104, 1.687538997430238e-14, 51.891720198467326, -9.09026381089435e-14, -1.1966177192308487e-15, 1.0497861509695436, 5.704787263673995e-13, 0.0, -0.32699170396632127, 58.14166659764918], [-3.76072729159505, 1.794926578846273e-14, 1.8440608476348151e-13, 0.09495412349134093, 0.22000116884237708, 1.6562747297876936, -0.3782484802145482, 1.9430511956316059, 2.554268374286198, 9.547918011776346e-14, 0.0, 1.1750222081458561, 0.0029389388793326734, 3.768944412375109]]",54,0.6976377952755906,0,6,0.7088607594936709,0,0
0,5,"[1, 2]",0,2,5,5,3813.411596059799,"[[0.3964879590769482, 0.0, 0.0, 0.0, 0.0, -0.527457105037703, -0.30608808047462094, 0.8999705414247203, -0.8032172523475286, -1.99999999725299, -1.053836716127009e-09, -0.7884710592630266, -1.9663987125133173, -1.2964585021948416], [-1.598706827673573, -1.9999999983472065, -1.9999999985087262, 1.9999999457729136, 1.6931731493108293e-09, -1.6931724902326822e-09, -0.25219611892528704, 0.0, 0.0, 1.693172490232682e-09, 0.0, -1.6931731493108293e-09, -1.6931731493108293e-09, 4.480562916806003e-09], [1.8297504254375363, -6.252016797353713e-07, -0.726221568291035, -1.7166699415599607, -3.0304810479797123e-09, -0.47951116664524385, -1.747781164144209, -1.99999999725299, -1.9483955299225504, -2.0, 0.0, 0.0, 1.8709502395012954, -3.6625048504104223], [-1.1320562192914987, -0.3957049700046442, -0.9780928860540526, 1.1345965202416796e-09, 0.12020174170981959, -0.025747582282450117, 0.10628730457607535, -0.6320435784493226, 0.0, -0.29157626035625434, 0.0, 0.0, -0.17337810987439561, 3.5946600920954017], [8.292447998057138, -11.749905055476942, 17.30343534556178, 10.466182745549766, 10.62877742779237, 6.588406089791162, -53.44027543701563, 4.000097086840494, 6.902496461455733, 1.0153436918304242, 5.538358895569304e-09, 6.000001588514609, 1.6030025187241392e-06, 28.20916129289057]]",41,0.5338582677165354,0,19,0.6012658227848101,0,0
