,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,constraint_penalty_train,custom_metric_train_2,violations_train_prediction,violations_test_data,total_mse_test,constraint_penalty_test,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1.0,5,10,2785.726564884186,"[[2.2375192742110825, 2.9938935289388837, 5.722613129638116, 1.4998249014755514, 3.871367814550341, 0.43560916380039605, 1.1023225678788862, 2.9242164670675193, 2.2370999999999994, 4.12592742086931, 1.7232581622391865, 1.2010145440863804, 0.0075762520785366645, 61.00255716092966], [-0.12499765712262707, 1.29016337210556e-19, -1.29016337210556e-19, -0.09205474673110306, 0.0, 0.0, -0.10232256787888626, -0.036222990624775867, 0.03960391652841957, 4.8899956256758845e-18, 0.06521054841736262, -0.024710666025721667, -0.5762564855621798, 8.910195000000002], [9.845824367542618e-19, 0.837346674554186, 1.9646437081521284, -1.7261558869219373, -5.204326935359257e-18, -0.5876595748610339, -4.1848572376882346e-17, -0.8136733950755551, 0.573056459964373, -1.1259274208693104, -0.6861379708717502, -0.18702430495326194, 0.039993408010102934, 13.344684937588207], [4.6089892203184345e-18, -1.0, -2.2042936522938503, 0.6098427327885232, 4.946294260938145e-18, 2.9612950988368334e-17, -0.9999999999999999, -1.1806233614959878, -2.26529624762723, -2.0, -1.102330739784799, 6.439944791574219e-18, 0.6370120521342966, 64.2649224479822], [-0.6434216170884554, -2.8312402034930697, -5.482963185496394, -0.2914570006110342, -3.871367814550341, 0.15205041106063782, 2.208571909207002e-19, -0.8936967198712004, -0.584464128865562, -0.9999999999999996, 7.948393465115778e-17, -0.9892795731073968, -0.10832522666075636, 30.68154045349995]]",688,56.45717696641293,1.1562972801471004e-15,17.965877702098968,0,174,74.81947696364274,9.903189379656396e-16,39.14497428260307,0,0
0,2,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,2591.8308935165405,"[[0.6080096884880188, 0.5, -10.77224418889731, -6.8269186346197035, 2.1093613635504602, 0.9944547409295132, 0.5012902976648299, 1.2078078136668222, 1.3440964353201021, 2.0319410854442252, 0.5, 0.0061697606301108895, 1.5, 94.97193711310744], [3.64618854230398e-18, -1.477828589372398e-20, -3.64618854230398e-18, -2.2441548257734684e-17, -1.0018400905512448e-16, -3.4577048210331142e-19, -0.02184831824856187, 1.477828589372398e-20, 0.001229948326946334, 4.030803926919366e-18, 3.8384962346116725e-18, -5.708597820141647e-20, -0.06643174805140144, 8.277454497896374], [0.31798176020680835, 0.6200189212684108, 1.4283123414766674, -1.777441596777232, -1.1291048383524278, -0.49497187481812294, -0.3079076828608287, -0.19587039278179058, -0.38981200238916, -0.9126287863470786, -0.7568096391937471, 1.0557085977812504e-17, -0.49964583743980184, 11.304375858527624], [0.7381400631212459, -0.4303011255819977, 6.416737292128347, 6.398284180339979, 1.4998549502888157, 3.457704753088004e-19, -0.19338261480400126, -0.5019, 0.000130510807256166, -0.6175428099044026, -0.2431903608062529, -0.5001305108072562, -0.8780194891927438, 43.58140109338408], [-0.5117971684994462, -0.6897177956864131, -0.00013051080725601238, 2.2060760510569564, -2.480111475486848, -0.49948286611139026, 0.02184831824856193, -0.48818910263646964, -0.9556448920651446, -0.501769489192744, 0.5, 0.4939607501771453, -0.05590292531605292, 20.068731437084498]]",693,74.98376078948839,0.0,27.324827687932725,0,169,63.57738634311638,0.0,22.177894092138448,0,0
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1.0,5,10,2548.319005012512,"[[2.206655469621936, 3.0, -10.41711178046755, -4.2516871514361085, 0.7442827606696232, 1.2944202243903316, 0.9406919631605541, 1.3480175484863894, 2.0, 2.045759845877793, 1.0255800793337688, 1.1420808372075215e-18, 0.010174962592762515, 83.8945102505362], [-0.057907558289674796, 1.0741618372075213e-18, -1.0741618372075213e-18, -1.0741618372075213e-18, 1.0741618372075213e-18, -0.8204, 1.0751637038741882e-18, 1.0741618372075213e-18, 1.1784623702806385e-18, -0.2076887709679233, 1.0741618372075213e-18, -0.16349999999999978, 2.2094018903326815e-18, 8.788158188071176], [-0.455340223343255, 0.3997438861387933, 1.3541334260277935, -0.2443823348658945, -0.4540750114690777, -0.03641953274763754, 1.1163822876963328e-18, -1.1473125589942388, -1.0, 1.0087475038741882e-18, 0.36758206069550925, 0.17225910135195677, -0.15652661762096476, 12.695785245173331], [-0.2243076879890062, -2.6411991755272157, 8.721470106703073, 5.167783071937203, 0.7097922507994545, -0.437600691642694, -0.0688871340240582, -0.20070498949215054, -6.629550529300419e-05, -1.8380710749098697, -0.8993119757514645, -0.00875910135195694, -0.06677833219802103, 51.89455331645557], [1.0741618372075213e-18, -0.7585447106115776, 0.34150824773668353, -0.6717135856351998, -1.0, 1.0741618372075213e-18, -0.8718048291364959, 1.0741618372075213e-18, -0.999933704494707, 1.0741618372075213e-18, -0.4938501642778136, -8.857919162792479e-18, 0.21312998722622328, 20.930892999763742]]",687,66.04481978996091,1.010858063921205e-15,27.965264970553953,0,175,47.15174110202466,7.704947790898587e-16,11.377755992661218,0,0
0,4,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1.0,5,10,2845.022209882736,"[[2.518326676068918, 8.252158890456174, -9.563010072870592, -2.9334980738607803, 0.7819536135573446, 0.4820270303252483, 1.0034132760112315, 1.8087444444444443e-18, 1.003400324611619, 2.231046729462293, 1.5626165838793955, 0.6302566788645179, 1.8087444444444443e-18, 77.35039449224317], [-1.0576838197267642, 0.00040025432585609824, -0.00025939859491008407, 0.00924046857448913, 1.26e-19, 0.0004002543258561195, 7.254111111111109e-19, 1.4843844444444445e-17, 0.0022285102655503347, 0.0004002543258560926, 0.012834324484226623, 1.7579333333333334e-17, -0.030584069352539833, 9.910195000000002], [-4.734111111111109e-19, -2.609617573153492, 0.7413496891404507, -1.7108217576955438, -0.7622889623181526, -0.49200359340866645, 9.889658888888888e-17, -4.734111111111109e-19, 6.419658888888888e-17, -0.000400254325856293, -0.9616104108873771, -1.9640077777777777e-17, -0.2844169595633018, 13.035763273263768], [1.8087444444444443e-18, 0.23882463007132732, 7.040614671213806, 5.515499646403862, 1.36408073231093, -0.09700309026128304, 0.5633494126529772, -0.027673751772500157, -1.0056288348771694, -1.4528469984235632, -0.5659986606678453, -0.6302566788645179, 0.26853922714417405, 49.473370336176465], [-0.41305314956254385, -5.8817662016998655, -1.0, -0.880420283422027, -1.383745383550122, 0.10657939901884507, -1.5667626886642088, 0.02767375177250014, 7.254111111111109e-19, -0.7781997310387296, 0.08250341965456905, 1.8087444444444443e-18, 0.04646180177166759, 28.43417689831661]]",687,64.57427585749735,0.0,22.74194914990212,0,175,49.60993918226098,0.0,20.41898468652381,0,0
0,5,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,3457.1186611652374,"[[1.8862595426037478, 9.666259127858005, -7.392092812345553, -6.1566833560338985, 2.5488845848733135, 1.0000000000000004, 0.7805833426351879, 1.824878483656061, 0.49999999999999994, 1.4304500000000007, 1.0, 0.44945856212358526, 0.4330763604356501, 79.70058273501785], [-0.2748486310409417, 0.001547971940775131, 1.6579544430578907e-17, 3.846211097245573e-18, 4.3521696786644635e-18, 0.0015479719407751349, 1.421515561101771e-17, 0.0025445407417521836, 0.002544540741752186, 0.02686199743322663, -0.4634000765611944, 0.2379173901562344, 0.0015479719407751273, 8.910195000000003], [-0.35319367842834976, -2.2535264013164653, 0.0530941097577846, -1.0933281562166175, -2.932439128661562, -0.14606814137266158, 5.6462110972455725e-18, -0.8069015013094788, 0.5000000000000038, 0.1852363146358414, 0.006960713403263829, -0.2670175365324858, 0.05143745374814268, 17.854427783302654], [-0.08921273138791536, -0.34963220069644885, 7.8855077511506195, 5.250011512250516, 0.5000000000000018, -0.7700846645282489, -0.42366844752742056, -1.0051590929378071, -0.9934226222867777, -1.0268619974332274, -0.509505254145016, 0.5796415842526661, -0.4860617861245679, 46.71017059796788], [0.21624121912762617, -7.064648497785866, -0.9934149388050664, 2.0, -0.1164454562117533, -0.08384719409908988, -0.35691489510776736, -0.015362430150527188, -0.009121918454978235, -0.6156863146358413, -3.1537889027544273e-18, -1.0, 4.246211097245573e-18, 25.02852388371163]]",693,58.125181124159184,0.0,23.915973097802517,0,169,83.89621929432093,0.0,25.79954873501655,0,0
