,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,accuracy_train_modified,violations_train_prediction,violations_test_data,accuracy_test_corrected,accuracy_test_modified,violations_test_prediction,counter_examples_found,num_iteration
0,1,"[1, 2]","[0.05998763141620285, 0]",2,5,10,92.4684247970581,"[-97.79763967657746, -0.08288981885169115, -0.21405033569698914, -0.32164060979234893, -0.21948940698893993, 99.64710136615113, -0.17620591849111938, 0.42887866722332096, -0.46570647321825304, -0.07708243171188114, 97.35114247358669, -0.42889419921268074, -0.6425126589656109, -0.026191431635414153, -0.41763318427090834]",19,0.796875,0.7863013698630137,0,8,0.8125,0.7954545454545454,0,0,400
0,2,"[1, 2]","[0.05998763141620285, 0]",2,5,10,87.79008364677429,"[-0.19041685339811812, -0.08607891946575713, -2.0035195210681027, -0.1933460066404066, -0.028607435231474927, 2.208482969824544, -0.022944983758706645, -0.022074007960245026, -0.4714257342562398, 0.0, -0.018989974791373314, -0.046512774274658594, -0.040212007776443445, 0.17659054910036165, -0.022405838545854147]",21,0.8098958333333334,0.7988980716253443,0,6,0.7708333333333334,0.7555555555555555,0,0,500
0,3,"[1, 2]","[0.05998763141620285, 0]",2,5,10,136.57968163490295,"[-0.9904303184836649, 0.0, -0.09428320098504124, -0.0013129949796061827, -0.0015277920876701023, 2.24749550920482, 0.1740785939444045, 0.020191233596446485, -0.19733958054044562, -0.0010722111806608357, -0.0010272190391121259, -0.23734827327255897, 0.000213258104121927, 0.7957339747345701, -0.0023109062197435412]",21,0.8020833333333334,0.790633608815427,0,6,0.7916666666666666,0.7777777777777778,0,0,700
0,4,"[0, 1, 2]","[0.05998763141620285, 0]",2,5,10,132.7667167186737,"[-1.0246233017612234, 0.0988761395918742, -2.001396185184698, -0.6563418031503988, -0.03736828871991398, 2.382193992339144, 0.0, 0.13046426816508405, 0.0058948432867084715, 0.0009417012150516784, 0.0029474216433542358, 0.11336543398719309, 0.0020057204283025574, 0.7610668471895324, -0.0009417012150516784]",22,0.7890625,0.7762430939226519,0,5,0.8541666666666666,0.8461538461538461,0,0,600
0,5,"[0, 1]","[0.05998763141620285, 0]",2,5,10,262.01780557632446,"[-0.3279337224116448, -2.1484982075e-16, -0.6771429787484147, 3.037784354575e-14, 1.1254151183963294e-07, 1.6401389638365365, -3.513545073344185e-08, 1.511148734456605e-07, -3.51354554721406e-08, 1.1254148598136588e-07, 2.36334802825e-15, -0.013700865943412676, 0.0006264741546102628, 0.3273068720591301, 2.1484982075e-16]",25,0.8072916666666666,0.7938718662952646,0,2,0.7708333333333334,0.7659574468085106,0,0,700
