,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,accuracy_train_modified,violations_train_prediction,violations_test_data,accuracy_test_corrected,accuracy_test_modified,violations_test_prediction,counter_examples_found,num_iteration
0,1,"[0, 1]","[0.05998763141620285, 0]",1,5,10,106.4512619972229,"[-0.9902165467100204, -5.572053196417505e-09, 1.1144106389548556e-08, 0.0, 1.974064344075507e-09, 1.9902165365498552, 1.3118170736910516e-08, 0.035630708769607417, -0.1923544269097359, 0.041735099192756586, -0.03111462883492198, -0.012213541348604438, -0.11450000493405309, 0.8987641137203659, 0.014086595527214474]",24,0.8046875,0.7916666666666666,0,3,0.7916666666666666,0.7849462365591398,0,0,600
0,2,"[0, 1]","[0.05998763141620285, 0]",2,5,10,127.86690759658813,"[-0.7639006374049804, 0.0, -0.0007124647148789632, -3.7801634550741e-07, 0.0007479744475243037, 2.0229128972315196, 0.08967205515727777, -1.13404903652223e-06, -0.10911914545350682, 8.574193645852592e-05, 3.323219571618549e-05, -0.21844190183691492, -0.0007128427312244706, 0.6732752617972445, 8.599385441353801e-05]",21,0.8072916666666666,0.7961432506887053,0,6,0.78125,0.7666666666666667,0,0,600
0,3,"[1, 2]","[0.05998763141620285, 0]",2,5,10,156.56185269355774,"[-0.9966722777259569, 0.04545590532891491, -0.024356696005937543, -0.018344190955783792, 0.00014910481365487156, 2.1008993299820564, 0.00014910481365487156, 0.46887044208870315, -0.00033872061257353826, 0.00033872061257353826, 0.0032179093740769024, -0.0796715696566198, -0.07252323196565409, 0.520353146904667, 0.0006774412251470765]",23,0.8098958333333334,0.7977839335180056,0,4,0.78125,0.7717391304347826,0,0,500
0,4,"[1, 2]","[0.05998763141620285, 0]",2,5,10,89.26200699806213,"[-1.1579052722119967, 0.0, -1.3031768827609369e-05, -0.0012727226383650505, 0.0003532599074500665, 2.5812504105615335, -0.00045243816111504074, 0.5797931866053586, -0.1793009999036983, -0.018134844396779804, -0.0012655652735921452, -0.5606914887027902, -0.0009794130934053093, 0.5774055657917379, -0.0004724325788032307]",20,0.7942708333333334,0.782967032967033,0,7,0.8333333333333334,0.8202247191011236,0,0,700
0,5,"[0, 1]","[0.05998763141620285, 0]",2,5,10,97.92085433006287,"[-0.5230694701774706, -1.2058432703981057e-08, -2.0000000179462623, 0.0, -0.005113370098690066, 1.781184970757663, 0.15328888710083144, 0.0006739798350591993, 0.0, 1.2509381946174984e-08, 0.013380606266368077, -0.40834698911545303, 0.01837668502147582, 0.33158032373824387, 0.005768963647677515]",20,0.7994791666666666,0.7884615384615384,0,7,0.8229166666666666,0.8089887640449438,0,0,600
