,fold,loss_type,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,accuracy_train_modified,violations_train_prediction,violations_val_data,accuracy_val_corrected,accuracy_val_modified,violations_val_prediction,violations_test_data,accuracy_test_corrected,accuracy_test_modified,violations_test_prediction,counter_examples_found
0,1,sbr,PP,0,-,-,-,398.75839591026306,"[[-1.4583809673943935, 0.24257619735812652, -3.391042768102721, -0.13559604293625757, 0.41137934976738777, -9.104563552264661, 1.6080988817226987, 18.232453053129593, -9.68960681697802, -6.849033616640742, 14.828812393003874, -7.4394916820738555, -6.473536896642296, 1.9315511945442307], [-8.26049895218921, -0.1962517477079966, 1.3313079087228665, 0.9008591060489274, 1.1324398920996046, 2.3980524473416, -2.5054829464253077, -3.9768947124301173, 4.964854101621879, 8.499279571030888, -5.16884898362967, -6.192073111923146, -6.448870307688193, 6.0617024972632345], [-12.11995855372128, 9.133127310130737, 7.943380065175002, -12.737980118291057, -2.305365928653389, 2.3340202803316386, 0.9022040205387413, -6.863149857375128, -12.996581709756924, -11.46793239000599, -6.720481540522636, 24.649146824188776, 5.399419772794743, 1.87924146342813], [-8.394738137142054, -2.064016351500506, -1.1438617556222792, 3.516683691245359, -0.6904262136260932, -0.5457180508152997, 2.660538890721907, -5.698515879308212, 8.268091380624263, 7.879339393888001, -6.930323615763708, -7.460481289125573, -7.062237143908716, 8.60902326562662], [-5.587436113269901, 1.8784139869679641, -1.4137096922247225, -3.8594479532792003, 1.227574356464161, -0.905680389270355, -1.7050439024094837, -4.423105488799799, 6.151170921120127, 3.297158359631115, -4.834638646527089, -5.862517104929725, 2.924898022893742, 3.159093449528199]]",39,0.7747368421052632,0.8440366972477065,0,8,0.7610062893081762,0.8013245033112583,0,14,0.7547169811320755,0.8275862068965517,0,0
0,1,sbr,0,0,-,-,-,395.5813126564026,"[[-1.4583809673943935, 0.24257619735812652, -3.391042768102721, -0.13559604293625757, 0.41137934976738777, -9.104563552264661, 1.6080988817226987, 18.232453053129593, -9.68960681697802, -6.849033616640742, 14.828812393003874, -7.4394916820738555, -6.473536896642296, 1.9315511945442307], [-8.26049895218921, -0.1962517477079966, 1.3313079087228665, 0.9008591060489274, 1.1324398920996046, 2.3980524473416, -2.5054829464253077, -3.9768947124301173, 4.964854101621879, 8.499279571030888, -5.16884898362967, -6.192073111923146, -6.448870307688193, 6.0617024972632345], [-12.11995855372128, 9.133127310130737, 7.943380065175002, -12.737980118291057, -2.305365928653389, 2.3340202803316386, 0.9022040205387413, -6.863149857375128, -12.996581709756924, -11.46793239000599, -6.720481540522636, 24.649146824188776, 5.399419772794743, 1.87924146342813], [-8.394738137142054, -2.064016351500506, -1.1438617556222792, 3.516683691245359, -0.6904262136260932, -0.5457180508152997, 2.660538890721907, -5.698515879308212, 8.268091380624263, 7.879339393888001, -6.930323615763708, -7.460481289125573, -7.062237143908716, 8.60902326562662], [-5.587436113269901, 1.8784139869679641, -1.4137096922247225, -3.8594479532792003, 1.227574356464161, -0.905680389270355, -1.7050439024094837, -4.423105488799799, 6.151170921120127, 3.297158359631115, -4.834638646527089, -5.862517104929725, 2.924898022893742, 3.159093449528199]]",39,0.7726315789473684,0.841743119266055,6,8,0.7421383647798742,0.7814569536423841,3,14,0.7547169811320755,0.8275862068965517,0,10
0,1,sbr,1,0,-,-,-,396.79707074165344,"[[-1.4523942551517925, 0.24206814213546704, -3.3819902873529015, -0.1387855061896157, 0.41147611630244163, -9.106712052440301, 1.6071858327359758, 18.26894498411542, -9.683995423313766, -6.8697487066471155, 14.850431195825243, -7.457226921940998, -6.486709515491361, 1.9254773166846548], [-8.288193646490345, -0.19451033314737762, 1.3328385987128806, 0.9005748616732329, 1.134591507550293, 2.398989953504697, -2.5061723048789304, -4.001452193390459, 4.989386523950458, 8.52422948524058, -5.185588907596962, -6.218007669706419, -6.483721731601797, 6.0863870194083995], [-12.054481517658303, 9.14416368480723, 7.941778678713911, -12.745862531819595, -2.3053613249786746, 2.3330807861815033, 0.9046850059025372, -6.845543309276945, -12.82287065200024, -11.419268323538498, -6.693151794105561, 24.59513972336351, 5.326820120270562, 1.8040289281622939], [-8.612323893029368, -1.9833712471719556, -1.074881314046262, 3.3173748526135203, -0.6361328369929256, -0.5445442550757887, 2.5371871339640584, -6.034122343870441, 8.48438438663468, 8.080699642280953, -7.155473762985134, -8.049095644182032, -7.64056388839383, 9.701444987317611], [-5.603418062859444, 1.876879691567403, -1.4177035958855708, -3.858496734017386, 1.2271598895408222, -0.9022599503566848, -1.7073197840630752, -4.457554938702027, 6.1696786300990505, 3.315300786396804, -4.8624334629922, -5.890806687726846, 2.9438556110945213, 3.178245913197929]]",39,0.7747368421052632,0.8440366972477065,2,8,0.7610062893081762,0.8013245033112583,1,14,0.7547169811320755,0.8275862068965517,0,10
0,1,sbr,2,0,-,-,-,394.225857257843,"[[-1.442774575200007, 0.24047841849686732, -3.3801217162863137, -0.13891534792378019, 0.40966223513712297, -9.10785336184804, 1.5976581297953854, 18.353319035345688, -9.704808548060825, -6.910256431555683, 14.904695279469868, -7.492728643581885, -6.5178605078437934, 1.9248983342703023], [-8.325118356317539, -0.19230230478665938, 1.3327449276063263, 0.9004002792216782, 1.1350518204636604, 2.39868052366982, -2.505492771476366, -4.0338710575161345, 5.024118821075429, 8.558797937465869, -5.213979899122481, -6.254085809999329, -6.527467060131469, 6.120914073448012], [-11.951744510186732, 9.133042601008773, 7.937950344605675, -12.746696009086085, -2.3054488741418173, 2.336861726520145, 0.906967496332575, -6.817622334510382, -12.595557885224528, -11.328661134530373, -6.652787445385573, 24.502947044016935, 5.230196982166735, 1.7099937230442104], [-8.77758438433152, -1.9041468628043472, -0.9812302225384867, 3.107198846061162, -0.5756600717190591, -0.5326775688629208, 2.3844880185449284, -6.257882352336918, 8.654900644509466, 8.233663536994737, -7.281077102094814, -8.490348067553063, -8.078953765602662, 10.441753577413966], [-5.6199979391358745, 1.8753196854845726, -1.421613367575368, -3.856737275048742, 1.2258585742627768, -0.9006628752947328, -1.709860754921956, -4.490897342687597, 6.189979825643795, 3.335456261192449, -4.893454253103194, -5.92455302944998, 2.9648913762949136, 3.198883346019918]]",39,0.7747368421052632,0.8440366972477065,0,8,0.7735849056603774,0.8145695364238411,0,14,0.7547169811320755,0.8275862068965517,0,10
0,1,sbr,5,0,-,-,-,407.43619680404663,"[[-1.43104567900957, 0.22748479462902813, -3.3761161311829087, -0.1351130256439319, 0.41003207389090185, -9.110966077037789, 1.600083190864082, 18.420395152151144, -9.723508307739127, -6.961179395249678, 15.000197727669283, -7.5311538579386, -6.556799575265254, 1.9210800381934618], [-8.344773804930808, -0.19480028281192693, 1.3322912690170186, 0.9002176540461581, 1.1332910669930865, 2.405368055027116, -2.508733274826549, -4.057941919677026, 5.0457380149822635, 8.580180512578917, -5.232380995887489, -6.268794244765572, -6.554918583250605, 6.143529301202278], [-11.884173021605077, 9.142328198015585, 7.934153061056499, -12.75047705760007, -2.29911935069638, 2.335292579353385, 0.9050439201294835, -6.858676528598683, -12.281104449479107, -11.311800588502786, -6.655892271173082, 24.43421047951586, 5.155102348574832, 1.6347454769530725], [-8.90016094017448, -1.796713100265339, -0.8621776086209096, 2.864390400113861, -0.49912159541087386, -0.5266645905352764, 2.17113486361153, -6.459219996970684, 8.790060128699153, 8.347387023043899, -7.314053660933822, -9.062284427265274, -8.663381205941068, 11.461609573995487], [-5.644999442849914, 1.8738158118335424, -1.4214278315241837, -3.861790000016782, 1.2247941349921352, -0.9013099308176075, -1.7086984832694625, -4.537652710110437, 6.217069810247968, 3.3627101440780622, -4.936289574595195, -5.9689793987351925, 2.991843593235932, 3.226156676593246]]",39,0.7726315789473684,0.841743119266055,0,8,0.7735849056603774,0.8145695364238411,0,14,0.7610062893081762,0.8344827586206897,0,10
0,1,sbr,10,0,-,-,-,387.24413681030273,"[[-1.4681259493749865, 0.24460143682201335, -3.3934740039892484, -0.1267780144953047, 0.409190228151381, -9.116485167151607, 1.5952832169377658, 18.451248705199898, -9.781014765583132, -7.005699322650045, 15.080455817356999, -7.564817720866109, -6.60022685757683, 1.9519798152594858], [-8.363872113911519, -0.19685828225155408, 1.3305936925957325, 0.90056651158419, 1.132005871134044, 2.3943176046559604, -2.502081006675334, -4.0774423260441965, 5.069117449164926, 8.60345954739031, -5.2541567659876725, -6.287930017180162, -6.581980789815642, 6.165293910368489], [-11.849492936437606, 9.118701545278999, 7.941685488406396, -12.742657126291052, -2.3035308826667853, 2.3394323671912542, 0.9108938580069472, -6.879165762027162, -12.16211086903913, -11.293312787535866, -6.68092263517357, 24.419322154045553, 5.1320269719052725, 1.6140015122230065], [-8.752214431573261, -1.7510754304318277, -0.8045708426293229, 2.7596931743688695, -0.46652420604070477, -0.521098406648328, 2.071290704958582, -6.627934629919639, 8.650032924451613, 8.197437044006506, -7.408862702786445, -8.987424438090079, -8.591490358070178, 12.015970549026575], [-5.660078301399358, 1.8791843062774396, -1.4152637745226835, -3.853406538691488, 1.2296900580244574, -0.8991956270194382, -1.7023645165583083, -4.549781617428025, 6.217321406296893, 3.3633339880260946, -4.94790246942552, -5.95839165919614, 2.991028057579674, 3.224693510040046]]",39,0.7747368421052632,0.8440366972477065,0,8,0.7672955974842768,0.8079470198675497,0,14,0.7610062893081762,0.8344827586206897,0,10
0,1,sbr,50,0,-,-,-,407.2857401371002,"[[-1.4914195302837276, 0.2401369423911447, -3.386854776588812, -0.12623756277025497, 0.4085583726487325, -9.113496845793524, 1.5948482277514622, 18.440873673937304, -9.69034023998036, -7.005311498180257, 14.925333639790436, -7.553827750177548, -6.580296440253577, 1.9769187866626843], [-8.457086961666173, -0.1962498040870643, 1.3302979688809402, 0.8997408297852035, 1.1309935428173905, 2.395362057767575, -2.5019248974153236, -4.1576223055369805, 5.162074669948386, 8.696181221775278, -5.400592256113454, -6.362325308076984, -6.6460864586401955, 6.258347906359052], [-11.824429061970376, 9.120089856069775, 7.938514981763753, -12.740024180016913, -2.30365541636848, 2.3364390315453383, 0.9108007512458295, -6.94372187232776, -11.93083506462084, -11.317865138811001, -6.726695409340701, 24.404182081693527, 5.108457572378026, 1.5896036508185645], [-8.636964439616792, -1.7161887770399982, -0.7584504264041838, 2.674486815368949, -0.4403563940354485, -0.5151534318156831, 1.9854650020843845, -7.20092537263067, 8.545659137469327, 8.084532171691063, -7.9047784488988695, -9.053929099856484, -8.63487142585982, 13.530676962003504], [-5.667491176447398, 1.8783690964743402, -1.4173928973982286, -3.8494492271651524, 1.2288726908874654, -0.898302999534617, -1.704911244987806, -4.572296887323684, 6.226977661832598, 3.373030603966282, -5.003812476617057, -5.925565109045139, 3.0013458285954377, 3.2346890043107996]]",39,0.7726315789473684,0.841743119266055,0,8,0.7672955974842768,0.8079470198675497,0,14,0.7610062893081762,0.8344827586206897,0,10
0,1,sbr,100,0,-,-,-,431.51429557800293,"[[-1.5207600989995615, 0.23994398181907883, -3.383938777719124, -0.12990275200201148, 0.4089882324185063, -9.115087384734792, 1.594015760913865, 18.451959708468276, -9.690351867570355, -7.021373123433997, 14.885194361230385, -7.563993804749806, -6.588815662116669, 2.0073121240622185], [-8.506869293763756, -0.19592671303596862, 1.331279741954752, 0.9000985524600557, 1.1318680204412652, 2.3970870493233662, -2.5026791789739504, -4.198946781687601, 5.210226901649212, 8.744551469499573, -5.472972815278896, -6.403793915104624, -6.685821573478256, 6.306835365942445], [-11.871385205976582, 9.125375224250813, 7.9396987322723485, -12.745415420180066, -2.3040185944301053, 2.3384726970463343, 0.911304926847674, -6.98713836069618, -11.951230664065347, -11.388889144447319, -6.774774571391816, 24.45336545023742, 5.150418322543295, 1.6313256338669346], [-8.5826401986619, -1.7192157225500775, -0.7581983023387409, 2.6853599383045688, -0.44068612292458925, -0.5154664041210753, 1.9808473584706523, -7.489790055116537, 8.494974710618408, 8.03438231322447, -8.14499371080835, -9.054391412607323, -8.601904653662974, 14.179252507601392], [-5.640879615795403, 1.8778564421927766, -1.417311824062036, -3.8532567913801055, 1.2288296031769268, -0.8998406589362917, -1.7051411462871378, -4.5543869659676375, 6.202201640167731, 3.348050535851831, -4.955986638219646, -5.849725611348342, 2.976350155353017, 3.209987841783994]]",39,0.7726315789473684,0.841743119266055,0,8,0.7672955974842768,0.8079470198675497,0,14,0.7610062893081762,0.8344827586206897,0,10
0,1,sl,PP,0,-,-,-,409.3541660308838,"[[-1.4583809673943935, 0.24257619735812652, -3.391042768102721, -0.13559604293625757, 0.41137934976738777, -9.104563552264661, 1.6080988817226987, 18.232453053129593, -9.68960681697802, -6.849033616640742, 14.828812393003874, -7.4394916820738555, -6.473536896642296, 1.9315511945442307], [-8.26049895218921, -0.1962517477079966, 1.3313079087228665, 0.9008591060489274, 1.1324398920996046, 2.3980524473416, -2.5054829464253077, -3.9768947124301173, 4.964854101621879, 8.499279571030888, -5.16884898362967, -6.192073111923146, -6.448870307688193, 6.0617024972632345], [-12.11995855372128, 9.133127310130737, 7.943380065175002, -12.737980118291057, -2.305365928653389, 2.3340202803316386, 0.9022040205387413, -6.863149857375128, -12.996581709756924, -11.46793239000599, -6.720481540522636, 24.649146824188776, 5.399419772794743, 1.87924146342813], [-8.394738137142054, -2.064016351500506, -1.1438617556222792, 3.516683691245359, -0.6904262136260932, -0.5457180508152997, 2.660538890721907, -5.698515879308212, 8.268091380624263, 7.879339393888001, -6.930323615763708, -7.460481289125573, -7.062237143908716, 8.60902326562662], [-5.587436113269901, 1.8784139869679641, -1.4137096922247225, -3.8594479532792003, 1.227574356464161, -0.905680389270355, -1.7050439024094837, -4.423105488799799, 6.151170921120127, 3.297158359631115, -4.834638646527089, -5.862517104929725, 2.924898022893742, 3.159093449528199]]",39,0.7747368421052632,0.8440366972477065,0,8,0.7610062893081762,0.8013245033112583,0,14,0.7547169811320755,0.8275862068965517,0,0
0,1,sl,0,0,-,-,-,395.2352571487427,"[[-1.4583809673943935, 0.24257619735812652, -3.391042768102721, -0.13559604293625757, 0.41137934976738777, -9.104563552264661, 1.6080988817226987, 18.232453053129593, -9.68960681697802, -6.849033616640742, 14.828812393003874, -7.4394916820738555, -6.473536896642296, 1.9315511945442307], [-8.26049895218921, -0.1962517477079966, 1.3313079087228665, 0.9008591060489274, 1.1324398920996046, 2.3980524473416, -2.5054829464253077, -3.9768947124301173, 4.964854101621879, 8.499279571030888, -5.16884898362967, -6.192073111923146, -6.448870307688193, 6.0617024972632345], [-12.11995855372128, 9.133127310130737, 7.943380065175002, -12.737980118291057, -2.305365928653389, 2.3340202803316386, 0.9022040205387413, -6.863149857375128, -12.996581709756924, -11.46793239000599, -6.720481540522636, 24.649146824188776, 5.399419772794743, 1.87924146342813], [-8.394738137142054, -2.064016351500506, -1.1438617556222792, 3.516683691245359, -0.6904262136260932, -0.5457180508152997, 2.660538890721907, -5.698515879308212, 8.268091380624263, 7.879339393888001, -6.930323615763708, -7.460481289125573, -7.062237143908716, 8.60902326562662], [-5.587436113269901, 1.8784139869679641, -1.4137096922247225, -3.8594479532792003, 1.227574356464161, -0.905680389270355, -1.7050439024094837, -4.423105488799799, 6.151170921120127, 3.297158359631115, -4.834638646527089, -5.862517104929725, 2.924898022893742, 3.159093449528199]]",39,0.7726315789473684,0.841743119266055,6,8,0.7421383647798742,0.7814569536423841,3,14,0.7547169811320755,0.8275862068965517,0,10
