,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,violations_train_prediction,violations_test_data,accuracy_test_corrected,violations_test_prediction,counter_examples_found
0,1,"[0, 1, 2]",0,0.5,5,10,4009.4302639961243,"[[-1.4490894013887883, 1.5806554630532467e-13, 8.813209331576138e-13, 0.5124282833195167, 6.34752109930677e-10, 0.0, 6.347652820595357e-10, 1.4607236349836075, -1.6332482435133975, -0.989611676129706, 0.3992534664058558, -1.351359195215312, -1.0240257973660634, -0.9233159845907618], [-2.69138913158918, 0.20113859164599987, 1.3172128858777056e-14, -0.49999999988171695, 0.5168266145149625, 1.2688284402308772, 0.4111174546759536, -1.3611018666851622, -0.7905809663474634, 0.7934780297569198, -0.500000000634752, -0.6097708322025049, -1.5000001450845808, -0.49999999923555905], [-9.929502284627826, 2.999998751069277, 1.566752740639436, 0.6638373193995801, 11.334108884061648, 8.370008660767436, -2.36469607719877, -1.5578830208370522, -5.000000107267399, -3.085736680421158, -1.5000000006344492, 0.5000000046537507, 1.1427116180197183, -16.64791569398303], [6.491452586610851, -78.07456407819042, -3.0293160134093895e-13, -3.0293160134093895e-13, 0.4999998203836421, -3.0293160134093895e-13, 4.311229001686473e-08, -3.4892460394894352e-12, 58.78533567574069, 6.001571789902984, -5.226028915322893e-09, -5.3407354677945605e-09, -5.283382191558726e-09, 71.57982687356869], [-7.49333425705491, 0.9144377425145357, 0.3202026358086983, 2.303427027630192, 4.257942208024142, 1.2288836023254943, -1.8439386784667242, 0.3799436139139104, 4.000001713227155, 1.9360093826578177, -0.500000000634752, 0.3798653706384523, 0.9999999028821691, 1.0]]",46,0.750788643533123,0,14,0.6918238993710691,0,0
0,2,"[0, 1]",0,0.5,5,10,4383.286647796631,"[[-0.8042466445930347, -6.143318179587312e-05, -5.132246888653172e-06, -6.600966929711083e-06, -5.132246888653172e-06, -0.004303579810037278, -5.132246888653172e-06, 1.1891103184952827, -0.19465182702402667, -0.1949140528449939, 0.5000050841232893, -0.1947876873701435, -0.19370160695913108, -0.8848688061491367], [-1.2216281410459406, -0.9996819657142565, -1.4997233754598585, 30.018614759650124, -1.5029057929723932, -1.4997024869970523, -2.0027022648910964, -68.28990834570943, -8.081033319614985, 3.009087965475363, -0.5000050841232893, -10.860932870756125, -9.538924581489749, -83.00908796547535], [0.11283007640425372, 0.0, 1.0071419201366093e-07, 0.0, -0.5216441227125574, 0.0, -0.02646686675599611, -0.8950809901446352, -1.362863372587603, -0.7429352303247141, -1.0000042215791118, 1.0910173983887246, 0.6749212918177585, -1.878768871791922], [-0.26841032186662295, -0.47054972825946834, 0.06524027849622095, -0.6496770401310104, -0.6563530000698536, 0.0, -0.34071731609271044, -0.09579945331785146, 0.3959501111269186, 0.0, -9.151347699458984e-07, -9.151347699458984e-07, -5.0288503766342115e-06, 2.3341360856576947], [-3.1698060258134393, -0.7989361006867736, 0.0, 0.1992611362620444, 0.3238171884374908, 0.33668113952831735, -0.32381411270718885, -5.0288503766342115e-06, 2.676123102374941, 0.499998226788046, -5.132246888653172e-06, -1.2156601124772705e-06, 0.4999990893322233, 2.669816230567311]]",49,0.722397476340694,0,11,0.7421383647798742,0,0
0,3,"[0, 1]",0,2.0,5,10,7800.322015762329,"[[-0.7145772416319601, 0.0, 0.0, -0.018732029497768216, 5.402893403459437e-05, -1.0193831370474093, -0.7629386229259091, 2.0185228498711902, -1.0371057824317438, -2.2823451030148485, 2.0185475862721036, -0.977739303195567, -1.6670626561574995, -3.3031119641758337], [-3.021113593273505, 0.0, 0.0, 1.9996744462251794, 0.0, 0.0, -0.678843337201914, -0.01949119491547849, -0.01970869082222985, 2.001347927753143, -1.0194911949154783, -1.3108284840633109, -0.0013479277531433568, -0.9626217378327577], [0.6181085219468628, -0.01949119491547849, 5.402893403459437e-05, -0.019599252783547683, -1.0194911949154786, -0.019653281717582276, -0.019545223849513085, -0.9921955779541256, -2.0194911949154783, -1.333391811117542, -1.3629977134415905, 1.0507153434775716, 1.034754163345862, -2.703175891662654], [-2.0059040868267095, -6.763349865945671, 55.98058881016251, -1.0194205649335635, -48.0194206262117, -15.816655229853652, -0.01949113282413709, -0.02045953995976671, 4.373569866782941, 5.391913339189027, -0.021427885004054927, -1.7811349553110418, -0.01949119491547849, 62.50787376641875], [-2.8874722444786185, -0.859331730535142, -1.4999950244147455, 0.35622629306243314, 1.1152464212630382, 0.8301857273211677, 0.01679533940919178, -0.01949119491547849, 4.0012938988191085, 0.28234204406289437, -0.01949119491547849, 1.1871909562416587, 1.1319393477649593, 2.6438456396395016]]",50,0.7381703470031545,0,10,0.7735849056603774,0,0
0,4,"[1, 2]",0,2.0,5,10,5873.715183258057,"[[3.2807677861634005e-06, -5.2893999948563126e-09, -5.28991950394572e-09, -5.289746334249251e-09, -2.2710443641006757e-12, -5.289573164552781e-09, -1.805045228038449e-05, 1.999989438477077, -2.000004010790916, -2.0000005152952123, 5.291117877980503e-09, -2.0000178810106113, -2.000003843585139, -1.9999977311900745], [-0.5530192553468332, 2.024624215508905e-08, -2.00039119171202, -1.2901412546886171e-15, 5.2893974145738036e-09, 1.0275012328078884e-08, -0.07577272179166968, -0.942503115527552, -0.45740701811870876, 0.883745725706176, -1.3499162978958572, -0.7012540628031062, -2.000000000303786, -1.000972145120693], [-1.986202613949091, 0.2635256675029493, -8.287618915256065e-06, 1.2901412546886171e-15, 7.332027773114175e-11, 2.0000000000252443, 1.365748935864391, -4.140859681410015, -5.4071168238649525, -4.946185241229954, -2.0000000451741466, 2.5542034481848908, 5.2893999948563126e-09, -4.19727516249968], [16.192393020804836, -7.0169606966331495, 0.012998364633770304, -5.8423174192492974e-09, -5.5658587070528046e-09, -6.118776131445787e-09, -25.423757329579207, -3.037850813512315e-10, 3.8437300858210137, 3.0536354034706488, -2.2710443641006757e-12, -5.802437935477229e-10, -5.2893999948563126e-09, 16.247885104219254], [-3.794747959272657, -1.276206160854617, 4.491283295244496, -1.419024364019176, -2.454020730922617, 0.9077026003790623, 0.7373824087841141, 1.462872131057549, 3.7022032134484797, 2.79167581177018, 1.4541618079418837, -1.0937883041415601, 1.7421282722131581, 2.6255233045092448]]",52,0.7181102362204724,0,8,0.7341772151898734,0,0
0,5,"[0, 1]",0,1.0,5,10,8091.474472045898,"[[-6.618116789989258, -0.9465329902764804, -1.1480038241801063, 21.42892387904307, 0.0, -1.0847849701838584e-17, 2.243533528473436, 1.7355629281589906, -2.5021610034678763, -2.7723058703101673, 2.0, -1.7812352778832892, -1.0, -22.773964163231213], [-2.0, 0.03590673100256459, 0.0, -1.0, -1.3166786680994882e-19, -1.3166786680994882e-19, -1.0365004814520689e-17, -1.0, -0.013522716797198343, 2.0, -1.0, -0.9971476955437738, -1.0, -0.032958643923150295], [-0.9134299217594377, 1.585126859941709e-17, 0.23259309667358075, 1.0847849701838584e-17, 2.0854687347856036e-17, 1.0847849850978146e-17, 1.0, -2.1233119179863555, -2.0, -2.0, -1.0, 9.085126822676709e-17, 1.8387214443582525, -2.1529704161926064], [-1.0001096157482863, -1.6274140854614719e-18, -2.0089778777117325e-05, -2.0700793895662867e-18, -1.0847850104999214e-17, -0.00012686873764520501, -1.9054856429725444e-05, -1.0847849850978146e-17, 0.00015491865765407292, -1.6305415961066184e-17, -1.90341990161102e-17, -1.3576632906022165e-17, -3.8602556235948236e-06, 2.0001840886169586], [-1.5743008478835536, -2.6953194379245393, 1.4567389123778753, 2.6184185535455384, 0.7150749244162747, -6.957499363591843e-20, -0.465837776437706, -1.0, 3.2143334209403003, 1.0, -0.8524697011188058, -1.0847849850978146e-17, 0.9472328249316655, 1.0831480510453988]]",43,0.7889763779527559,0,17,0.759493670886076,0,0
