,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,accuracy_train_modified,violations_train_prediction,violations_test_data,accuracy_test_corrected,accuracy_train_modified,violations_test_prediction,counter_examples_found,num_iterations
0,1,"[1, 2]",0,0.5,5,10,1955.440161705017,"[[7.842148420705476e-12, 0.0, 0.0, 0.4628138453545111, 1.0948820630188247e-10, -1.1213828821758487, 1.6646981246326378, 0.061436807413414264, -14.294551868661003, -3.2954981926541227, 0.5325516604946732, -56.144551868661026, -2.624168018062554, -2.721500438012569], [-0.36628233944821664, -0.4528575430427224, 2.691926466097671e-15, 0.0, 0.0, 1.0933530480046348e-10, 0.0, -1.2506641128469802, -1.1844801418650626, 1.0947191952006718e-10, -0.8752127008281129, -1.203355020648255, -1.205107167783268, 0.0], [-0.5000000082032666, 7.915024860686158e-09, 1.4242088558319497e-09, 0.5000000000078463, 1.1125987474435012e-10, 1.0947191952006718e-10, 1.0954246413778644e-10, -2.4999999927215417, -2.4999999988094057, -2.2899366314297027, -1.4999999923228178, 1.5000000019043114, 1.5000000001860831, -3.000000003539185], [-0.10133404560735218, -0.9911814903084263, 0.0, -6.440699916454527, -6.217587783519107e-12, 0.03180533314084977, -0.16087275671502219, -0.4599703877228732, 1.0947191952006718e-10, -0.03248225752519855, -0.01042115660512848, -0.19335943838899297, -1.2450993293725787, 3.4538850414603814], [-0.6856710075952227, -4.855145330067511e-06, -0.5946312377916757, -0.3397609665783755, -1.0947191952006718e-10, -4.85514533006919e-06, -0.4986776900879889, -1.0947191952006718e-10, 1.2606032479546643, -1.0947617251213287e-10, -1.0947191952006718e-10, -1.0947191952006718e-10, -7.842148420705476e-12, 2.118750414281112]]",54,0.7113564668769716,0.7775862068965518,0,7,0.7169811320754716,0.75,0,0,500
0,2,"[0, 1, 2]",0,2.0,5,10,3219.4246191978455,"[[-1.5454976151631777e-05, -1.5454976151631777e-05, -1.5454976151631777e-05, -1.5454976151631777e-05, -1.5454976151631777e-05, -1.5454976151631777e-05, -1.5454976151631777e-05, 1.5454976151631777e-05, -1.9999696961356566, -2.0001433882877437, 0.00014338828774366032, -1.9999741119680072, -2.0001433882877437, -1.999939808163768], [-0.35700052409685007, -1.2848740962740118e-06, 0.0, -1.2848740962740118e-06, 0.0, -1.2848740962740118e-06, -1.2848740962740118e-06, -1.544388718768017, -1.7623415023941928, 0.0, -1.031021559249103, -1.6967171572366957, -1.6839237941357648, -1.642997929104129], [0.0, -0.10075968863118001, -1.5454976151631777e-05, -0.6890099417186157, -1.2848740962740118e-06, -0.009937497361914073, -2.962507820698954e-05, -1.7494030603878838, -2.0000012848740965, -2.096322235638092, -1.2508145918354137, 1.952518324843177, 2.1585471000123126, -4.109100686828996], [-0.03860523546337375, -1.2848740962740118e-06, -1.7262572939108594, 0.0003683449586244539, -0.48372692277379736, -1.2848740962740118e-06, 0.0003683449586244539, -1.5454976151631777e-05, 1.5454976151631777e-05, 0.0, -0.00014338828774366032, -1.5454976151631777e-05, -0.9282783527007553, 3.1770354976970085], [-0.042765613960517784, 0.412009263463638, -6.811140676082168, -1.9998733515625042, -1.1360635305783948, -0.3412045682244371, -0.6862911304708632, -1.5454976151631777e-05, 3.9997428485027195, 0.0, -0.702152404029604, 1.530317305854637, 1.3472418373868114, -0.00014338828774366032]]",51,0.7539432176656151,0.8198970840480274,0,10,0.7484276729559748,0.7986577181208053,0,0,400
0,3,"[1, 2]",0,1.0,5,10,2590.9814121723175,"[[-0.005510977071899423, -0.009000944007149127, -0.35570792341162255, -0.005510977071899423, -0.006134370018609796, -0.009000945556029642, -0.005625570316388755, 0.005510977071899423, -1.912736210908293, -1.9487818493154025, 2.023328748651959, -1.8242995708767789, -1.8929967777859718, -2.011289944278214], [-0.5866199332681774, 0.331538115000318, 4.340168432977567e-10, -1.0014501699840863, 4.340168432977567e-10, 5.673219900689186e-09, 5.673219900689186e-09, -0.9474018720954644, -1.511994515424436, 1.008627447524986, -1.2539695031919855, -2.056051965910836, -1.8039045144179886, -0.7535456415026011], [0.0, 0.024009956866971043, 0.04553957139167574, -0.36871725794575466, 0.0, 0.0, 0.0, -2.005499461304636, -3.307689423946313, -2.278085510488572, -2.5103145900071895, 2.017753560218576, 0.033342262511449824, -2.203776143703796], [-1.5096997513420878, -1.2469736179506497e-05, -1.2469736179506497e-05, -1.2469736179506497e-05, -9.592081193774084e-07, -1.2469736179506497e-05, -9.592081193774084e-07, -0.008627447555986994, 0.0165646204318723, 0.5097138818591738, -0.6660681029396881, -0.7132259159641106, -0.008627447555986994, 2.9063004627494453], [-1.026959488658537, -1.4616728066180087, -1.1626325641424342, 0.7045665728435092, 1.2943040468422555, 0.5818167743951921, -3.809662877661673, -0.15712832461103585, 3.788183795326741, -0.5393124802818234, -1.0789010053318993, -0.25179924895765227, 0.7509608416448492, 0.7056410980010819]]",42,0.7602523659305994,0.8141891891891891,0,19,0.7421383647798742,0.8428571428571429,0,0,600
0,4,"[1, 2]",0,2.0,5,10,2696.8881776332855,"[[0.0, -1.807545715695743e-06, -0.08293937566561682, 0.0, 0.0, -0.019284553698757208, -1.807545715695743e-06, 2.0000018075457158, -2.9631276541932983, -2.9657805401679926, 0.032635842882289476, -2.1570938613291144, -2.0000198948771284, -2.032639457973721], [-1.878133564162944, 0.0, -1.627978569697829e-05, -0.80469987679088, -1.627978569697829e-05, 0.0, 0.0, -3.029921972814747, -1.0995438948846812, 1.8781229911764308, -1.2962712384534905, -1.863410826680326, -2.000180992134692, 8.872387106734736e-06], [-1.1707594791057323, 1.933488256888261, 0.34123246920547334, 0.0002732309493395044, -1.9850348301781746, 0.012348377669706524, 1.807545715695743e-06, -0.00018279968040787567, -2.7406614655221953, -4.244391113633483, -1.8091089282981927, 1.984786427261175, 1.989487712836978e-05, -3.0883525628971977], [-0.6681722233912483, -0.1438653724716729, -1.807545715695743e-06, -0.6036221781252146, -0.41420926861925944, -0.07117842835267116, -2.041503324395294, -0.012255504570450163, 0.31301429021391103, 0.012255504570450163, -0.27987654061254424, -1.1783571771520156, -0.012257312116165858, 5.001557224268034], [-1.6250348060273452, -1.8087331412619534e-05, -1.0121250495179979, 0.0, 0.0, 0.0, 0.0, -1.989487712836978e-05, 4.106455810345501, -0.008960687337922225, -0.17304712528402097, -1.989487712836978e-05, 0.0, 2.8192273527986713]]",51,0.7590551181102362,0.8253424657534246,0,10,0.740506329113924,0.7905405405405406,0,0,500
0,5,"[0, 1, 2]",0,2.0,5,10,5356.057747125626,"[[-1.6697046590584792e-18, -3.0358175573239146e-16, -1.7158765650449581e-18, 8.622436567306515e-18, -1.6927906120517187e-18, -1.7158765650449581e-18, -1.6927906120517187e-18, 2.0, -1.9999999999999998, -1.9999999999999998, 2.0, -1.9999999999999998, -1.9999999999999998, -4.0], [-1.6927906120517187e-18, -1.7158765650449581e-18, -4.1815391814386357e-16, -6.583406093178384e-18, -1.6927906120517187e-18, -5.601964211516267e-17, -5.301011101090389e-18, -2.0, -1.9999999999999998, 0.0, -1.9999999999999998, -1.9999999999999998, -1.9999999999999998, 0.0], [-2.6402216746338023e-15, -1.6697046590584792e-18, -3.0358175573239146e-16, -2.6433129721139776e-16, -2.776690193718696e-17, -1.2052432446567766e-16, -1.6927906120517187e-18, -1.9999999999999973, -1.9999999999999971, -2.0000000000000084, -2.0000000000000027, 2.0000000000000027, 1.9427269370751357, -3.9427269370751357], [-1.7905528507448065, -0.9530696958365534, -0.03332773351747528, -7.921201650219396e-16, -0.3133539914904874, 0.017800298342856794, -0.02221629946743608, -1.6927906120517187e-18, 1.7158765650449581e-18, 0.393, -0.035100273826551114, -0.051021820425514806, -1.6697046590584792e-18, 3.191855504513566], [-3.208124782358797, 1.9776697615425667, -1.2903145021330085, 0.6243499443190819, -0.8803482816037224, -2.0, -2.0, -1.7158765650449581e-18, 3.8246406171705765, 2.0530326448185985, -1.6697046590584792e-18, -0.1516667151917903, 2.674166637108399, 2.0]]",46,0.7559055118110236,0.8149405772495756,0,15,0.7531645569620253,0.8321678321678322,0,0,500
